PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 6586 $   659   $  2102689596  $  5644851321     $     7090192  $   220109763  $   217318519  $     4772271  $       0      $       0      $      97      $           0  $              $0.372497      $7090192.000000      $21.376366 $21.105288 $0.463468 $     1.01  $    45.54  
 6588 $   659   $  1823419526  $  4840784763     $    16718308  $    86381796  $    93339611  $     9826985  $      28      $       0      $      97      $           0  $              $0.376678      $16718308.000000      $8.389127 $9.064848 $0.954366 $     0.93  $     9.50  
 6586 $  1062   $  1483660946  $  3969166762     $     5346208  $   167441395  $   165823083  $       55030  $       0      $       0      $      97      $           0  $              $0.373797      $5346208.000000      $26.591188 $26.334188 $0.008739 $     1.01  $  3013.32  
 6586 $  1064   $      633296  $     1700999     $        2233  $       71364  $       70744  $           4  $       0      $       0      $      97      $           0  $              $0.372308      $2233.000000      $2.283648 $2.263808 $0.000128 $     1.01  $ 17686.00  
 6586 $  1649   $  1256960277  $  3416502486     $     4541654  $   142151574  $   140545153  $     4603029  $      21      $       0      $      97      $           0  $              $0.367908      $4541654.000000      $15.551624 $15.375880 $0.503579 $     1.01  $    30.53  
 6614 $   585   $  1133368425  $  3157085981     $    16649145  $    86388651  $    93100312  $     9584130  $       0      $       0      $      97      $           0  $              $0.358992      $16649145.000000      $9.451066 $10.185333 $1.048520 $     0.93  $     9.71  
 6586 $  2139   $  1753453276  $  4686610594     $     6327589  $   197733076  $   195934176  $       41591  $      17      $       0      $      97      $           0  $              $0.374141      $6327589.000000      $25.826361 $25.591402 $0.005432 $     1.01  $  4710.98  
 6586 $  2140   $     1821470  $     4899668     $        6471  $      205303  $      203485  $          25  $       0      $       0      $      97      $           0  $              $0.371754      $6471.000000      $13.139392 $13.023040 $0.001600 $     1.01  $  8139.40  
 6586 $  2743   $  2086169897  $  5620869259     $     7147333  $   232131389  $   229377197  $     4263726  $      25      $       0      $      97      $           0  $              $0.371147      $7147333.000000      $24.637495 $24.345175 $0.452535 $     1.01  $    53.80  
 6619 $   603   $  1132427711  $  3155469448     $    16750790  $    86387087  $    93041802  $     9598232  $       0      $       0      $      97      $           0  $              $0.358878      $16750790.000000      $9.168778 $9.875083 $1.018718 $     0.93  $     9.69  
 6586 $  3231   $  1791388741  $  4627264795     $     3968715  $   125927727  $   124738783  $       39947  $      17      $       0      $      97      $           0  $              $0.387138      $3968715.000000      $16.515112 $16.359184 $0.005239 $     1.01  $  3122.61  
 6586 $  3233   $     1892575  $     4818009     $        2742  $       93166  $       92315  $           8  $       0      $       0      $      97      $           0  $              $0.392813      $2742.000000      $2.981312 $2.954080 $0.000256 $     1.01  $ 11539.38  
 6586 $  3831   $  1942480844  $  5579139588     $     5770683  $   223755199  $   222198955  $     4156848  $      24      $       0      $      97      $           0  $              $0.348169      $5770683.000000      $23.947044 $23.780491 $0.444880 $     1.01  $    53.45  
 6624 $   598   $  1133119623  $  3148072200     $    16967208  $    86384624  $    93695776  $     9556749  $       0      $       0      $      97      $           0  $              $0.359941      $16967208.000000      $9.245177 $10.027641 $1.022796 $     0.92  $     9.80  
 6586 $  4320   $  1566494237  $  4484077527     $     5615797  $   197506008  $   196924324  $      106033  $      16      $       0      $      97      $           0  $              $0.349346      $5615797.000000      $25.849459 $25.773327 $0.013878 $     1.00  $  1857.20  
 6586 $  4322   $     1798183  $     5165463     $        6329  $      226628  $      226016  $         116  $       0      $       0      $      97      $           0  $              $0.348117      $6329.000000      $7.252096 $7.232512 $0.003712 $     1.00  $  1948.41  
 6586 $  4899   $  1860219550  $  5362149138     $     6018600  $   235704038  $   234020002  $     4634351  $      24      $       0      $      97      $           0  $              $0.346917      $6018600.000000      $26.143948 $25.957157 $0.514035 $     1.01  $    50.50  
 6629 $   577   $  1132517114  $  3164132002     $    16697992  $    86378055  $    93437736  $     9611782  $       0      $       0      $      65      $           0  $              $0.357923      $16697992.000000      $9.580928 $10.363977 $1.066125 $     0.92  $     9.72  
 6586 $  5385   $  1557130915  $  4453062292     $     5462255  $   196463775  $   195778624  $      312114  $      16      $       0      $      97      $           0  $              $0.349676      $5462255.000000      $25.871773 $25.781548 $0.041101 $     1.00  $   627.27  
 6586 $  5387   $     2073104  $     5984607     $        7005  $      262140  $      260662  $         523  $       0      $       0      $      97      $           0  $              $0.346406      $7005.000000      $8.388480 $8.341184 $0.016736 $     1.01  $   498.40  
 6586 $  5975   $  1942622252  $  5472693320     $     5325746  $   208984560  $   207547910  $     4437043  $      24      $       0      $      97      $           0  $              $0.354966      $5325746.000000      $22.746618 $22.590248 $0.482943 $     1.01  $    46.78  
 6634 $   588   $  1132418334  $  3159649981     $    16575011  $    86384971  $    93110877  $     9608594  $       0      $       0      $     113      $           0  $              $0.358400      $16575011.000000      $9.402446 $10.134518 $1.045833 $     0.93  $     9.69  
 6586 $  6160   $   671788462  $  1728686734     $      784169  $    28395315  $    28298105  $       37246  $       5      $       0      $      97      $           0  $              $0.388612      $784169.000000      $9.823244 $9.789615 $0.012885 $     1.00  $   759.76  
