PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 8708 $  1004   $  1491460339  $  8709836508     $    62332011  $   402257839  $   164430132  $    18369203  $      49      $       0      $      97      $           0  $              $0.171239      $62332012.000000      $25.641933 $10.481602 $1.170945 $     2.45  $     8.95  
 8706 $  1004   $ 13230968737  $  8755194615     $     3075296  $   285349753  $   327608729  $   101298214  $       0      $       0      $      97      $           0  $              $1.511214      $3075296.000000      $18.189627 $20.883425 $6.457257 $     0.87  $     3.23  
 8708 $  2007   $  1330691695  $  9086926741     $    69584681  $   449085842  $   184804067  $    21692865  $      52      $       0      $      97      $           0  $              $0.146440      $69584680.000000      $28.655529 $11.792084 $1.384191 $     2.43  $     8.52  
 8706 $  2007   $ 15204853672  $  9098229167     $     1672755  $   328668568  $   343194387  $   149776722  $       0      $       0      $      97      $           0  $              $1.671188      $1672755.000000      $20.971872 $21.898745 $9.557039 $     0.96  $     2.29  
 8708 $  3009   $  1315416620  $  9088968327     $    68026057  $   443867321  $   180118577  $    17385399  $      52      $       0      $      97      $           0  $              $0.144727      $68026056.000000      $28.350807 $11.504580 $1.110445 $     2.46  $    10.36  
 8706 $  3010   $ 15278161351  $  9099632103     $     2030818  $   418245410  $   340140263  $   130548487  $       0      $       0      $      97      $           0  $              $1.678987      $2030818.000000      $26.687643 $21.703865 $8.330112 $     1.23  $     2.61  
 8708 $  4011   $  1303471604  $  9092064475     $    67643188  $   439766781  $   179082511  $    16646928  $      53      $       0      $      97      $           0  $              $0.143364      $67643184.000000      $28.088896 $11.438404 $1.063277 $     2.46  $    10.76  
 8706 $  4012   $ 15550526120  $  9101187738     $     2386579  $   672778087  $   338180135  $   101652726  $       0      $       0      $      97      $           0  $              $1.708626      $2386579.000000      $42.971855 $21.600328 $6.492789 $     1.99  $     3.33  
 8708 $  4720   $   926938755  $  6478702580     $    48311512  $   312691495  $   127892306  $     9769520  $      35      $       0      $      97      $           0  $              $0.143075      $48311512.000000      $28.226030 $11.544580 $0.881875 $     2.44  $    13.09  
 8706 $  4721   $ 10010659865  $  5815128295     $     1935399  $   439246365  $   215206251  $    49108976  $       0      $       0      $      97      $           0  $              $1.721486      $1935399.000000      $39.649883 $19.426235 $4.432968 $     2.04  $     4.38  
 8708 $  5075   $   487319877  $  3379076987     $    26123541  $   164353071  $    67785342  $      326159  $      12      $       0      $      97      $           0  $              $0.144217      $26123540.000000      $29.629850 $12.220456 $0.058800 $     2.42  $   207.83  
 8708 $  5077   $      750276  $     5014888     $       39833  $      253792  $      102832  $         426  $       0      $       0      $      97      $           0  $              $0.149610      $39833.000000      $8.121344 $3.290624 $0.013632 $     2.47  $   241.39  
 8708 $  6079   $  1319722644  $  9117134954     $    70194082  $   445058123  $   182741181  $    18289208  $      52      $       0      $      97      $           0  $              $0.144752      $70194080.000000      $28.426865 $11.672091 $1.168173 $     2.44  $     9.99  
 8739 $  1003   $ 13792962171  $  8844102648     $     3825098  $   302287495  $   342975471  $    77578019  $       0      $       0      $      97      $           0  $              $1.559566      $3825098.000000      $19.288534 $21.884775 $4.950142 $     0.88  $     4.42  
 8708 $  7081   $  1355906647  $  9103058324     $    71795764  $   457106572  $   187272451  $    18625834  $      53      $       0      $      97      $           0  $              $0.148951      $71795760.000000      $29.196426 $11.961514 $1.189674 $     2.44  $    10.05  
 8739 $  2005   $ 15341446098  $  9113736660     $     2845645  $   332178252  $   346106874  $    86827321  $       0      $       0      $      97      $           0  $              $1.683332      $2845645.000000      $21.216974 $22.106627 $5.545857 $     0.96  $     3.99  
 8708 $  8083   $  1441372333  $  9103799439     $    76790392  $   485558218  $   195384006  $    14018696  $      53      $       0      $      97      $           0  $              $0.158326      $76790392.000000      $31.013699 $12.479617 $0.895406 $     2.49  $    13.94  
 8739 $  3007   $ 15503069836  $  9112541087     $     2761685  $   443110867  $   345887618  $    84100175  $       0      $       0      $      97      $           0  $              $1.701289      $2761685.000000      $28.302492 $22.092623 $5.371668 $     1.28  $     4.11  
 8739 $  3717   $ 11018881315  $  6442083857     $     1935489  $   479765835  $   240019237  $    58144890  $       0      $       0      $      97      $           0  $              $1.710453      $1935489.000000      $43.246498 $21.635536 $5.241230 $     2.00  $     4.13  
 8708 $  8793   $  1220128372  $  6424126741     $    67470782  $   390954092  $   157600040  $     5835258  $      37      $       0      $      97      $           0  $              $0.189929      $67470784.000000      $35.240932 $14.206200 $0.525995 $     2.48  $    27.01  
