PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
 9373 $  1002   $  3097612472  $  8665181548     $    14844929  $   458734593  $    42505549  $     5943638  $      43      $       0      $      97      $           0  $              $0.357478      $14844929.000000      $29.300413 $2.714925 $0.379634 $    10.79  $     7.15  
 9371 $  1003   $  4896383294  $  8816982721     $     2309580  $    26026640  $    26298424  $    16893511  $       0      $       0      $      97      $           0  $              $0.555335      $2309580.000000      $1.660723 $1.678065 $1.077951 $     0.99  $     1.56  
 9373 $  2004   $  3255954254  $  9177222581     $    15886337  $   508313930  $    46423412  $     7090324  $      44      $       0      $      97      $           0  $              $0.354786      $15886337.000000      $32.467155 $2.965168 $0.452875 $    10.95  $     6.55  
 9371 $  2005   $  5035091413  $  9177815240     $     2376537  $    26134027  $    26669004  $    17277024  $       0      $       0      $      97      $           0  $              $0.548616      $2376537.000000      $1.669239 $1.703409 $1.103523 $     0.98  $     1.54  
 9373 $  3006   $  3273611933  $  9176835407     $    14813007  $   489217770  $    44681648  $     7350250  $      44      $       0      $      97      $           0  $              $0.356726      $14813007.000000      $31.247442 $2.853918 $0.469477 $    10.95  $     6.08  
 9371 $  3007   $  5170175917  $  9177716128     $     2622385  $    28593354  $    29487593  $    19076876  $       0      $       0      $      97      $           0  $              $0.563340      $2622385.000000      $1.826322 $1.883439 $1.218483 $     0.97  $     1.55  
 9373 $  4008   $  3262292392  $  9177374863     $    15206227  $   498644528  $    45507105  $     7191914  $      45      $       0      $      97      $           0  $              $0.355471      $15206227.000000      $31.849552 $2.906641 $0.459364 $    10.96  $     6.33  
 9371 $  4009   $  5125641977  $  9177457970     $     2541404  $    27567966  $    28429908  $    18409201  $       0      $       0      $      97      $           0  $              $0.558503      $2541404.000000      $1.760828 $1.815882 $1.175837 $     0.97  $     1.54  
 9371 $  4723   $  4029262861  $  6633973644     $     2401604  $    26460795  $    27159973  $    17771951  $       0      $       0      $      97      $           0  $              $0.607368      $2401604.000000      $2.371836 $2.434507 $1.593004 $     0.97  $     1.53  
 9373 $  4722   $  1822361689  $  4899465439     $     4506999  $   184578104  $    16818882  $     4444842  $      28      $       0      $      97      $           0  $              $0.371951      $4506999.000000      $16.544817 $1.507575 $0.398417 $    10.97  $     3.78  
 9371 $  5118   $  2482682954  $  3759809018     $     1708280  $    18781778  $    19271259  $    12638232  $       0      $       0      $      97      $           0  $              $0.660322      $1708280.000000      $3.043123 $3.122432 $2.047714 $     0.97  $     1.52  
 9371 $  5120   $      574555  $     1412170     $           0  $           2  $          16  $           0  $       0      $       0      $      97      $           0  $              $0.406860      $0.000000      $0.000064 $0.000512 $0.000000 $     0.12  $      inf  
 9371 $  6123   $  4014305644  $  8110251147     $     1407604  $    13317847  $    13468669  $     9019720  $      42      $       0      $      97      $           0  $              $0.494967      $1407604.000000      $0.849793 $0.859417 $0.575535 $     0.99  $     1.49  
 9399 $  1002   $  3133795245  $  8746072834     $    17187426  $   482773383  $    44852757  $     3734871  $       0      $       0      $      97      $           0  $              $0.358309      $17187426.000000      $30.835825 $2.864847 $0.238555 $    10.76  $    12.01  
 9399 $  2004   $  3245970204  $  9102644530     $    17777496  $   506764656  $    46484347  $     4302858  $      44      $       0      $      97      $           0  $              $0.356596      $17777496.000000      $32.368202 $2.969060 $0.274833 $    10.90  $    10.80  
