PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
12879 $  1003   $  8322705309  $  7930093479     $     2012817  $   135076298  $   158096109  $    64574840  $      45      $       0      $      97      $           0  $              $1.049509      $2012817.000000      $8.619026 $10.087888 $4.120429 $     0.85  $     2.45  
12877 $  1003   $  4388605209  $  7735558639     $       98211  $    96006697  $    97701070  $    88967788  $       0      $       0      $      97      $           0  $              $0.567329      $98211.000000      $6.126050 $6.234166 $5.676908 $     0.98  $     1.10  
12879 $  2006   $  9243527463  $  9083418134     $     1262489  $   148980783  $   158781077  $    61970195  $      49      $       0      $      97      $           0  $              $1.017626      $1262489.000000      $9.506251 $10.131594 $3.954230 $     0.94  $     2.56  
12877 $  2006   $  5370185150  $  9087853874     $       88585  $   160482953  $   160533636  $   156441710  $       0      $       0      $      97      $           0  $              $0.590919      $88585.000000      $10.240189 $10.243423 $9.982323 $     1.00  $     1.03  
12879 $  3009   $  8561610690  $  9085720302     $      320125  $   138400287  $   144747349  $   106263884  $      48      $       0      $      97      $           0  $              $0.942315      $320125.000000      $8.831125 $9.236121 $6.780547 $     0.96  $     1.36  
12877 $  3009   $  4747197380  $  9086718248     $       79439  $   129891658  $   129946680  $   127267582  $       0      $       0      $      97      $           0  $              $0.522433      $79439.000000      $8.288201 $8.291713 $8.120763 $     1.00  $     1.02  
12879 $  4012   $  8349827433  $  9081330415     $      282915  $   135794024  $   140002214  $   105289949  $      47      $       0      $      97      $           0  $              $0.919450      $282915.000000      $8.664823 $8.933341 $6.718402 $     0.97  $     1.33  
12877 $  4012   $  4621088422  $  9084929568     $       78762  $   130041298  $   130096853  $   127463566  $       0      $       0      $      97      $           0  $              $0.508654      $78762.000000      $8.297750 $8.301295 $8.133268 $     1.00  $     1.02  
12879 $  5015   $  9913654178  $  9101608897     $      607909  $   162331039  $   165976918  $    98524449  $      48      $       0      $      97      $           0  $              $1.089220      $607909.000000      $10.358112 $10.590750 $6.286705 $     0.98  $     1.68  
12877 $  5015   $  4854980310  $  9098949515     $       66965  $   128577360  $   128614339  $   125649386  $       0      $       0      $      97      $           0  $              $0.533576      $66965.000000      $8.204338 $8.206697 $8.017509 $     1.00  $     1.02  
12879 $  6018   $ 11061282868  $  9108377583     $      222418  $   213222177  $   185652234  $   147629579  $      48      $       0      $      97      $           0  $              $1.214408      $222418.000000      $13.605403 $11.846205 $9.420033 $     1.15  $     1.26  
12877 $  6018   $  4636801058  $  9103459869     $       53668  $    97593293  $    97627945  $    95608094  $       0      $       0      $      97      $           0  $              $0.509345      $53668.000000      $6.227289 $6.229500 $6.100616 $     1.00  $     1.02  
12879 $  7021   $ 11306318518  $  9108082017     $      159515  $   311461164  $   185648004  $   149171592  $      48      $       0      $      97      $           0  $              $1.241350      $159515.000000      $19.873892 $11.845934 $9.518426 $     1.68  $     1.24  
12877 $  7021   $  4613327590  $  9103600184     $       57317  $    94600503  $    94637008  $    92694994  $       0      $       0      $      97      $           0  $              $0.506759      $57317.000000      $6.036323 $6.038652 $5.914735 $     1.00  $     1.02  
12879 $  8024   $ 10715883673  $  9108825771     $      166006  $   331010267  $   174603818  $   145214163  $      48      $       0      $      97      $           0  $              $1.176429      $166006.000000      $21.121294 $11.141221 $9.265908 $     1.90  $     1.20  
12877 $  8024   $  4672954050  $  9104496852     $       58038  $   100967931  $   101002862  $    98967987  $       0      $       0      $      97      $           0  $              $0.513258      $58038.000000      $6.442619 $6.444849 $6.315006 $     1.00  $     1.02  
