PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
38830 $  1003   $  3289430141  $  9324990700     $      300338  $   409505679  $   408168138  $      723028  $      32      $       0      $      97      $           0  $              $0.352754      $300338.000000      $26.129972 $26.044626 $0.046135 $     1.00  $   564.53  
38830 $  2005   $  3215340523  $  9195835476     $       67175  $   405448290  $   404041074  $       67146  $      33      $       0      $      97      $           0  $              $0.349652      $67175.000000      $25.896896 $25.807016 $0.004289 $     1.00  $  6017.35  
38830 $  3008   $  3219295277  $  9196741189     $      228386  $   404196833  $   402235772  $      228304  $      33      $       0      $      97      $           0  $              $0.350047      $228386.000000      $25.791224 $25.666092 $0.014568 $     1.00  $  1761.84  
38830 $  4010   $  3219730000  $  9201343863     $      135951  $   406182731  $   403164494  $      135967  $      32      $       0      $      97      $           0  $              $0.349920      $135951.000000      $25.943806 $25.751024 $0.008685 $     1.01  $  2965.16  
38830 $  5012   $  3432218880  $  9799366276     $      137216  $   432957200  $   429763778  $      137264  $      33      $       0      $      97      $           0  $              $0.350249      $137216.000000      $27.653952 $27.449982 $0.008767 $     1.01  $  3130.93  
38830 $  6014   $  3213418283  $  9199950851     $      140123  $   404884059  $   403167793  $      140024  $      34      $       0      $      97      $           0  $              $0.349286      $140123.000000      $25.860859 $25.751238 $0.008944 $     1.00  $  2879.28  
38830 $  7016   $  3210282077  $  9201221153     $       50710  $   404762459  $   403542409  $       50681  $      34      $       0      $      97      $           0  $              $0.348897      $50710.000000      $25.853092 $25.775164 $0.003237 $     1.00  $  7962.40  
38830 $  8019   $  3241714226  $  9205511841     $      375760  $   400673563  $   399398937  $      658999  $      33      $       0      $      97      $           0  $              $0.352149      $375760.000000      $25.566410 $25.485077 $0.042050 $     1.00  $   606.07  
38830 $  9022   $  3441182570  $  9812299454     $      120894  $   433756030  $   432430088  $      120889  $      34      $       0      $      97      $           0  $              $0.350701      $120894.000000      $27.677355 $27.592747 $0.007714 $     1.00  $  3577.08  
38830 $ 10025   $  3224920043  $  9203219130     $      114595  $   406510626  $   405246876  $      114568  $      33      $       0      $      97      $           0  $              $0.350412      $114595.000000      $25.938864 $25.858225 $0.007310 $     1.00  $  3537.17  
38830 $ 11028   $  3228772420  $  9203948204     $      277913  $   405046878  $   403046643  $      277800  $      32      $       0      $      97      $           0  $              $0.350803      $277913.000000      $25.845465 $25.717833 $0.017726 $     1.00  $  1450.85  
38830 $ 12030   $  3226525976  $  9205312593     $      214039  $   406960418  $   404018501  $      214052  $      32      $       0      $      97      $           0  $              $0.350507      $214039.000000      $25.993479 $25.805573 $0.013672 $     1.01  $  1887.48  
38830 $ 13033   $  3435100770  $  9770301385     $      234862  $   433181431  $   430152471  $      234883  $      33      $       0      $      97      $           0  $              $0.351586      $234862.000000      $27.640690 $27.447416 $0.014988 $     1.01  $  1831.35  
38830 $ 14036   $  3339403162  $  9517318202     $      225151  $   420604884  $   419191875  $      225021  $      34      $       0      $      97      $           0  $              $0.350877      $225151.000000      $26.838200 $26.748035 $0.014358 $     1.00  $  1862.90  
38830 $ 15039   $  3218988836  $  9204036007     $      130913  $   405776002  $   404651967  $      130885  $      32      $       0      $      97      $           0  $              $0.349737      $130913.000000      $25.891989 $25.820265 $0.008352 $     1.00  $  3091.66  
38830 $ 15865   $  2606095963  $  7425174258     $      117805  $   325558552  $   324687982  $      116928  $      26      $       0      $      97      $           0  $              $0.350981      $117805.000000      $25.224876 $25.157421 $0.009060 $     1.00  $  2776.82  
