PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56263 $  1004   $  1482659099  $  4796042628     $    11074214  $    92351635  $    67412002  $     7146720  $      27      $       0      $      97      $           0  $              $0.309142      $11074214.000000      $5.886957 $4.297179 $0.455568 $     1.37  $     9.43  
56261 $  1004   $  5074652174  $  2388078825     $      249686  $      644796  $      690927  $       19047  $       0      $       0      $      97      $           0  $              $2.124994      $249686.000000      $0.041103 $0.044043 $0.001214 $     0.93  $    36.27  
56263 $  2007   $  1208475610  $  4327955913     $    12869682  $   104627984  $    81700804  $     9769872  $      29      $       0      $      97      $           0  $              $0.279225      $12869682.000000      $6.676163 $5.213212 $0.623402 $     1.28  $     8.36  
56261 $  2007   $  4899811990  $  2300710381     $      216567  $      622958  $      669388  $       22450  $       0      $       0      $      97      $           0  $              $2.129695      $216567.000000      $0.039750 $0.042713 $0.001433 $     0.93  $    29.82  
56263 $  3010   $  1501176775  $  5080405235     $    13400928  $   110402435  $    81581961  $     7997703  $      29      $       0      $      97      $           0  $              $0.295484      $13400928.000000      $7.044622 $5.205628 $0.510322 $     1.35  $    10.20  
56261 $  3010   $  4938708914  $  2323447324     $      217500  $      627624  $      670525  $       16850  $       0      $       0      $      97      $           0  $              $2.125595      $217500.000000      $0.040048 $0.042785 $0.001075 $     0.94  $    39.79  
56263 $  4014   $  1700443985  $  5431837462     $    12332279  $   105091616  $    79423777  $    10653531  $      30      $       0      $      97      $           0  $              $0.313051      $12332279.000000      $6.699067 $5.062870 $0.679110 $     1.32  $     7.46  
56261 $  4014   $  4883307799  $  2299716533     $      214566  $      621518  $      668332  $       27578  $       0      $       0      $      97      $           0  $              $2.123439      $214566.000000      $0.039619 $0.042603 $0.001758 $     0.93  $    24.23  
56263 $  5017   $  1190822916  $  4419945159     $    13919937  $   112602847  $    87366419  $     9353725  $      27      $       0      $      97      $           0  $              $0.269420      $13919937.000000      $7.185027 $5.574727 $0.596848 $     1.29  $     9.34  
56261 $  5017   $  5202210710  $  2444607912     $      229509  $      660929  $      710566  $       20098  $       0      $       0      $      97      $           0  $              $2.128035      $229509.000000      $0.042173 $0.045340 $0.001282 $     0.93  $    35.36  
56263 $  6020   $  1553315843  $  5177742285     $    13176173  $   109522651  $    80986871  $     8631330  $      29      $       0      $      97      $           0  $              $0.299999      $13176173.000000      $6.988484 $5.167657 $0.550753 $     1.35  $     9.38  
56261 $  6020   $  4936465124  $  2322015778     $      218226  $      626807  $      673664  $       18840  $       0      $       0      $      97      $           0  $              $2.125939      $218226.000000      $0.039996 $0.042986 $0.001202 $     0.93  $    35.76  
56261 $  6272   $  1225318683  $   574973043     $       59904  $      155574  $      166950  $         421  $       0      $       0      $      97      $           0  $              $2.131089      $59904.000000      $0.039511 $0.042400 $0.000107 $     0.93  $   396.56  
56263 $  6272   $    86974997  $   522782076     $     2801898  $    19527796  $    16223251  $      618575  $       6      $       0      $      97      $           0  $              $0.166370      $2801898.000000      $4.959440 $4.120191 $0.157098 $     1.20  $    26.23  
56261 $  7077   $  4053176474  $  1898792674     $      182028  $      515148  $      549137  $         168  $       0      $       0      $      97      $           0  $              $2.134607      $182028.000000      $0.040956 $0.043658 $0.000013 $     0.94  $  3268.67  
56261 $  7079   $     3570852  $     1692046     $        2157  $         514  $         563  $           0  $       0      $       0      $      97      $           0  $              $2.110375      $2157.000000      $0.016448 $0.018016 $0.000000 $     0.91  $      inf  
56261 $  8083   $  4969958746  $  2338358000     $      713656  $      631404  $      680712  $       18430  $      29      $       0      $      97      $           0  $              $2.125406      $713656.000000      $0.040249 $0.043392 $0.001175 $     0.93  $    36.93  
56278 $  1003   $  1476036083  $  4741951838     $    10567797  $    89612522  $    64345309  $     7076252  $       0      $       0      $      97      $           0  $              $0.311272      $10567797.000000      $5.718047 $4.105783 $0.451526 $     1.39  $     9.09  
56278 $  2006   $  1347016148  $  4684329129     $    13383229  $   110193794  $    85762583  $    10785122  $      27      $       0      $      97      $           0  $              $0.287558      $13383229.000000      $7.031309 $5.472388 $0.688183 $     1.28  $     7.95  
56261 $  9086   $  5177645162  $  2432181711     $      358675  $      659123  $      711273  $       26727  $       0      $       0      $      97      $           0  $              $2.128807      $358675.000000      $0.042058 $0.045385 $0.001705 $     0.93  $    26.61  
56278 $  3009   $  1385311847  $  4917207141     $    14248179  $   113932445  $    84635724  $     7310938  $      29      $       0      $      97      $           0  $              $0.281727      $14248179.000000      $7.269867 $5.400485 $0.466501 $     1.35  $    11.58  
56261 $ 10089   $  5059540286  $  2379141762     $      382904  $      643169  $      689642  $       13742  $       0      $       0      $      97      $           0  $              $2.126624      $382904.000000      $0.041040 $0.044005 $0.000877 $     0.93  $    50.18  
56278 $  4012   $  1728042466  $  5522339053     $    12736013  $   107858694  $    79931637  $    10746196  $      29      $       0      $      97      $           0  $              $0.312919      $12736013.000000      $6.882309 $5.100324 $0.685699 $     1.35  $     7.44  
56261 $ 11092   $  4977610867  $  2339412739     $      413847  $      633315  $      683226  $       26580  $       0      $       0      $      97      $           0  $              $2.127718      $413847.000000      $0.040411 $0.043596 $0.001696 $     0.93  $    25.70  
56278 $  5016   $  1272942046  $  4472162016     $    12842324  $   104934222  $    82419294  $    10556498  $      28      $       0      $      97      $           0  $              $0.284637      $12842324.000000      $6.689034 $5.253819 $0.672924 $     1.27  $     7.81  
56261 $ 12095   $  4962754487  $  2329289521     $      345229  $      631485  $      681525  $       26501  $       0      $       0      $      97      $           0  $              $2.130587      $345229.000000      $0.040294 $0.043487 $0.001691 $     0.93  $    25.72  
56278 $  6019   $  1455190262  $  5100860594     $    14621410  $   117869782  $    87092734  $     7457734  $      28      $       0      $      97      $           0  $              $0.285283      $14621410.000000      $7.521103 $5.557263 $0.475867 $     1.35  $    11.68  
56261 $ 13098   $  5235855739  $  2456286664     $      395240  $      665049  $      713225  $       13533  $       0      $       0      $      97      $           0  $              $2.131614      $395240.000000      $0.042436 $0.045510 $0.000864 $     0.93  $    52.70  
56261 $ 13259   $   788431376  $   370049842     $       40920  $      100233  $      107641  $         193  $       0      $       0      $      97      $           0  $              $2.130609      $40920.000000      $0.039844 $0.042789 $0.000077 $     0.93  $   557.73  
56278 $  6180   $    63511541  $   308178620     $     1426060  $     9538799  $     8035107  $      303847  $       4      $       0      $      97      $           0  $              $0.206087      $1426060.000000      $3.791821 $3.194080 $0.120784 $     1.19  $    26.44  
56261 $ 14157   $  4613922932  $  2163046984     $      204159  $      586090  $      624399  $         110  $       0      $       0      $      97      $           0  $              $2.133066      $204159.000000      $0.041770 $0.044501 $0.000008 $     0.94  $  5676.35  
56261 $ 14159   $     3481577  $     1678265     $        2536  $         534  $         569  $           2  $       0      $       0      $      97      $           0  $              $2.074510      $2536.000000      $0.017088 $0.018208 $0.000064 $     0.94  $   284.50  
56261 $ 15162   $  4978197137  $  2338463060     $      715144  $      633186  $      680564  $       20033  $      29      $       0      $      97      $           0  $              $2.128833      $715144.000000      $0.040403 $0.043426 $0.001278 $     0.93  $    33.97  
56283 $  1003   $  1474671340  $  4737197368     $    10502393  $    89126436  $    64682951  $     7062839  $       0      $       0      $      97      $           0  $              $0.311296      $10502393.000000      $5.687031 $4.127327 $0.450670 $     1.38  $     9.16  
56283 $  2006   $  1151410172  $  4241937157     $    13274190  $   107020311  $    83429341  $     9082050  $      28      $       0      $      97      $           0  $              $0.271435      $13274190.000000      $6.828814 $5.323507 $0.579513 $     1.28  $     9.19  
56261 $ 16165   $  4959449256  $  2330320752     $      338719  $      630847  $      678992  $       21414  $       0      $       0      $      97      $           0  $              $2.128226      $338719.000000      $0.040253 $0.043326 $0.001366 $     0.93  $    31.71  
56283 $  3009   $  1569034933  $  5257528641     $    13682718  $   112047947  $    83138412  $     8975109  $      34      $       0      $      97      $           0  $              $0.298436      $13682718.000000      $7.149620 $5.304944 $0.572689 $     1.35  $     9.26  
56261 $ 17168   $  8424405958  $  5713603647     $      206811  $    23419706  $    30747288  $     8968494  $       0      $       0      $      97      $           0  $              $1.474447      $206811.000000      $1.494378 $1.961941 $0.572267 $     0.76  $     3.43  
56283 $  4011   $  1712635259  $  5460788331     $    12459781  $   104861782  $    78590136  $    10847528  $      40      $       0      $      97      $           0  $              $0.313624      $12459781.000000      $6.697759 $5.019729 $0.692856 $     1.33  $     7.24  
56261 $ 18170   $ 12739472720  $  9334907409     $       81173  $    29395280  $    45876115  $     8194774  $       0      $       0      $      97      $           0  $              $1.364713      $81173.000000      $1.877543 $2.930211 $0.523419 $     0.64  $     5.60  
56283 $  5014   $  1004279419  $  3978853997     $    14091058  $   109574575  $    84751591  $     7398940  $      38      $       0      $      97      $           0  $              $0.252404      $14091058.000000      $6.991797 $5.407878 $0.472116 $     1.29  $    11.45  
56261 $ 19173   $ 12967211624  $  9496435358     $       82268  $    29914268  $    46699936  $     8371961  $       0      $       0      $      97      $           0  $              $1.365482      $82268.000000      $1.908787 $2.979856 $0.534203 $     0.64  $     5.58  
56283 $  6017   $  1728680683  $  5507675964     $    12547541  $   106054985  $    78738146  $    10875937  $      39      $       0      $      97      $           0  $              $0.313868      $12547541.000000      $6.767217 $5.024168 $0.693978 $     1.35  $     7.24  
56261 $ 20176   $ 12822847318  $  9400199690     $       81781  $    29562735  $    46189272  $     8280389  $       0      $       0      $      97      $           0  $              $1.364104      $81781.000000      $1.886356 $2.947272 $0.528360 $     0.64  $     5.58  
56261 $ 20514   $  4403241983  $  3220517462     $       27009  $    10150842  $    15852036  $     2841510  $       0      $       0      $      97      $           0  $              $1.367247      $27009.000000      $1.922053 $3.001569 $0.538037 $     0.64  $     5.58  
56283 $  6355   $    99819345  $   648240373     $     3584237  $    25579361  $    20863290  $      887911  $      11      $       0      $      97      $           0  $              $0.153985      $3584237.000000      $4.843429 $3.950445 $0.168125 $     1.23  $    23.50  
56261 $ 21267   $  9872059703  $  7208282196     $       62184  $    22816518  $    35555433  $     6372624  $       0      $       0      $      97      $           0  $              $1.369544      $62184.000000      $1.939252 $3.021976 $0.541631 $     0.64  $     5.58  
56261 $ 21269   $     4184607  $     3109395     $        2246  $        8071  $       11491  $        2788  $       0      $       0      $      97      $           0  $              $1.345795      $2246.000000      $0.258272 $0.367712 $0.089216 $     0.70  $     4.12  
