PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58996 $  1003   $  1472051706  $  4694697416     $    10501961  $    87543220  $    63280345  $     7028511  $      36      $       0      $      97      $           0  $              $0.313556      $10501961.000000      $5.586008 $4.037828 $0.448479 $     1.38  $     9.00  
58994 $  1003   $  6927878627  $  9303923781     $      119687  $    16303783  $    17608953  $      964242  $       0      $       0      $      97      $           0  $              $0.744619      $119687.000000      $1.040321 $1.123602 $0.061527 $     0.93  $    18.26  
58996 $  2006   $  1046428671  $  4022312442     $    13576803  $   107110502  $    83204231  $     7840530  $      35      $       0      $      97      $           0  $              $0.260156      $13576803.000000      $6.834569 $5.309144 $0.500293 $     1.29  $    10.61  
58994 $  2006   $  6979906151  $  9344503799     $      121674  $    14825450  $    15037874  $      753512  $       0      $       0      $      97      $           0  $              $0.746953      $121674.000000      $0.945991 $0.959545 $0.048081 $     0.99  $    19.96  
58996 $  3009   $  1666760154  $  5387849763     $    12767749  $   107688954  $    79368001  $    10028888  $      37      $       0      $      97      $           0  $              $0.309355      $12767749.000000      $6.871479 $5.064359 $0.639929 $     1.36  $     7.91  
58994 $  3009   $  7020616968  $  9411192160     $      119081  $    15108286  $    15447714  $     1174313  $       0      $       0      $      97      $           0  $              $0.745986      $119081.000000      $0.964038 $0.985697 $0.074931 $     0.98  $    13.15  
58996 $  4011   $  1562498634  $  5098587328     $    12409390  $   104647847  $    79503750  $    10683549  $      37      $       0      $      97      $           0  $              $0.306457      $12409390.000000      $6.684094 $5.078084 $0.682382 $     1.32  $     7.44  
58994 $  4011   $  6956962846  $  9338570245     $      117347  $    16187142  $    17370275  $     1266928  $       0      $       0      $      97      $           0  $              $0.744971      $117347.000000      $1.033909 $1.109479 $0.080922 $     0.93  $    13.71  
58996 $  5013   $  1151571704  $  4327843758     $    13994014  $   110273708  $    84221729  $     7222212  $      36      $       0      $      97      $           0  $              $0.266084      $13994014.000000      $7.043431 $5.379432 $0.461299 $     1.31  $    11.66  
58994 $  5013   $  7071373550  $  9479293659     $      122684  $    16782836  $    18200916  $      654646  $       0      $       0      $      97      $           0  $              $0.745981      $122684.000000      $1.071958 $1.162534 $0.041814 $     0.92  $    27.80  
58996 $  6016   $  1727319775  $  5499049626     $    12480404  $   106223151  $    78636308  $    10735711  $      37      $       0      $      97      $           0  $              $0.314112      $12480404.000000      $6.777948 $5.017671 $0.685030 $     1.35  $     7.32  
58994 $  6016   $  7003304416  $  9382947902     $      119300  $    15141991  $    15525755  $     1272775  $       0      $       0      $      97      $           0  $              $0.746386      $119300.000000      $0.966189 $0.990676 $0.081214 $     0.98  $    12.20  
58994 $  6388   $  2572903944  $  3445174474     $       45071  $     5517468  $     5617547  $       16835  $       0      $       0      $      97      $           0  $              $0.746814      $45071.000000      $0.949242 $0.966460 $0.002896 $     0.98  $   333.68  
58996 $  6388   $   113409435  $   762018091     $     4364497  $    30659159  $    25299415  $      988786  $      12      $       0      $      97      $           0  $              $0.148828      $4364497.000000      $5.274694 $4.352588 $0.170114 $     1.21  $    25.59  
58994 $  7088   $  5135315022  $  6873111961     $       87183  $    10995055  $    11182996  $         461  $       0      $       0      $      97      $           0  $              $0.747160      $87183.000000      $1.005262 $1.022445 $0.000042 $     0.98  $ 24258.12  
58994 $  7090   $      529122  $     1408253     $           0  $        2075  $        2112  $           0  $       0      $       0      $      97      $           0  $              $0.375729      $0.000000      $0.066400 $0.067584 $0.000000 $     0.98  $      inf  
58994 $  8093   $  6306200002  $  8450413503     $      263266  $    13284732  $    13363395  $     1206882  $      35      $       0      $      97      $           0  $              $0.746259      $263266.000000      $0.847680 $0.852699 $0.077009 $     0.99  $    11.07  
59014 $  1003   $  1471384252  $  4706810841     $    10481421  $    87100647  $    63440092  $     7026602  $       0      $       0      $      97      $           0  $              $0.312607      $10481421.000000      $5.557768 $4.048022 $0.448357 $     1.37  $     9.03  
59014 $  2006   $  1028755270  $  3988934203     $    13657161  $   107308739  $    83499018  $     7623601  $      34      $       0      $      97      $           0  $              $0.257902      $13657161.000000      $6.847218 $5.327953 $0.486451 $     1.29  $    10.95  
58994 $  9096   $  6368129506  $  8540716611     $      112669  $    14366594  $    15100245  $      751044  $       0      $       0      $      97      $           0  $              $0.745620      $112669.000000      $0.916712 $0.963525 $0.047923 $     0.95  $    20.11  
59014 $  3008   $  1684625756  $  5422792863     $    12685210  $   107002675  $    79531627  $    10226535  $      37      $       0      $      97      $           0  $              $0.310656      $12685210.000000      $6.834502 $5.079864 $0.653192 $     1.35  $     7.78  
58994 $ 10098   $  7021582408  $  9409089865     $      121081  $    14981614  $    15210803  $     1214979  $       0      $       0      $      97      $           0  $              $0.746255      $121081.000000      $0.956909 $0.971548 $0.077603 $     0.98  $    12.52  
59014 $  3250   $   122665595  $   672969526     $     3341387  $    24852074  $    20638123  $     1604184  $       8      $       0      $      97      $           0  $              $0.182275      $3341387.000000      $6.572449 $5.458016 $0.424247 $     1.20  $    12.87  
58994 $ 10340   $  1568217414  $  2182142584     $       40435  $     3061389  $     3047868  $       30749  $       0      $       0      $      97      $           0  $              $0.718660      $40435.000000      $0.809624 $0.806048 $0.008132 $     1.00  $    99.12  
