PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55626 $  1004   $  1243242982  $  6930667432     $    76781548  $   244337930  $   243265978  $      702704  $      43      $       0      $      97      $           0  $              $0.179383      $76781552.000000      $15.575327 $15.506995 $0.044794 $     1.00  $   346.19  
55624 $  1004   $  3127307847  $  8866210910     $    11023660  $   389196101  $   387840111  $      953789  $       0      $       0      $      97      $           0  $              $0.352722      $11023660.000000      $24.809313 $24.722876 $0.060799 $     1.00  $   406.63  
55626 $  2006   $  1191685597  $  6439704324     $    70518723  $   222119744  $   221210241  $      162218  $      43      $       0      $      97      $           0  $              $0.185053      $70518720.000000      $14.187289 $14.129197 $0.010361 $     1.00  $  1363.66  
55624 $  2006   $  3246492746  $  9268426788     $    11570597  $   409503242  $   408131360  $      322995  $       0      $       0      $      97      $           0  $              $0.350274      $11570597.000000      $26.155895 $26.068270 $0.020630 $     1.00  $  1263.58  
55626 $  3008   $  1100967722  $  5940705031     $    64614745  $   205731650  $   204829953  $      179291  $      43      $       0      $      97      $           0  $              $0.185326      $64614744.000000      $13.140544 $13.082951 $0.011452 $     1.00  $  1142.44  
55624 $  3008   $  3293538491  $  9399898831     $    11595550  $   413265462  $   411819712  $      456208  $       0      $       0      $      97      $           0  $              $0.350380      $11595550.000000      $26.396198 $26.303854 $0.029139 $     1.00  $   902.70  
55626 $  4010   $   994738749  $  5386128206     $    59145760  $   186216402  $   185545476  $      145451  $      41      $       0      $      97      $           0  $              $0.184685      $59145760.000000      $11.894061 $11.851208 $0.009290 $     1.00  $  1275.66  
55624 $  4010   $  3287398112  $  9401053254     $    11742663  $   414700186  $   413285764  $      300829  $       0      $       0      $      97      $           0  $              $0.349684      $11742663.000000      $26.487837 $26.397493 $0.019215 $     1.00  $  1373.82  
55626 $  5013   $  1235874098  $  6573055243     $    70120689  $   220657513  $   219791070  $       91494  $      43      $       0      $      97      $           0  $              $0.188021      $70120688.000000      $14.079842 $14.024555 $0.005838 $     1.00  $  2402.25  
55624 $  5013   $  3262152122  $  9325154074     $    11682449  $   411487331  $   410110961  $      245083  $       0      $       0      $      97      $           0  $              $0.349823      $11682449.000000      $26.256420 $26.168596 $0.015638 $     1.00  $  1673.36  
55626 $  6016   $  1169966336  $  6580919060     $    74049353  $   234591272  $   233592121  $      212224  $      43      $       0      $      97      $           0  $              $0.177782      $74049352.000000      $14.968934 $14.905181 $0.013542 $     1.00  $  1100.69  
55624 $  6016   $  3226503409  $  9226377210     $    11523915  $   405248065  $   403734787  $      646121  $       0      $       0      $      97      $           0  $              $0.349704      $11523915.000000      $25.858301 $25.761742 $0.041228 $     1.00  $   624.86  
55626 $  7018   $  1092859766  $  6054534902     $    67575696  $   213169322  $   212317158  $      224465  $      43      $       0      $      97      $           0  $              $0.180503      $67575696.000000      $13.615605 $13.561175 $0.014337 $     1.00  $   945.88  
55624 $  7018   $  3239252861  $  9265058885     $    11583906  $   408734768  $   407248577  $      579472  $       0      $       0      $      97      $           0  $              $0.349620      $11583906.000000      $26.106813 $26.011885 $0.037012 $     1.00  $   702.79  
55626 $  8020   $  1051087576  $  5661237633     $    61627411  $   195375007  $   194537769  $      322817  $      42      $       0      $      97      $           0  $              $0.185664      $61627412.000000      $12.479042 $12.425567 $0.020619 $     1.00  $   602.63  
55624 $  8021   $  3317654113  $  9394744536     $    11421771  $   410586610  $   408919935  $     1348541  $       0      $       0      $      97      $           0  $              $0.353139      $11421771.000000      $26.198948 $26.092598 $0.086048 $     1.00  $   303.23  
55626 $  9022   $  1099243048  $  5755066366     $    60688453  $   190144130  $   189464773  $      103815  $      42      $       0      $      97      $           0  $              $0.191004      $60688452.000000      $12.144935 $12.101542 $0.006631 $     1.00  $  1825.02  
55624 $  9023   $  3287915187  $  9378948786     $    11538591  $   414648661  $   413345051  $      325321  $       0      $       0      $      97      $           0  $              $0.350563      $11538591.000000      $26.484547 $26.401281 $0.020779 $     1.00  $  1270.58  
55626 $ 10024   $  1215219925  $  6889391289     $    77725343  $   247096367  $   246016923  $      175695  $      44      $       0      $      97      $           0  $              $0.176390      $77725344.000000      $15.782602 $15.713656 $0.011222 $     1.00  $  1400.25  
55624 $ 10025   $  3250241990  $  9270714536     $    11486466  $   409920740  $   408615737  $      388815  $       0      $       0      $      97      $           0  $              $0.350592      $11486466.000000      $26.182562 $26.099209 $0.024834 $     1.00  $  1050.93  
55626 $ 11026   $  1178331185  $  6352095126     $    69379225  $   218911921  $   218015130  $      166164  $      43      $       0      $      97      $           0  $              $0.185503      $69379224.000000      $13.982398 $13.925118 $0.010613 $     1.00  $  1312.05  
55624 $ 11027   $  3248406463  $  9267965423     $    11449056  $   407105472  $   405794698  $      481693  $       0      $       0      $      97      $           0  $              $0.350498      $11449056.000000      $26.002745 $25.919022 $0.030767 $     1.00  $   842.43  
55626 $ 12028   $  1123761995  $  5940901992     $    63604275  $   201892338  $   201044442  $      143129  $      43      $       0      $      97      $           0  $              $0.189157      $63604276.000000      $12.895319 $12.841163 $0.009142 $     1.00  $  1404.64  
55624 $ 12029   $  3294008837  $  9403879750     $    11602561  $   415399030  $   414118085  $      331027  $       0      $       0      $      97      $           0  $              $0.350282      $11602561.000000      $26.532475 $26.450655 $0.021143 $     1.00  $  1251.01  
55624 $ 13065   $  3421591165  $  9768409749     $    11976204  $   431480086  $   430158856  $      284818  $       0      $       0      $      97      $           0  $              $0.350271      $11976204.000000      $26.655142 $26.573519 $0.017595 $     1.00  $  1510.29  
55626 $ 13064   $   879912000  $  4754230553     $    51647630  $   160989991  $   160444693  $       88898  $      42      $       0      $      97      $           0  $              $0.185080      $51647632.000000      $9.945327 $9.911641 $0.005492 $     1.00  $  1804.82  
55624 $ 13123   $   186512619  $   532748208     $      647373  $    23510656  $    23446568  $        7421  $       0      $       0      $      97      $           0  $              $0.350095      $647373.000000      $25.942793 $25.872074 $0.008189 $     1.00  $  3159.49  
55624 $ 13125   $      688362  $     1974428     $        2359  $       86657  $       86514  $          11  $       0      $       0      $      97      $           0  $              $0.348639      $2359.000000      $2.773024 $2.768448 $0.000352 $     1.00  $  7864.91  
55624 $ 14128   $  3216579599  $  9190724922     $    11384354  $   404446490  $   402939312  $     1099447  $      44      $       0      $      97      $           0  $              $0.349981      $11384354.000000      $25.807154 $25.710983 $0.070154 $     1.00  $   366.49  
55644 $  1003   $  1253278971  $  6974870610     $    76131105  $   244989049  $   243786202  $      797302  $       0      $       0      $      97      $           0  $              $0.179685      $76131104.000000      $15.632402 $15.555651 $0.050875 $     1.00  $   305.76  
55644 $  2006   $  1087403015  $  6008191384     $    66279994  $   212249808  $   211148701  $      507067  $      41      $       0      $      97      $           0  $              $0.180987      $66279992.000000      $13.543358 $13.473098 $0.032355 $     1.01  $   416.41  
55624 $ 15131   $  2989928481  $  8541111908     $    10372024  $   377581567  $   376008086  $     1157983  $       0      $       0      $      97      $           0  $              $0.350063      $10372024.000000      $24.092941 $23.992540 $0.073889 $     1.00  $   324.71  
55644 $  2901   $   909105657  $  4912683527     $    53095455  $   170456337  $   169610438  $      367492  $      37      $       0      $      97      $           0  $              $0.185053      $53095456.000000      $12.189056 $12.128567 $0.026279 $     1.00  $   461.54  
55624 $ 16027   $  2947102821  $  8387020606     $    10005318  $   362546792  $   361151488  $      849185  $       0      $       0      $      97      $           0  $              $0.351389      $10005318.000000      $25.896198 $25.796535 $0.060656 $     1.00  $   425.29  
