PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57915 $  1003   $  1247595345  $  6939214781     $    78259931  $   244539224  $   243480529  $      622804  $      44      $       0      $      97      $           0  $              $0.179789      $78259928.000000      $15.603700 $15.536145 $0.039740 $     1.00  $   390.94  
57913 $  1003   $ 17317642603  $  9036992452     $     9755485  $   383714648  $   507773447  $      629526  $       0      $       0      $      97      $           0  $              $1.916306      $9755485.000000      $24.484285 $32.400299 $0.040169 $     0.76  $   806.60  
57915 $  2006   $  1193032209  $  6448581400     $    71729436  $   222517443  $   221622528  $       68683  $      44      $       0      $      97      $           0  $              $0.185007      $71729440.000000      $14.198521 $14.141418 $0.004383 $     1.00  $  3226.75  
57913 $  2005   $ 17884515587  $  9271166289     $    10109026  $   396986834  $   526641071  $      109846  $       0      $       0      $      97      $           0  $              $1.929047      $10109026.000000      $25.356445 $33.637753 $0.007016 $     0.75  $  4794.36  
57915 $  3008   $  1098002465  $  5940455118     $    66002817  $   205719713  $   204846922  $       53169  $      44      $       0      $      97      $           0  $              $0.184835      $66002816.000000      $13.139782 $13.084035 $0.003396 $     1.00  $  3852.75  
57913 $  3007   $ 18146193695  $  9403882662     $    10153386  $   402246380  $   531835344  $      103329  $       0      $       0      $      97      $           0  $              $1.929649      $10153386.000000      $25.692383 $33.969521 $0.006600 $     0.76  $  5147.01  
57915 $  4010   $   996003256  $  5398183719     $    60127616  $   186739443  $   186021836  $       48450  $      43      $       0      $      97      $           0  $              $0.184507      $60127616.000000      $11.927469 $11.881635 $0.003095 $     1.00  $  3839.46  
57913 $  4009   $ 18168711380  $  9407566035     $    10012857  $   402481676  $   530647616  $       94403  $       0      $       0      $      97      $           0  $              $1.931287      $10012857.000000      $25.707411 $33.893661 $0.006030 $     0.76  $  5621.09  
57915 $  5012   $  1231462486  $  6544324917     $    70939497  $   219201152  $   218350461  $       31694  $      44      $       0      $      97      $           0  $              $0.188173      $70939496.000000      $14.000872 $13.946537 $0.002024 $     1.00  $  6889.33  
57913 $  5011   $ 18004474118  $  9333026852     $    10144616  $   399540924  $   529279660  $       85997  $       0      $       0      $      97      $           0  $              $1.929114      $10144616.000000      $25.519581 $33.806286 $0.005493 $     0.75  $  6154.63  
57915 $  6014   $  1171121147  $  6591785545     $    75236967  $   235314893  $   234278751  $       52440  $      44      $       0      $      97      $           0  $              $0.177664      $75236968.000000      $15.030093 $14.963912 $0.003349 $     1.00  $  4467.56  
57913 $  6014   $ 17827577127  $  9230684209     $     9914580  $   395132985  $   521548412  $      101028  $       0      $       0      $      97      $           0  $              $1.931339      $9914580.000000      $25.212873 $33.279263 $0.006446 $     0.76  $  5162.41  
57915 $  6168   $   128482451  $   733072912     $     8170357  $    25857298  $    25774805  $        3068  $       4      $       0      $      97      $           0  $              $0.175266      $8170357.000000      $10.745890 $10.711607 $0.001275 $     1.00  $  8401.17  
57913 $  6168   $  1081797620  $   564990654     $      622529  $    23764681  $    31536175  $        2620  $       0      $       0      $      97      $           0  $              $1.914718      $622529.000000      $9.876230 $13.105944 $0.001089 $     0.75  $ 12036.71  
57915 $  7108   $  1137349895  $  6208675023     $    64391188  $   216463113  $   215565432  $       29064  $      28      $       0      $      97      $           0  $              $0.183187      $64391188.000000      $14.737914 $14.676796 $0.001979 $     1.00  $  7416.92  
57915 $  7110   $     1008666  $     4434221     $       36123  $      119960  $      119639  $           0  $       0      $       0      $      97      $           0  $              $0.227473      $36123.000000      $3.838720 $3.828448 $0.000000 $     1.00  $      inf  
57915 $  8112   $  1120013078  $  5940949013     $    64841853  $   202465730  $   201598245  $      137672  $      44      $       0      $      97      $           0  $              $0.188524      $64841852.000000      $12.931943 $12.876534 $0.008793 $     1.00  $  1464.34  
57933 $  1002   $ 17711803035  $  9240242070     $    10060719  $   392779523  $   520965397  $      691806  $       0      $       0      $      97      $           0  $              $1.916811      $10060719.000000      $25.087713 $33.275234 $0.044187 $     0.75  $   753.05  
