PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58953 $  1003   $ 14747790494  $  8834104942     $      213013  $  1858850628  $     7464523  $     4763681  $      46      $       0      $      97      $           0  $              $1.669415      $213013.000000      $118.610611 $0.476301 $0.303964 $   249.02  $     1.57  
58951 $  1003   $  6786351089  $  9119142655     $      122201  $    16031857  $    17324106  $      405162  $       0      $       0      $      97      $           0  $              $0.744187      $122201.000000      $1.022970 $1.105427 $0.025853 $     0.93  $    42.76  
58953 $  2006   $ 15325467504  $  9142710965     $      174410  $  1933067038  $     7251292  $     4797679  $      47      $       0      $      97      $           0  $              $1.676250      $174410.000000      $123.346252 $0.462695 $0.306133 $   266.58  $     1.51  
58951 $  2006   $  6848559146  $  9189195374     $      121854  $    16084985  $    17320405  $      312301  $       0      $       0      $      97      $           0  $              $0.745284      $121854.000000      $1.026360 $1.105190 $0.019927 $     0.93  $    55.46  
58953 $  3008   $ 15323139679  $  9141400797     $      173421  $  1932784524  $     7257910  $     4798819  $      47      $       0      $      97      $           0  $              $1.676235      $173421.000000      $123.451309 $0.463579 $0.306511 $   266.30  $     1.51  
58951 $  3008   $  6857273763  $  9189919982     $      124353  $    15556532  $    16428914  $      310739  $       0      $       0      $      97      $           0  $              $0.746173      $124353.000000      $0.993631 $1.049352 $0.019848 $     0.95  $    52.87  
58953 $  4010   $ 15324473161  $  9141525103     $      171925  $  1932925452  $     7255426  $     4797636  $      47      $       0      $      97      $           0  $              $1.676358      $171925.000000      $123.460304 $0.463420 $0.306436 $   266.41  $     1.51  
58951 $  4010   $  6862504211  $  9189447652     $      124362  $    14777340  $    15113593  $      313239  $       0      $       0      $      97      $           0  $              $0.746781      $124362.000000      $0.943862 $0.965339 $0.020007 $     0.98  $    48.25  
58953 $  5012   $ 15321196324  $  9140777336     $      172175  $  1932507368  $     7255383  $     4796672  $      47      $       0      $      97      $           0  $              $1.676137      $172175.000000      $123.433609 $0.463418 $0.306374 $   266.35  $     1.51  
58951 $  5012   $  6860474836  $  9188727456     $      124203  $    14924263  $    15320474  $      306788  $       0      $       0      $      97      $           0  $              $0.746619      $124203.000000      $0.953246 $0.978553 $0.019595 $     0.97  $    49.94  
58953 $  6015   $ 15325777174  $  9142171145     $      173552  $  1933086504  $     7266642  $     4801221  $      47      $       0      $      97      $           0  $              $1.676383      $173552.000000      $123.347488 $0.463674 $0.306359 $   266.02  $     1.51  
58951 $  6014   $  6864302101  $  9190191949     $      124049  $    15049335  $    15512217  $      307821  $       0      $       0      $      97      $           0  $              $0.746916      $124049.000000      $0.961235 $0.990800 $0.019661 $     0.97  $    50.39  
58953 $  7018   $ 15323396848  $  9141583900     $      172157  $  1932838943  $     7248855  $     4803993  $      47      $       0      $      97      $           0  $              $1.676230      $172157.000000      $123.331696 $0.462539 $0.306536 $   266.64  $     1.51  
58951 $  7017   $  6860684200  $  9190157778     $      123507  $    15417887  $    16126294  $      308695  $       0      $       0      $      97      $           0  $              $0.746525      $123507.000000      $0.983793 $1.028996 $0.019697 $     0.96  $    52.24  
58953 $  8020   $ 15322700395  $  9141205277     $      173692  $  1932704446  $     7252221  $     4803190  $      47      $       0      $      97      $           0  $              $1.676223      $173692.000000      $123.446190 $0.463216 $0.306791 $   266.50  $     1.51  
58951 $  8019   $  6859401088  $  9189531453     $      123657  $    15155365  $    15695653  $      309824  $       0      $       0      $      97      $           0  $              $0.746436      $123657.000000      $0.968007 $1.002517 $0.019789 $     0.97  $    50.66  
58953 $  9022   $ 15323804501  $  9141307863     $      171353  $  1932879781  $     7249716  $     4804681  $      47      $       0      $      97      $           0  $              $1.676325      $171353.000000      $123.457390 $0.463056 $0.306886 $   266.61  $     1.51  
58951 $  9021   $  6859316949  $  9189827765     $      124075  $    15291754  $    15957087  $      308621  $       0      $       0      $      97      $           0  $              $0.746403      $124075.000000      $0.976719 $1.019215 $0.019712 $     0.96  $    51.70  
58953 $ 10024   $ 15369792573  $  9147939964     $      169284  $  1943317354  $     6929559  $     4611509  $      47      $       0      $      97      $           0  $              $1.680137      $169284.000000      $124.124062 $0.442607 $0.294547 $   280.44  $     1.50  
58951 $ 10023   $  6847969760  $  9189385515     $      123973  $    16197565  $    17503334  $      278231  $       0      $       0      $      97      $           0  $              $0.745204      $123973.000000      $1.034575 $1.117977 $0.017771 $     0.93  $    62.91  
58953 $ 10472   $  6892225007  $  4128515632     $       80361  $   865517738  $     3554679  $     2298437  $      20      $       0      $      97      $           0  $              $1.669420      $80361.000000      $123.645393 $0.507811 $0.328348 $   243.49  $     1.55  
58951 $ 10471   $  2447845626  $  3368388369     $       98624  $     5220782  $     5429506  $      127629  $       0      $       0      $      97      $           0  $              $0.726711      $98624.000000      $0.745826 $0.775644 $0.018233 $     0.96  $    42.54  
58953 $ 11105   $ 10060649831  $  5988552480     $      111692  $  1271866266  $     4579813  $     2741694  $      24      $       0      $      97      $           0  $              $1.679980      $111692.000000      $128.593109 $0.463046 $0.277201 $   277.71  $     1.67  
58953 $ 11107   $     8523674  $     5028523     $          67  $     1092199  $        2697  $        1986  $       0      $       0      $      97      $           0  $              $1.695065      $67.000000      $34.950367 $0.086304 $0.063552 $   404.97  $     1.36  
58953 $ 12110   $ 15323223601  $  9142919405     $      174939  $  1932758828  $     7241744  $     4802668  $      47      $       0      $      97      $           0  $              $1.675966      $174939.000000      $123.326584 $0.462085 $0.306451 $   266.89  $     1.51  
58971 $  1003   $  6828904605  $  9181741783     $      119901  $    16820381  $    18588941  $      359491  $       0      $       0      $      97      $           0  $              $0.743748      $119901.000000      $1.073285 $1.186134 $0.022939 $     0.90  $    51.71  
58953 $ 13112   $ 15323709192  $  9141956075     $      174735  $  1932853548  $     7249938  $     4801166  $      47      $       0      $      97      $           0  $              $1.676196      $174735.000000      $123.455711 $0.463070 $0.306661 $   266.60  $     1.51  
58971 $  2005   $  6846591808  $  9187948459     $      121879  $    16779523  $    18498208  $      304217  $       0      $       0      $      97      $           0  $              $0.745171      $121879.000000      $1.071746 $1.181522 $0.019431 $     0.91  $    60.81  
58953 $ 14115   $ 15321687157  $  9140302234     $      172680  $  1932592887  $     7261947  $     4801879  $      47      $       0      $      97      $           0  $              $1.676278      $172680.000000      $123.315994 $0.463374 $0.306401 $   266.13  $     1.51  
58971 $  3008   $  6843856181  $  9187943450     $      119803  $    15933386  $    17043171  $      300244  $       0      $       0      $      97      $           0  $              $0.744874      $119803.000000      $1.016687 $1.087500 $0.019158 $     0.93  $    56.76  
58971 $  3384   $  2559347348  $  3437726498     $       49415  $     6262760  $     6890055  $       94836  $       0      $       0      $      97      $           0  $              $0.744488      $49415.000000      $1.066002 $1.172775 $0.016142 $     0.91  $    72.65  
58953 $ 14492   $  5703261770  $  3402704515     $       73233  $   721312110  $     2496215  $     1682141  $      17      $       0      $      97      $           0  $              $1.676097      $73233.000000      $122.450867 $0.423761 $0.285562 $   288.96  $     1.48  
