PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58327 $  1004   $  3304465014  $  8812675019     $    11560530  $   369146231  $   365155540  $     2323227  $      49      $       0      $      97      $           0  $              $0.374967      $11560530.000000      $23.531235 $23.276848 $0.148094 $     1.01  $   157.18  
58325 $  1004   $ 14678828080  $  8797307215     $      211548  $  1849853539  $     7728804  $     4974666  $       0      $       0      $      97      $           0  $              $1.668559      $211548.000000      $117.918953 $0.492673 $0.317110 $   239.35  $     1.55  
58327 $  2006   $  3423833252  $  9183608477     $    12122270  $   386672866  $   382580511  $     1798173  $      51      $       0      $      97      $           0  $              $0.372820      $12122270.000000      $24.697668 $24.436279 $0.114853 $     1.01  $   212.76  
58325 $  2006   $ 15303714947  $  9136391608     $      170572  $  1929829086  $     7402454  $     5066136  $       0      $       0      $      97      $           0  $              $1.675028      $170572.000000      $123.262535 $0.472811 $0.323586 $   260.70  $     1.46  
58327 $  3008   $  3445378417  $  9176229896     $    12032953  $   384534776  $   380437660  $     2184090  $      51      $       0      $      97      $           0  $              $0.375468      $12032953.000000      $24.561104 $24.299412 $0.139503 $     1.01  $   174.19  
58325 $  3008   $ 15300543462  $  9136268157     $      170810  $  1929384813  $     7398874  $     5065580  $       0      $       0      $      97      $           0  $              $1.674704      $170810.000000      $123.234161 $0.472583 $0.323550 $   260.77  $     1.46  
58327 $  4010   $  3424058461  $  9184541129     $    12116439  $   386779720  $   382612080  $     1810386  $      51      $       0      $      97      $           0  $              $0.372807      $12116439.000000      $24.704493 $24.438297 $0.115633 $     1.01  $   211.34  
58325 $  4010   $ 15304982272  $  9136489009     $      169256  $  1930048406  $     7402799  $     5065299  $       0      $       0      $      97      $           0  $              $1.675149      $169256.000000      $123.276543 $0.472833 $0.323532 $   260.72  $     1.46  
58327 $  5012   $  3425138398  $  9186061238     $    12115007  $   386825626  $   382729132  $     1785680  $      51      $       0      $      97      $           0  $              $0.372863      $12115007.000000      $24.707426 $24.445772 $0.114055 $     1.01  $   214.33  
58325 $  5012   $ 15310362323  $  9139912133     $      168395  $  1930693871  $     7379929  $     5069760  $       0      $       0      $      97      $           0  $              $1.675111      $168395.000000      $123.317772 $0.471373 $0.323817 $   261.61  $     1.46  
58327 $  6015   $  3446031841  $  9178224658     $    12044380  $   384649347  $   380549137  $     2153215  $      51      $       0      $      97      $           0  $              $0.375457      $12044380.000000      $24.543926 $24.282299 $0.137394 $     1.01  $   176.74  
58325 $  6015   $ 15301675830  $  9136381032     $      170274  $  1929525979  $     7382486  $     5072448  $       0      $       0      $      97      $           0  $              $1.674807      $170274.000000      $123.120308 $0.471066 $0.323666 $   261.37  $     1.46  
