PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60811 $  1004   $  2391370717  $  8787981033     $    10056334  $   264348345  $   258535661  $     8679399  $      46      $       0      $      97      $           0  $              $0.272118      $10056334.000000      $16.850891 $16.480362 $0.553268 $     1.02  $    29.79  
60809 $  1004   $  4885403873  $  8793094418     $     5441547  $   214101213  $   142685910  $   138916886  $       0      $       0      $      97      $           0  $              $0.555596      $5441547.000000      $13.647886 $9.095516 $8.855259 $     1.50  $     1.03  
60811 $  2007   $  2399187411  $  9072936102     $    10632458  $   276055593  $   269780490  $     8695707  $      48      $       0      $      97      $           0  $              $0.264433      $10632458.000000      $17.614714 $17.214308 $0.554861 $     1.02  $    31.02  
60809 $  2007   $  5119339746  $  9109299829     $     5862422  $   231915883  $   154356135  $   150375940  $       0      $       0      $      97      $           0  $              $0.561990      $5862422.000000      $14.798223 $9.849244 $9.595274 $     1.50  $     1.03  
60811 $  3010   $  2397669284  $  9073445574     $    10620429  $   275825678  $   269616918  $     8687542  $      48      $       0      $      97      $           0  $              $0.264251      $10620429.000000      $17.600042 $17.203873 $0.554340 $     1.02  $    31.03  
60809 $  3010   $  5103341511  $  9108781382     $     5903922  $   231071054  $   154289988  $   150319643  $       0      $       0      $      97      $           0  $              $0.560266      $5903922.000000      $14.744314 $9.845024 $9.591682 $     1.50  $     1.03  
60811 $  4013   $  2362535222  $  9069996230     $    10484850  $   272116738  $   265753651  $     8612813  $      48      $       0      $      97      $           0  $              $0.260478      $10484850.000000      $17.363380 $16.957361 $0.549571 $     1.02  $    30.86  
60809 $  4013   $  5170565580  $  9106057059     $     6156374  $   240096271  $   159878239  $   155779894  $       0      $       0      $      97      $           0  $              $0.567816      $6156374.000000      $15.320201 $10.201603 $9.940092 $     1.50  $     1.03  
60811 $  5016   $  2222416785  $  9106787988     $     7975453  $   284883073  $   278103356  $     8950225  $      48      $       0      $      97      $           0  $              $0.244040      $7975453.000000      $18.177982 $17.745378 $0.571101 $     1.02  $    31.07  
60809 $  5016   $  5119245071  $  9108713205     $     5900764  $   232335891  $   154763853  $   150761228  $       0      $       0      $      97      $           0  $              $0.562016      $5900764.000000      $14.825022 $9.875261 $9.619860 $     1.50  $     1.03  
60811 $  6019   $  2210259961  $  9108175933     $     7736948  $   286437710  $   279615366  $     8997627  $      48      $       0      $      97      $           0  $              $0.242668      $7736948.000000      $18.277182 $17.841858 $0.574126 $     1.02  $    31.08  
60809 $  6019   $  5114131311  $  9107218818     $     5867246  $   231592253  $   154281491  $   150288658  $       0      $       0      $      97      $           0  $              $0.561547      $5867246.000000      $14.777572 $9.844481 $9.589705 $     1.50  $     1.03  
60811 $  7022   $  2207869766  $  9108452230     $     7730969  $   286143060  $   279316234  $     8986176  $      47      $       0      $      97      $           0  $              $0.242398      $7730969.000000      $18.258381 $17.822769 $0.573395 $     1.02  $    31.08  
60809 $  7022   $  5099251831  $  9107286320     $     5904096  $   230887014  $   154278222  $   150297650  $       0      $       0      $      97      $           0  $              $0.559909      $5904096.000000      $14.732571 $9.844274 $9.590279 $     1.50  $     1.03  
60811 $  8025   $  2236862613  $  9111616144     $     7635147  $   282690557  $   275976834  $     9304119  $      47      $       0      $      97      $           0  $              $0.245496      $7635147.000000      $18.038082 $17.609688 $0.593683 $     1.02  $    29.66  
60809 $  8025   $  5104470696  $  9110477020     $     5853402  $   231181908  $   153960080  $   149985648  $       0      $       0      $      97      $           0  $              $0.560286      $5853402.000000      $14.751388 $9.823974 $9.570371 $     1.50  $     1.03  
60811 $  9028   $  2389865340  $  9117722109     $    10625510  $   274701979  $   268468455  $     8725060  $      48      $       0      $      97      $           0  $              $0.262112      $10625510.000000      $17.528341 $17.130589 $0.556734 $     1.02  $    30.77  
60809 $  9028   $  5143843380  $  9117212790     $     6071360  $   236343845  $   157713882  $   153673109  $       0      $       0      $      97      $           0  $              $0.564190      $6071360.000000      $15.080764 $10.063498 $9.805661 $     1.50  $     1.03  
60811 $ 10031   $  2390519628  $  9119501415     $    10633630  $   275120990  $   268860114  $     8697686  $      48      $       0      $      97      $           0  $              $0.262133      $10633630.000000      $17.555079 $17.155581 $0.554987 $     1.02  $    30.91  
60809 $ 10031   $  5157417449  $  9119816215     $     6020383  $   236671120  $   157426390  $   153376579  $       0      $       0      $      97      $           0  $              $0.565518      $6020383.000000      $15.101646 $10.045153 $9.786740 $     1.50  $     1.03  
60811 $ 11034   $  2410672961  $  9118923671     $    10704087  $   277175548  $   271076243  $     8745992  $      48      $       0      $      97      $           0  $              $0.264359      $10704087.000000      $17.686176 $17.296989 $0.558069 $     1.02  $    30.99  
60809 $ 11034   $  5110228963  $  9118273880     $     5924260  $   231423557  $   154556708  $   150580344  $       0      $       0      $      97      $           0  $              $0.560438      $5924260.000000      $14.766807 $9.862043 $9.608317 $     1.50  $     1.03  
60811 $ 12037   $  2409648627  $  9120547676     $    10703037  $   277060859  $   270961849  $     8747860  $      48      $       0      $      97      $           0  $              $0.264200      $10703037.000000      $17.678858 $17.289690 $0.558188 $     1.02  $    30.97  
60809 $ 12037   $  5117628065  $  9119606370     $     5905651  $   231821593  $   154579946  $   150601945  $       0      $       0      $      97      $           0  $              $0.561168      $5905651.000000      $14.792206 $9.863526 $9.609695 $     1.50  $     1.03  
60811 $ 13040   $  2216362595  $  9119680739     $     7845797  $   286113375  $   279348587  $     8984463  $      47      $       0      $      97      $           0  $              $0.243031      $7845797.000000      $18.256487 $17.824835 $0.573286 $     1.02  $    31.09  
60809 $ 13040   $  5122980442  $  9118597308     $     5869941  $   232079861  $   154515525  $   150516439  $       0      $       0      $      97      $           0  $              $0.561817      $5869941.000000      $14.808684 $9.859415 $9.604239 $     1.50  $     1.03  
60811 $ 13316   $   701997356  $  2560670648     $     2433823  $    90043285  $    88599488  $     1635761  $      12      $       0      $      97      $           0  $              $0.274146      $2433823.000000      $20.879602 $20.544809 $0.379307 $     1.02  $    54.16  
60809 $ 13316   $   979268267  $  1712226654     $     1288624  $    45881241  $    30563100  $    29788472  $       0      $       0      $      97      $           0  $              $0.571927      $1288624.000000      $10.639128 $7.087096 $6.907472 $     1.50  $     1.03  
60811 $ 14124   $  2591670671  $  7414303547     $     9193857  $   326641270  $   325734605  $       89487  $      28      $       0      $      97      $           0  $              $0.349550      $9193857.000000      $25.872576 $25.800760 $0.007088 $     1.00  $  3640.02  
60811 $ 14126   $     2007221  $     5771820     $        7184  $      253128  $      252509  $         303  $       0      $       0      $      97      $           0  $              $0.347762      $7184.000000      $8.100096 $8.080288 $0.009696 $     1.00  $   833.36  
60811 $ 15129   $  2269585107  $  9119120521     $     7701274  $   293521305  $   286960927  $     9567576  $      47      $       0      $      97      $           0  $              $0.248882      $7701274.000000      $18.729176 $18.310568 $0.610493 $     1.02  $    29.99  
60829 $  1003   $  4915532107  $  8898642506     $     5417479  $   215767464  $   143565314  $   139846085  $       0      $       0      $      97      $           0  $              $0.552391      $5417479.000000      $13.767814 $9.160698 $8.923379 $     1.50  $     1.03  
60829 $  1420   $  2095992696  $  3779597267     $     2348533  $    92821161  $    62079356  $    60473913  $       0      $       0      $      97      $           0  $              $0.554555      $2348533.000000      $14.245934 $9.527767 $9.281368 $     1.50  $     1.03  
