PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60897 $  1003   $  4168265569  $  2073719970     $      596731  $      566198  $      714892  $      375066  $      36      $       0      $      97      $           0  $              $2.010043      $596731.000000      $0.036128 $0.045616 $0.023932 $     0.79  $     1.91  
60895 $  1004   $  5217854632  $  8830247726     $     5921472  $   230977166  $   153621737  $   149912133  $       0      $       0      $      97      $           0  $              $0.590907      $5921472.000000      $14.723644 $9.792621 $9.556151 $     1.50  $     1.02  
60897 $  2006   $  4269678677  $  2130137085     $      593977  $      581715  $      740273  $      403094  $      37      $       0      $      97      $           0  $              $2.004415      $593977.000000      $0.037118 $0.047236 $0.025721 $     0.79  $     1.84  
60895 $  2007   $  5440051297  $  9134795773     $     6393566  $   248011647  $   165293959  $   161363398  $       0      $       0      $      97      $           0  $              $0.595531      $6393566.000000      $15.825270 $10.547172 $10.296368 $     1.50  $     1.02  
60897 $  3009   $  4331793538  $  2160430449     $      593983  $      589279  $      748892  $      409655  $      37      $       0      $      97      $           0  $              $2.005060      $593983.000000      $0.037601 $0.047786 $0.026140 $     0.79  $     1.83  
60895 $  3010   $  5447545314  $  9278536950     $     6424456  $   248367003  $   165667941  $   161735627  $       0      $       0      $      97      $           0  $              $0.587113      $6424456.000000      $15.847944 $10.571034 $10.320120 $     1.50  $     1.02  
60897 $  4012   $  4272518981  $  2129913609     $      597147  $      581513  $      741281  $      404055  $      37      $       0      $      97      $           0  $              $2.005959      $597147.000000      $0.037106 $0.047300 $0.025782 $     0.78  $     1.83  
60895 $  4013   $  5442639387  $  9134098742     $     6387828  $   248136808  $   165289530  $   161359301  $       0      $       0      $      97      $           0  $              $0.595860      $6387828.000000      $15.833256 $10.546889 $10.296106 $     1.50  $     1.02  
60897 $  5015   $  4268115531  $  2129352828     $      596051  $      581054  $      737192  $      402979  $      38      $       0      $      97      $           0  $              $2.004419      $596051.000000      $0.037076 $0.047039 $0.025714 $     0.79  $     1.83  
60895 $  5016   $  5423079885  $  9134590699     $     6377678  $   246465808  $   164521099  $   160604322  $       0      $       0      $      97      $           0  $              $0.593686      $6377678.000000      $15.726632 $10.497857 $10.247932 $     1.50  $     1.02  
60897 $  6018   $  4278203931  $  2131879319     $      591277  $      581967  $      739278  $      399481  $      37      $       0      $      97      $           0  $              $2.006776      $591277.000000      $0.037134 $0.047172 $0.025490 $     0.79  $     1.85  
60895 $  6019   $  5417266763  $  9134844060     $     6314794  $   245157957  $   163459120  $   159555571  $       0      $       0      $      97      $           0  $              $0.593033      $6314794.000000      $15.643179 $10.430094 $10.181013 $     1.50  $     1.02  
60897 $  7020   $  4343123087  $  2163935354     $      593257  $      590547  $      748237  $      405404  $      37      $       0      $      97      $           0  $              $2.007049      $593257.000000      $0.037720 $0.047792 $0.025894 $     0.79  $     1.85  
60895 $  7021   $  5429267765  $  9283239497     $     6306413  $   245239215  $   163568035  $   159675441  $       0      $       0      $      97      $           0  $              $0.584846      $6306413.000000      $15.663981 $10.447459 $10.198831 $     1.50  $     1.02  
60897 $  8023   $  4275026655  $  2131227564     $      593948  $      582052  $      739875  $      402447  $      37      $       0      $      97      $           0  $              $2.005899      $593948.000000      $0.037140 $0.047210 $0.025680 $     0.79  $     1.84  
60895 $  8024   $  5436678568  $  9135018534     $     6323973  $   247127240  $   164426972  $   160495686  $       0      $       0      $      97      $           0  $              $0.595147      $6323973.000000      $15.768836 $10.491851 $10.241000 $     1.50  $     1.02  
60897 $  9026   $  4270586000  $  2129915548     $      594790  $      581230  $      741675  $      404252  $      38      $       0      $      97      $           0  $              $2.005049      $594790.000000      $0.037087 $0.047325 $0.025795 $     0.78  $     1.83  
60895 $  9027   $  5439850815  $  9134194879     $     6394248  $   247999302  $   165283852  $   161348719  $       0      $       0      $      97      $           0  $              $0.595548      $6394248.000000      $15.824482 $10.546527 $10.295432 $     1.50  $     1.02  
60897 $ 10029   $  4409577640  $  2202182127     $      468857  $      598895  $      760406  $      415715  $      39      $       0      $      97      $           0  $              $2.002367      $468857.000000      $0.038215 $0.048520 $0.026526 $     0.79  $     1.83  
60895 $ 10030   $  5460073419  $  9469277724     $     6404693  $   248938788  $   165836405  $   161906707  $       0      $       0      $      97      $           0  $              $0.576609      $6404693.000000      $15.884429 $10.581784 $10.331036 $     1.50  $     1.02  
60897 $ 11032   $  4380308482  $  2189676370     $      287235  $      594603  $      757242  $      413409  $      38      $       0      $      97      $           0  $              $2.000437      $287235.000000      $0.037941 $0.048319 $0.026379 $     0.79  $     1.83  
60895 $ 11033   $  5460968075  $  9411055461     $     6446108  $   249030649  $   166081250  $   162157047  $       0      $       0      $      97      $           0  $              $0.580272      $6446108.000000      $15.890291 $10.597407 $10.347010 $     1.50  $     1.02  
60897 $ 12035   $  4252510907  $  2129009168     $      121718  $      578299  $      738739  $      401400  $      37      $       0      $      97      $           0  $              $1.997413      $121718.000000      $0.036900 $0.047138 $0.025613 $     0.78  $     1.84  
60895 $ 12037   $  5449688833  $  9134442620     $     6392897  $   248499118  $   165499638  $   161581576  $       0      $       0      $      97      $           0  $              $0.596609      $6392897.000000      $15.840581 $10.549777 $10.300020 $     1.50  $     1.02  
60897 $ 12490   $  1974357231  $   980565726     $       80829  $      267348  $      336288  $      166714  $      16      $       0      $      97      $           0  $              $2.013488      $80829.000000      $0.037605 $0.047302 $0.023450 $     0.79  $     2.02  
60895 $ 12492   $  2179102747  $  3594248536     $     2716341  $   102172308  $    68049807  $    66465261  $       0      $       0      $      97      $           0  $              $0.606275      $2716341.000000      $14.371489 $9.571841 $9.348960 $     1.50  $     1.02  
60897 $ 13096   $  3109345984  $  1457029529     $      439380  $      393869  $      412594  $         118  $      13      $       0      $      97      $           0  $              $2.134031      $439380.000000      $0.041597 $0.043574 $0.000012 $     0.95  $  3496.56  
60897 $ 13098   $     3540917  $     1674388     $           3  $         447  $         469  $           0  $       0      $       0      $      97      $           0  $              $2.114753      $3.000000      $0.014304 $0.015008 $0.000000 $     0.95  $      inf  
60897 $ 14100   $  4291620803  $  2138032471     $      595445  $      579684  $      744877  $      380759  $      37      $       0      $      97      $           0  $              $2.007276      $595445.000000      $0.037026 $0.047577 $0.024320 $     0.78  $     1.96  
60912 $  1002   $  5269908570  $  8919692011     $     5987811  $   233889550  $   155463939  $   151769746  $       0      $       0      $      97      $           0  $              $0.590817      $5987811.000000      $14.939054 $9.929832 $9.693876 $     1.50  $     1.02  
60897 $ 15103   $  4332850421  $  2169420337     $      362664  $      587775  $      762189  $      410869  $      37      $       0      $      97      $           0  $              $1.997239      $362664.000000      $0.037505 $0.048634 $0.026217 $     0.77  $     1.86  
60912 $  2005   $  5460980209  $  9319641421     $     6442310  $   249293161  $   166279520  $   162409343  $       0      $       0      $      97      $           0  $              $0.585965      $6442310.000000      $15.907042 $10.610059 $10.363109 $     1.50  $     1.02  
60897 $ 16106   $  4237737830  $  2125866382     $      122131  $      575680  $      748388  $      403743  $      39      $       0      $      97      $           0  $              $1.993417      $122131.000000      $0.036733 $0.047754 $0.025762 $     0.77  $     1.85  
60912 $  3008   $  5454724380  $  9134657788     $     6390447  $   248972720  $   165671209  $   161794037  $       0      $       0      $      97      $           0  $              $0.597146      $6390447.000000      $15.886595 $10.571244 $10.323847 $     1.50  $     1.02  
60897 $ 17109   $  4249506763  $  2128966843     $      120135  $      575623  $      747811  $      400012  $      39      $       0      $      97      $           0  $              $1.996042      $120135.000000      $0.036730 $0.047717 $0.025524 $     0.77  $     1.87  
60912 $  4011   $  5423296429  $  9135740222     $     6333101  $   245700744  $   163890784  $   160057927  $       0      $       0      $      97      $           0  $              $0.593635      $6333101.000000      $15.677814 $10.457637 $10.213068 $     1.50  $     1.02  
60897 $ 18111   $  4251756897  $  2128939070     $      122139  $      575782  $      746969  $      397312  $      39      $       0      $      97      $           0  $              $1.997125      $122139.000000      $0.036776 $0.047711 $0.025377 $     0.77  $     1.88  
60912 $  5013   $  5422972472  $  9136284230     $     6286600  $   245231921  $   163432547  $   159617303  $       0      $       0      $      97      $           0  $              $0.593564      $6286600.000000      $15.663516 $10.438806 $10.195117 $     1.50  $     1.02  
60897 $ 19114   $  4334677008  $  2169900589     $      123411  $      586345  $      758184  $      404858  $      38      $       0      $      97      $           0  $              $1.997639      $123411.000000      $0.037414 $0.048379 $0.025833 $     0.77  $     1.87  
60912 $  6016   $  5456156790  $  9326392109     $     6328682  $   247364928  $   164584822  $   160734705  $       0      $       0      $      97      $           0  $              $0.585023      $6328682.000000      $15.784003 $10.501923 $10.256252 $     1.50  $     1.02  
60897 $ 20117   $  7017201730  $  5463833990     $       71261  $    22892671  $    30128533  $     8853344  $      44      $       0      $      97      $           0  $              $1.284300      $71261.000000      $1.460749 $1.922459 $0.564919 $     0.76  $     3.40  
60912 $  7019   $  5220272418  $  9121788899     $     6153650  $   241591054  $   160916482  $   157194121  $       0      $       0      $      97      $           0  $              $0.572286      $6153650.000000      $15.415581 $10.267851 $10.030334 $     1.50  $     1.02  
60897 $ 21120   $ 11869174514  $  9119451943     $       80435  $    27037868  $    42414456  $     7737418  $      48      $       0      $      97      $           0  $              $1.301523      $80435.000000      $1.725248 $2.706406 $0.493714 $     0.64  $     5.48  
60912 $  8022   $  5319900639  $  9121058370     $     6153957  $   243706348  $   161988971  $   158103744  $       0      $       0      $      97      $           0  $              $0.583255      $6153957.000000      $15.550555 $10.336286 $10.088374 $     1.50  $     1.02  
60897 $ 22123   $ 11858593591  $  9114155629     $       79413  $    26982264  $    42346571  $     7761291  $      48      $       0      $      97      $           0  $              $1.301118      $79413.000000      $1.721700 $2.702074 $0.495237 $     0.64  $     5.46  
60912 $  9025   $  5280124248  $  9112001107     $     6109842  $   239997536  $   160051515  $   156218091  $       0      $       0      $      97      $           0  $              $0.579469      $6109842.000000      $15.313901 $10.212659 $9.968054 $     1.50  $     1.02  
60897 $ 23126   $ 11863071647  $  9115009448     $       79540  $    26986131  $    42362125  $     7765164  $      47      $       0      $      97      $           0  $              $1.301488      $79540.000000      $1.721947 $2.703067 $0.495484 $     0.64  $     5.46  
