PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61224 $  1003   $  2379852808  $  8775922655     $    10310115  $   269807725  $   263346606  $     8822816  $      47      $       0      $      97      $           0  $              $0.271180      $10310115.000000      $17.216045 $16.803772 $0.562971 $     1.02  $    29.85  
61222 $  1003   $  4899388838  $  8828374125     $     5472298  $   215118274  $   143468345  $   139592640  $       0      $       0      $      97      $           0  $              $0.554959      $5472298.000000      $13.726390 $9.154511 $8.907207 $     1.50  $     1.03  
61224 $  2005   $  2414764679  $  9107539158     $    10800709  $   278296092  $   271515634  $     8768133  $      48      $       0      $      97      $           0  $              $0.265139      $10800709.000000      $17.775400 $17.342318 $0.560040 $     1.02  $    30.97  
61222 $  2005   $  5100823873  $  9107598247     $     5887889  $   231159317  $   154299077  $   150216680  $       0      $       0      $      97      $           0  $              $0.560062      $5887889.000000      $14.764667 $9.855430 $9.594678 $     1.50  $     1.03  
61224 $  3007   $  2418200463  $  9117218862     $    10814946  $   278626030  $   271892865  $     8781820  $      48      $       0      $      97      $           0  $              $0.265234      $10814946.000000      $17.796473 $17.366411 $0.560915 $     1.02  $    30.96  
61222 $  3007   $  5109693504  $  9116359859     $     5886209  $   231591244  $   154476282  $   150388741  $       0      $       0      $      97      $           0  $              $0.560497      $5886209.000000      $14.792255 $9.866749 $9.605668 $     1.50  $     1.03  
61224 $  4009   $  2384225280  $  9118214000     $    10699303  $   274947278  $   268174586  $     8711610  $      48      $       0      $      97      $           0  $              $0.261479      $10699303.000000      $17.561502 $17.128916 $0.556430 $     1.03  $    30.78  
61222 $  4009   $  5159261265  $  9117771084     $     6155523  $   239226754  $   159640429  $   155441281  $       0      $       0      $      97      $           0  $              $0.565847      $6155523.000000      $15.279952 $10.196594 $9.928385 $     1.50  $     1.03  
61224 $  5011   $  2445586868  $  9112405994     $    10637948  $   274104001  $   267455561  $     9003219  $      48      $       0      $      97      $           0  $              $0.268380      $10637948.000000      $17.507641 $17.082991 $0.575056 $     1.02  $    29.71  
61222 $  5011   $  5110242110  $  9120997628     $     5923023  $   232621441  $   155191219  $   151094827  $       0      $       0      $      97      $           0  $              $0.560272      $5923023.000000      $14.858056 $9.912413 $9.650767 $     1.50  $     1.03  
61224 $  6013   $  2417427786  $  9120228584     $    10804976  $   278600191  $   271816928  $     8780143  $      48      $       0      $      97      $           0  $              $0.265062      $10804976.000000      $17.794823 $17.361561 $0.560808 $     1.02  $    30.96  
61222 $  6013   $  5114348551  $  9120529950     $     5881607  $   231844275  $   154545193  $   150455144  $       0      $       0      $      97      $           0  $              $0.560751      $5881607.000000      $14.808416 $9.871151 $9.609909 $     1.50  $     1.03  
61224 $  7015   $  2418201527  $  9120787276     $    10813915  $   278615891  $   271901709  $     8788787  $      48      $       0      $      97      $           0  $              $0.265131      $10813915.000000      $17.795826 $17.366974 $0.561360 $     1.02  $    30.94  
61222 $  7016   $  5109012044  $  9120406358     $     5899404  $   231597455  $   154577131  $   150485207  $       0      $       0      $      97      $           0  $              $0.560174      $5899404.000000      $14.777904 $9.863347 $9.602246 $     1.50  $     1.03  
61224 $  8017   $  2416405489  $  9119860611     $    10809626  $   278414159  $   271707822  $     8781656  $      48      $       0      $      97      $           0  $              $0.264961      $10809626.000000      $17.782940 $17.354591 $0.560904 $     1.02  $    30.94  
61222 $  8019   $  5100524277  $  9119191526     $     5914098  $   231144936  $   154523676  $   150441784  $       0      $       0      $      97      $           0  $              $0.559318      $5914098.000000      $14.749028 $9.859936 $9.599476 $     1.50  $     1.03  
61224 $  9019   $  2433889484  $  9111103502     $    10595691  $   272864160  $   266183118  $     8985498  $      48      $       0      $      97      $           0  $              $0.267134      $10595691.000000      $17.428450 $17.001717 $0.573924 $     1.03  $    29.62  
61222 $  9021   $  5128100662  $  9119344013     $     6004477  $   235189379  $   156853486  $   152722789  $       0      $       0      $      97      $           0  $              $0.562332      $6004477.000000      $15.022076 $10.018586 $9.754748 $     1.50  $     1.03  
61224 $ 10021   $  2394066832  $  9109591971     $    10727147  $   276068523  $   269247988  $     8720148  $      48      $       0      $      97      $           0  $              $0.262807      $10727147.000000      $17.633118 $17.197477 $0.556976 $     1.03  $    30.88  
61222 $ 10023   $  5151044464  $  9110207382     $     6019732  $   237143253  $   157769464  $   153598541  $       0      $       0      $      97      $           0  $              $0.565415      $6019732.000000      $15.146874 $10.077092 $9.810685 $     1.50  $     1.03  
