PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62049 $  1003   $  2184819972  $  8637910638     $     8695297  $   274248340  $   270519554  $     9341274  $      47      $       0      $      97      $           0  $              $0.252934      $8695297.000000      $17.499397 $17.261467 $0.596053 $     1.01  $    28.96  
62047 $  1003   $  5311519036  $  7776497054     $      164711  $   147483416  $   149215908  $   139128457  $       0      $       0      $      97      $           0  $              $0.683022      $164711.000000      $9.410707 $9.521255 $8.877589 $     0.99  $     1.07  
62049 $  2006   $  2192079426  $  9069953914     $     8899004  $   281394215  $   277140606  $     9138698  $      49      $       0      $      97      $           0  $              $0.241686      $8899004.000000      $17.955362 $17.683947 $0.583127 $     1.02  $    30.33  
62047 $  2006   $  6151809420  $  9112973486     $      170251  $   191995989  $   192055293  $   187527651  $       0      $       0      $      97      $           0  $              $0.675061      $170251.000000      $12.250990 $12.254775 $11.965872 $     1.00  $     1.02  
62049 $  3008   $  2190899199  $  9061705599     $     8889586  $   281205997  $   276974872  $     9128592  $      49      $       0      $      97      $           0  $              $0.241776      $8889586.000000      $17.961260 $17.691010 $0.583064 $     1.02  $    30.34  
62047 $  3009   $  6160919118  $  9104407108     $      169834  $   191807037  $   191864119  $   187347495  $       0      $       0      $      97      $           0  $              $0.676696      $169834.000000      $12.238934 $12.242576 $11.954376 $     1.00  $     1.02  
62049 $  4010   $  2192059985  $  9072634421     $     8896114  $   281353399  $   277118746  $     9138809  $      49      $       0      $      97      $           0  $              $0.241612      $8896114.000000      $17.970676 $17.700199 $0.583716 $     1.02  $    30.32  
62047 $  4011   $  6168359170  $  9115618016     $      170332  $   191983288  $   192040826  $   187521687  $       0      $       0      $      97      $           0  $              $0.676680      $170332.000000      $12.262406 $12.266081 $11.977432 $     1.00  $     1.02  
62049 $  5012   $  2184199635  $  9073722431     $     8846089  $   280412997  $   276166456  $     9106725  $      49      $       0      $      97      $           0  $              $0.240717      $8846089.000000      $17.910610 $17.639376 $0.581667 $     1.02  $    30.33  
62047 $  5013   $  6147286799  $  9117395202     $      172082  $   192602910  $   192660266  $   188091103  $       0      $       0      $      97      $           0  $              $0.674237      $172082.000000      $12.301983 $12.305646 $12.013803 $     1.00  $     1.02  
62049 $  6014   $  2184925005  $  9071706374     $     8836596  $   280535862  $   276245304  $     9108806  $      49      $       0      $      97      $           0  $              $0.240850      $8836596.000000      $17.918459 $17.644411 $0.581800 $     1.02  $    30.33  
62047 $  6015   $  6136099447  $  9115832730     $      172732  $   192820448  $   192877002  $   188306745  $       0      $       0      $      97      $           0  $              $0.673126      $172732.000000      $12.315877 $12.319489 $12.027577 $     1.00  $     1.02  
62049 $  7016   $  2379749978  $  9104738789     $     9199452  $   304363545  $   300490966  $     9758863  $      48      $       0      $      97      $           0  $              $0.261375      $9199452.000000      $19.440386 $19.193037 $0.623321 $     1.01  $    30.79  
62047 $  7017   $  6496538538  $  8719732664     $      175774  $   163118520  $   163165196  $   159521342  $       0      $       0      $      97      $           0  $              $0.745039      $175774.000000      $10.418748 $10.421729 $10.188988 $     1.00  $     1.02  
62049 $  7432   $  1339381113  $  3900250260     $     4453640  $   169431132  $   168468316  $     3569686  $      15      $       0      $      97      $           0  $              $0.343409      $4453640.000000      $26.066328 $25.918203 $0.549182 $     1.01  $    47.19  
62047 $  7434   $  1238326533  $   516940762     $      418318  $     9695645  $     9699933  $     9694202  $       0      $       0      $      97      $           0  $              $2.395490      $418318.000000      $1.488061 $1.488719 $1.487839 $     1.00  $     1.00  
