PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62098 $  1003   $ 15076785325  $  8830089828     $     8597765  $   337079586  $   446603856  $     5441379  $      49      $       0      $      97      $           0  $              $1.707433      $8597765.000000      $21.508568 $28.497154 $0.347207 $     0.75  $    82.08  
62096 $  1003   $  5490985028  $  7803202023     $       98496  $   152179503  $   153814993  $   143243679  $       0      $       0      $      97      $           0  $              $0.703684      $98496.000000      $9.710357 $9.814715 $9.140175 $     0.99  $     1.07  
62098 $  2005   $ 15284677168  $  9117941253     $     8663297  $   342083587  $   450871225  $     5559316  $      50      $       0      $      97      $           0  $              $1.676330      $8663297.000000      $21.849649 $28.798162 $0.355086 $     0.76  $    81.10  
62096 $  2005   $  6384508812  $  9118281501     $       68609  $   197638453  $   197695535  $   192223804  $       0      $       0      $      97      $           0  $              $0.700188      $68609.000000      $12.623613 $12.627260 $12.277768 $     1.00  $     1.03  
62098 $  3007   $ 15256808228  $  9118604096     $     8641937  $   341520421  $   450048611  $     5612664  $      50      $       0      $      97      $           0  $              $1.673152      $8641937.000000      $21.813679 $28.745619 $0.358494 $     0.76  $    80.18  
62096 $  3007   $  6305488101  $  9118776463     $       70415  $   199146137  $   199203511  $   193695519  $       0      $       0      $      97      $           0  $              $0.691484      $70415.000000      $12.719913 $12.723577 $12.371770 $     1.00  $     1.03  
62098 $  4010   $ 15271087050  $  9118133317     $     8660777  $   341771488  $   450244897  $     5578314  $      50      $       0      $      97      $           0  $              $1.674804      $8660777.000000      $21.807951 $28.729485 $0.355944 $     0.76  $    80.71  
62096 $  4009   $  6343676402  $  9118415280     $       70866  $   199108839  $   199165849  $   193649331  $       0      $       0      $      97      $           0  $              $0.695699      $70866.000000      $12.717530 $12.721172 $12.368819 $     1.00  $     1.03  
62098 $  5012   $ 15246500304  $  9118542748     $     8649524  $   341288876  $   449741741  $     5615463  $      50      $       0      $      97      $           0  $              $1.672032      $8649524.000000      $21.798889 $28.726019 $0.358672 $     0.76  $    80.09  
62096 $  5011   $  6392009357  $  9118958669     $       70965  $   199059603  $   199115110  $   193604591  $       0      $       0      $      97      $           0  $              $0.700958      $70965.000000      $12.714386 $12.717931 $12.365962 $     1.00  $     1.03  
62098 $  6014   $ 15287749930  $  9118463748     $     8664400  $   342179397  $   451040525  $     5542294  $      50      $       0      $      97      $           0  $              $1.676571      $8664400.000000      $21.855770 $28.808975 $0.353999 $     0.76  $    81.38  
62096 $  6013   $  6302302683  $  9117902417     $       69591  $   197939829  $   197998258  $   192506189  $       0      $       0      $      97      $           0  $              $0.691201      $69591.000000      $12.642863 $12.646595 $12.295805 $     1.00  $     1.03  
62098 $  7016   $ 16375575237  $  9237165688     $     9110071  $   365221509  $   482097007  $     4645930  $      47      $       0      $      97      $           0  $              $1.772792      $9110071.000000      $23.327520 $30.792622 $0.296746 $     0.76  $   103.77  
62096 $  7015   $  6519322407  $  7352354367     $      160331  $   135444076  $   135481729  $   132231364  $       0      $       0      $      97      $           0  $              $0.886699      $160331.000000      $8.651119 $8.653523 $8.445915 $     1.00  $     1.02  
62096 $  7117   $    74212667  $    31359161     $      257527  $      581787  $      583396  $      581232  $       0      $       0      $      97      $           0  $              $2.366539      $257527.000000      $0.365043 $0.366052 $0.364695 $     1.00  $     1.00  
62098 $  7118   $  1318539098  $   695959779     $      678841  $    28936953  $    37545358  $      186068  $       3      $       0      $      97      $           0  $              $1.894562      $678841.000000      $18.156519 $23.557873 $0.116749 $     0.77  $   201.78  
62096 $  7120   $           0  $           0     $          17  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $17.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
62116 $  1004   $ 17712212853  $  9236111413     $     9707390  $   392608424  $   521615130  $      543900  $      34      $       0      $      65      $           0  $              $1.917713      $9707390.000000      $25.026831 $33.250366 $0.034671 $     0.75  $   959.03  
