PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61310 $  1003   $  2907206036  $  6354139535     $      198585  $    48356768  $    37864394  $    36429307  $      42      $       0      $      97      $           0  $              $0.457529      $198585.000000      $3.085577 $2.416073 $2.324502 $     1.28  $     1.04  
61308 $  1003   $  4391056210  $  8826820835     $     4726079  $   189452985  $   126223556  $   123677622  $       0      $       0      $      97      $           0  $              $0.497467      $4726079.000000      $12.088725 $8.054145 $7.891693 $     1.50  $     1.02  
61310 $  2006   $  3874152044  $  9069176879     $       56719  $    62211977  $    49728788  $    47714546  $      45      $       0      $      97      $           0  $              $0.427178      $56719.000000      $3.969657 $3.173123 $3.044597 $     1.25  $     1.04  
61308 $  2006   $  4314367926  $  9116186305     $     4901439  $   197635330  $   131696796  $   129256871  $       0      $       0      $      97      $           0  $              $0.473265      $4901439.000000      $12.610828 $8.403385 $8.247697 $     1.50  $     1.02  
61310 $  3009   $  3845067620  $  9065619752     $       58543  $    62219294  $    49732756  $    47715760  $      46      $       0      $      97      $           0  $              $0.424137      $58543.000000      $3.970124 $3.173376 $3.044675 $     1.25  $     1.04  
61308 $  3009   $  4288496365  $  9116432441     $     4877113  $   196411020  $   131012241  $   128594933  $       0      $       0      $      97      $           0  $              $0.470414      $4877113.000000      $12.532707 $8.359704 $8.205460 $     1.50  $     1.02  
61310 $  4012   $  3846981941  $  9067411779     $       58524  $    62236699  $    49752631  $    47737190  $      45      $       0      $      97      $           0  $              $0.424265      $58524.000000      $3.971235 $3.174644 $3.046042 $     1.25  $     1.04  
61308 $  4012   $  4292464129  $  9117556997     $     4871929  $   196625777  $   131071578  $   128653791  $       0      $       0      $      97      $           0  $              $0.470791      $4871929.000000      $12.546411 $8.363490 $8.209215 $     1.50  $     1.02  
61310 $  5015   $  3904062792  $  9050989645     $       57154  $    62354345  $    49875785  $    47802388  $      46      $       0      $      97      $           0  $              $0.431341      $57154.000000      $3.978742 $3.182503 $3.050202 $     1.25  $     1.04  
61308 $  5014   $  4313798309  $  9107856446     $     4923292  $   197704145  $   131910718  $   129457986  $       0      $       0      $      97      $           0  $              $0.473635      $4923292.000000      $12.627810 $8.425435 $8.268773 $     1.50  $     1.02  
61310 $  6018   $  4119536773  $  9065116757     $       56422  $    68663353  $    53939752  $    51972715  $      45      $       0      $      97      $           0  $              $0.454438      $56422.000000      $4.381310 $3.441819 $3.316305 $     1.27  $     1.04  
61308 $  6017   $  4343044819  $  9111773573     $     4785503  $   193155933  $   128917407  $   126451174  $       0      $       0      $      97      $           0  $              $0.476641      $4785503.000000      $12.325005 $8.226036 $8.068669 $     1.50  $     1.02  
61310 $  7021   $  3873450041  $  9070782529     $       57276  $    62230839  $    49750199  $    47729411  $      46      $       0      $      97      $           0  $              $0.427025      $57276.000000      $3.970861 $3.174489 $3.045546 $     1.25  $     1.04  
61308 $  7019   $  4317160097  $  9117835559     $     4876262  $   197795546  $   131626774  $   129183802  $       0      $       0      $      97      $           0  $              $0.473485      $4876262.000000      $12.633648 $8.407299 $8.251261 $     1.50  $     1.02  
61310 $  8023   $  3845323518  $  9066274236     $       57861  $    62236686  $    49760542  $    47731041  $      45      $       0      $      97      $           0  $              $0.424135      $57861.000000      $3.975198 $3.178318 $3.048689 $     1.25  $     1.04  
61308 $  8021   $  4285554532  $  9116798929     $     4884015  $   196290349  $   131024004  $   128612978  $       0      $       0      $      97      $           0  $              $0.470072      $4884015.000000      $12.537507 $8.368798 $8.214801 $     1.50  $     1.02  
61310 $  9026   $  3845596103  $  9066144106     $       57541  $    62219386  $    49731765  $    47718505  $      45      $       0      $      97      $           0  $              $0.424171      $57541.000000      $3.970130 $3.173313 $3.044850 $     1.25  $     1.04  
61308 $  9024   $  4297266687  $  9116300348     $     4859055  $   196872737  $   131074637  $   128654212  $       0      $       0      $      97      $           0  $              $0.471383      $4859055.000000      $12.562169 $8.363686 $8.209242 $     1.50  $     1.02  
61310 $ 10029   $  4009602464  $  9059044303     $       59612  $    67288326  $    52961850  $    50872617  $      46      $       0      $      97      $           0  $              $0.442608      $59612.000000      $4.293572 $3.379420 $3.246109 $     1.27  $     1.04  
61308 $ 10027   $  4301194895  $  9117079767     $     4838397  $   194602187  $   130083474  $   127660777  $       0      $       0      $      97      $           0  $              $0.471773      $4838397.000000      $12.417289 $8.300441 $8.145852 $     1.50  $     1.02  
