PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61482 $  1003   $ 10970596682  $  8829596702     $     1966370  $   241578798  $   216465623  $    49299022  $      49      $       0      $      97      $           0  $              $1.242480      $1966370.000000      $15.414799 $13.812363 $3.145700 $     1.12  $     4.39  
61480 $  1003   $  4495441804  $  8791580512     $     4559507  $   194860604  $   130123950  $   126405143  $       0      $       0      $      97      $           0  $              $0.511335      $4559507.000000      $12.433778 $8.303024 $8.065732 $     1.50  $     1.03  
61482 $  2005   $ 10844971200  $  9106464147     $     1935862  $   239586840  $   214131022  $    50061281  $      50      $       0      $      97      $           0  $              $1.190909      $1935862.000000      $15.302953 $13.677032 $3.197527 $     1.12  $     4.28  
61480 $  2005   $  4714256058  $  9102486888     $     5191909  $   217861507  $   145693306  $   141663721  $       0      $       0      $      97      $           0  $              $0.517909      $5191909.000000      $13.915306 $9.305760 $9.048382 $     1.50  $     1.03  
61482 $  3007   $ 11152804597  $  9105907568     $     1993427  $   246140181  $   220262656  $    50989960  $      50      $       0      $      97      $           0  $              $1.224788      $1993427.000000      $15.721528 $14.068672 $3.256844 $     1.12  $     4.32  
61480 $  3007   $  4682401998  $  9101623180     $     4924990  $   210242271  $   140423359  $   136524023  $       0      $       0      $      97      $           0  $              $0.514458      $4924990.000000      $13.428648 $8.969156 $8.720097 $     1.50  $     1.03  
61482 $  4009   $ 10848321019  $  9106786073     $     1936032  $   239624110  $   214147992  $    50065960  $      50      $       0      $      97      $           0  $              $1.191235      $1936032.000000      $15.305332 $13.678116 $3.197826 $     1.12  $     4.28  
61480 $  4009   $  4717973058  $  9102216474     $     5185180  $   218035372  $   145710968  $   141683834  $       0      $       0      $      97      $           0  $              $0.518332      $5185180.000000      $13.926412 $9.306889 $9.049666 $     1.50  $     1.03  
61482 $  5012   $ 11246330529  $  9108737344     $     2015170  $   248874934  $   222657412  $    51207628  $      50      $       0      $      97      $           0  $              $1.234675      $2015170.000000      $15.880354 $14.207452 $3.267486 $     1.12  $     4.35  
61480 $  5012   $  4685798255  $  9104465802     $     4931726  $   210423864  $   140696469  $   136778043  $       0      $       0      $      97      $           0  $              $0.514670      $4931726.000000      $13.426847 $8.977641 $8.727612 $     1.50  $     1.03  
61482 $  6015   $ 10843603115  $  9106097240     $     1936417  $   239552433  $   214109584  $    50066344  $      50      $       0      $      97      $           0  $              $1.190807      $1936417.000000      $15.285500 $13.662027 $3.194662 $     1.12  $     4.28  
61480 $  6015   $  4725272432  $  9102127531     $     5165817  $   218427350  $   145689341  $   141660465  $       0      $       0      $      97      $           0  $              $0.519139      $5165817.000000      $13.937537 $9.296229 $9.039152 $     1.50  $     1.03  
61482 $  7018   $ 11178517994  $  9106617910     $     2002582  $   247277469  $   221205307  $    51212719  $      50      $       0      $      97      $           0  $              $1.227516      $2002582.000000      $15.778423 $14.114796 $3.267811 $     1.12  $     4.32  
61480 $  7018   $  4676690607  $  9102424185     $     4967944  $   209986286  $   140686223  $   136774533  $       0      $       0      $      97      $           0  $              $0.513785      $4967944.000000      $13.398926 $8.976988 $8.727387 $     1.49  $     1.03  
61482 $  8021   $ 10848864179  $  9106674008     $     1934028  $   239665976  $   214197686  $    50089118  $      50      $       0      $      97      $           0  $              $1.191309      $1934028.000000      $15.292745 $13.667648 $3.196115 $     1.12  $     4.28  
61480 $  8021   $  4733978832  $  9102474282     $     5133371  $   218829320  $   145696912  $   141656853  $       0      $       0      $      97      $           0  $              $0.520076      $5133371.000000      $13.963186 $9.296712 $9.038921 $     1.50  $     1.03  
61482 $  9023   $ 11181304411  $  9107093163     $     2000293  $   247355636  $   221256529  $    51226879  $      50      $       0      $      97      $           0  $              $1.227758      $2000293.000000      $15.799162 $14.132154 $3.271976 $     1.12  $     4.32  
61480 $  9023   $  4677275507  $  9103383975     $     4957446  $   210015869  $   140699335  $   136787997  $       0      $       0      $      97      $           0  $              $0.513795      $4957446.000000      $13.414187 $8.986783 $8.736959 $     1.49  $     1.03  
61482 $ 10025   $ 10945108691  $  9108221636     $     1962256  $   242419628  $   216639704  $    50304691  $      50      $       0      $      97      $           0  $              $1.201674      $1962256.000000      $15.483889 $13.837267 $3.213074 $     1.12  $     4.31  
61480 $ 10025   $  4730350798  $  9103908719     $     5180614  $   218661895  $   145944362  $   141887672  $       0      $       0      $      97      $           0  $              $0.519596      $5180614.000000      $13.966428 $9.321796 $9.062686 $     1.50  $     1.03  
61482 $ 11027   $ 11149430395  $  9106296890     $     1991630  $   246084921  $   220209334  $    50966007  $      50      $       0      $      97      $           0  $              $1.224365      $1991630.000000      $15.717999 $14.065267 $3.255314 $     1.12  $     4.32  
61480 $ 11028   $  4680220991  $  9102055544     $     4925559  $   210138014  $   140416961  $   136521136  $       0      $       0      $      97      $           0  $              $0.514194      $4925559.000000      $13.408607 $8.959806 $8.711219 $     1.50  $     1.03  
61482 $ 12030   $ 10849274870  $  9107119913     $     1936881  $   239673586  $   214200616  $    50093088  $      50      $       0      $      97      $           0  $              $1.191296      $1936881.000000      $15.293230 $13.667835 $3.196368 $     1.12  $     4.28  
61480 $ 12031   $  4718211161  $  9102878309     $     5187112  $   218026008  $   145712387  $   141684130  $       0      $       0      $      97      $           0  $              $0.518321      $5187112.000000      $13.911929 $9.297700 $9.040662 $     1.50  $     1.03  
61482 $ 13033   $ 11166824981  $  9118868240     $     1994980  $   246447659  $   220531552  $    51078262  $      50      $       0      $      97      $           0  $              $1.224585      $1994980.000000      $15.725474 $14.071804 $3.259231 $     1.12  $     4.32  
61480 $ 13034   $  4690565720  $  9115096121     $     4919373  $   210668746  $   140648611  $   136739542  $       0      $       0      $      97      $           0  $              $0.514593      $4919373.000000      $13.442472 $8.974587 $8.725155 $     1.50  $     1.03  
61482 $ 14036   $ 10955405787  $  9119131774     $     1962512  $   242648681  $   216801813  $    50353469  $      50      $       0      $      97      $           0  $              $1.201365      $1962512.000000      $15.483067 $13.833815 $3.212983 $     1.12  $     4.31  
61480 $ 14037   $  4738220061  $  9115047706     $     5181579  $   219043178  $   146163081  $   142105594  $       0      $       0      $      97      $           0  $              $0.519824      $5181579.000000      $13.976833 $9.326458 $9.067555 $     1.50  $     1.03  
61482 $ 14514   $  6385383250  $  4438061956     $     1134241  $   139256411  $   126194827  $    22781700  $      22      $       0      $      97      $           0  $              $1.438777      $1134241.000000      $18.645210 $16.896378 $3.050269 $     1.10  $     5.54  
61480 $ 14515   $  1564464790  $  3052424480     $     1808187  $    71338688  $    47924100  $    46610548  $       0      $       0      $      97      $           0  $              $0.512532      $1808187.000000      $9.551623 $6.416616 $6.240743 $     1.49  $     1.03  
61482 $ 15178   $ 12551819166  $  6276362483     $     2226958  $   271018001  $   249726651  $    26925115  $      26      $       0      $      97      $           0  $              $1.999856      $2226958.000000      $26.122219 $24.070040 $2.595192 $     1.09  $     9.27  
61482 $ 15180   $     9198431  $     4515149     $        1555  $      198377  $      183132  $       18028  $       0      $       0      $      97      $           0  $              $2.037238      $1555.000000      $6.348064 $5.860224 $0.576896 $     1.08  $    10.16  
