PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62507 $  1003   $  2856803381  $  8725373463     $    38716766  $   197656894  $   164814005  $    28487258  $      46      $       0      $      97      $           0  $              $0.327413      $38716768.000000      $12.612205 $10.516546 $1.817731 $     1.20  $     5.79  
62505 $  1003   $  4923726390  $  7762036063     $      128051  $   134042136  $   135646042  $   126345619  $       0      $       0      $      97      $           0  $              $0.634334      $128051.000000      $8.553038 $8.655381 $8.061934 $     0.99  $     1.07  
62507 $  2006   $  2970475769  $  9116062131     $    39245518  $   202944325  $   169081571  $    32732569  $      47      $       0      $      97      $           0  $              $0.325851      $39245520.000000      $12.949588 $10.788854 $2.088619 $     1.20  $     5.17  
62505 $  2006   $  5462219482  $  9118256864     $      107647  $   172217295  $   172272139  $   168512483  $       0      $       0      $      97      $           0  $              $0.599042      $107647.000000      $10.988940 $10.992440 $10.752542 $     1.00  $     1.02  
62507 $  3009   $  2811816735  $  9115828717     $    46989424  $   233529446  $   195300286  $    32821296  $      47      $       0      $      97      $           0  $              $0.308454      $46989424.000000      $14.901180 $12.461833 $2.094280 $     1.20  $     5.95  
62505 $  3009   $  5621037202  $  9117424678     $      111224  $   173844608  $   173898823  $   170038737  $       0      $       0      $      97      $           0  $              $0.616516      $111224.000000      $11.092776 $11.096235 $10.849929 $     1.00  $     1.02  
62507 $  4012   $  2954920343  $  9117067203     $    39633364  $   202964058  $   169419214  $    32379342  $      47      $       0      $      97      $           0  $              $0.324109      $39633364.000000      $12.950848 $10.810399 $2.066080 $     1.20  $     5.23  
62505 $  4012   $  5531320498  $  9119121207     $      115074  $   174010678  $   174065298  $   170250903  $       0      $       0      $      97      $           0  $              $0.606563      $115074.000000      $11.103373 $11.106858 $10.863467 $     1.00  $     1.02  
62507 $  5015   $  2827312241  $  9116390208     $    46321810  $   231538552  $   193264335  $    33079209  $      47      $       0      $      97      $           0  $              $0.310135      $46321808.000000      $14.774145 $12.331922 $2.110737 $     1.20  $     5.84  
62505 $  5015   $  5598235850  $  9117857172     $      116921  $   175430347  $   175484488  $   171640596  $       0      $       0      $      97      $           0  $              $0.613986      $116921.000000      $11.193960 $11.197414 $10.952142 $     1.00  $     1.02  
62507 $  6018   $  2938265137  $  9115532074     $    40309781  $   204850681  $   171394684  $    32073207  $      47      $       0      $      97      $           0  $              $0.322336      $40309780.000000      $13.071230 $10.936451 $2.046546 $     1.20  $     5.34  
62505 $  6018   $  5542052363  $  9118176461     $      112117  $   173512289  $   173567616  $   169757249  $       0      $       0      $      97      $           0  $              $0.607803      $112117.000000      $11.071571 $11.075102 $10.831968 $     1.00  $     1.02  
62507 $  7021   $  2845125551  $  9114519797     $    46040369  $   231107957  $   192535279  $    33477198  $      47      $       0      $      97      $           0  $              $0.312153      $46040368.000000      $14.746669 $12.285401 $2.136132 $     1.20  $     5.75  
62505 $  7021   $  5537348823  $  9115857742     $      109766  $   173289219  $   173345555  $   169500256  $       0      $       0      $      97      $           0  $              $0.607441      $109766.000000      $11.057338 $11.060932 $10.815570 $     1.00  $     1.02  
62507 $  8023   $  3224279915  $  9268002581     $    44580773  $   244253656  $   204066480  $    36475609  $      42      $       0      $      97      $           0  $              $0.347894      $44580772.000000      $15.601032 $13.034186 $2.329779 $     1.20  $     5.59  
62505 $  8023   $  5597003397  $  6516791044     $      371138  $   104901825  $   104936168  $   103087563  $       0      $       0      $      97      $           0  $              $0.858859      $371138.000000      $6.700316 $6.702510 $6.584435 $     1.00  $     1.02  
62507 $  8168   $   512924748  $  1351951126     $     6776431  $    39702525  $    33110547  $     5849853  $       4      $       0      $      97      $           0  $              $0.379396      $6776431.000000      $17.523872 $14.614311 $2.582004 $     1.20  $     5.66  
62505 $  8168   $        1992  $       81828     $      109136  $         178  $         439  $         102  $       0      $       0      $      97      $           0  $              $0.024344      $109136.000000      $0.000079 $0.000194 $0.000045 $     0.41  $     4.30  
62507 $  9153   $  3523268531  $  9079810900     $    42359877  $   252901052  $   210176797  $    39703298  $      31      $       0      $      97      $           0  $              $0.388033      $42359876.000000      $16.432150 $13.656157 $2.579706 $     1.20  $     5.29  
62507 $  9155   $     1342633  $     6274591     $       68453  $      353686  $      307373  $       26920  $       0      $       0      $      97      $           0  $              $0.213979      $68453.000000      $11.317952 $9.835936 $0.861440 $     1.15  $    11.42  
62507 $ 10157   $  2940776228  $  9117012118     $    43624400  $   224290727  $   188184459  $    32773715  $      46      $       0      $      97      $           0  $              $0.322559      $43624400.000000      $14.325954 $12.019766 $2.093331 $     1.19  $     5.74  
62527 $  1002   $  4919413544  $  7740948852     $       93486  $   133916123  $   135627211  $   126076400  $       0      $       0      $      97      $           0  $              $0.635505      $93486.000000      $8.553525 $8.662816 $8.052784 $     0.99  $     1.08  
62507 $ 11159   $  2891676905  $  9116766500     $    43973739  $   223973360  $   186314297  $    33568610  $      47      $       0      $      97      $           0  $              $0.317182      $43973740.000000      $14.305684 $11.900315 $2.144103 $     1.20  $     5.55  
62527 $  2005   $  5473194435  $  9118868647     $       61727  $   172519255  $   172579077  $   168793035  $       0      $       0      $      97      $           0  $              $0.600205      $61727.000000      $11.008207 $11.012025 $10.770443 $     1.00  $     1.02  
62507 $ 12162   $  2906565137  $  9115153151     $    42238064  $   213557162  $   178898717  $    32133454  $      47      $       0      $      97      $           0  $              $0.318872      $42238064.000000      $13.626779 $11.415273 $2.050390 $     1.19  $     5.57  
62527 $  3008   $  5587958842  $  9118021639     $       63230  $   172587284  $   172646017  $   168864365  $       0      $       0      $      97      $           0  $              $0.612848      $63230.000000      $11.012548 $11.016296 $10.774995 $     1.00  $     1.02  
62527 $  3324   $  1759866858  $  2865552495     $       23118  $    54920168  $    54938039  $    53724241  $       0      $       0      $      97      $           0  $              $0.614146      $23118.000000      $11.123072 $11.126692 $10.880858 $     1.00  $     1.02  
62507 $ 12478   $   863836936  $  2826402487     $    15739891  $    78059384  $    64921042  $    10469606  $      14      $       0      $      97      $           0  $              $0.305631      $15739891.000000      $15.809496 $13.148565 $2.120426 $     1.20  $     6.20  
62527 $  3408   $           0  $           0     $      204488  $           0  $           0  $           0  $       0      $       0      $      97      $           0  $              $-nan      $204488.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
