PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62552 $  1002   $ 12016654586  $  8836375431     $     1765352  $   264637985  $   236684383  $    57038842  $      51      $       0      $      97      $           0  $              $1.359908      $1765352.000000      $16.903025 $15.117565 $3.643199 $     1.12  $     4.15  
62550 $  1002   $  4859541260  $  7728815744     $      153265  $   132209838  $   133903963  $   123575392  $       0      $       0      $      97      $           0  $              $0.628756      $153265.000000      $8.444541 $8.552748 $7.893039 $     0.99  $     1.08  
62552 $  2004   $ 11423469098  $  9118010280     $     1668152  $   252896954  $   225389039  $    54403077  $      52      $       0      $      97      $           0  $              $1.252847      $1668152.000000      $16.153099 $14.396107 $3.474847 $     1.12  $     4.14  
62550 $  2004   $  5425393358  $  9115902097     $      143721  $   170472292  $   170521103  $   165575525  $       0      $       0      $      97      $           0  $              $0.595157      $143721.000000      $10.888450 $10.891567 $10.575682 $     1.00  $     1.03  
62552 $  3006   $ 11415883750  $  9118677562     $     1695383  $   252710785  $   225170329  $    54345044  $      51      $       0      $      97      $           0  $              $1.251923      $1695383.000000      $16.141209 $14.382137 $3.471141 $     1.12  $     4.14  
62550 $  3006   $  5535328039  $  9116946927     $      137442  $   170679176  $   170728059  $   165773972  $       0      $       0      $      97      $           0  $              $0.607147      $137442.000000      $10.901664 $10.904786 $10.588357 $     1.00  $     1.03  
62552 $  4008   $ 11363230204  $  9118109912     $     1671264  $   251601637  $   224190436  $    54125820  $      51      $       0      $      97      $           0  $              $1.246226      $1671264.000000      $16.070364 $14.319549 $3.457138 $     1.12  $     4.14  
62550 $  4009   $  5444685257  $  9116567309     $      149740  $   172875483  $   172922337  $   167943007  $       0      $       0      $      97      $           0  $              $0.597230      $149740.000000      $11.030938 $11.033928 $10.716204 $     1.00  $     1.03  
62552 $  5011   $ 11383073804  $  9119884407     $     1685686  $   251971246  $   224520636  $    54202657  $      51      $       0      $      97      $           0  $              $1.248160      $1685686.000000      $16.077927 $14.326342 $3.458594 $     1.12  $     4.14  
62550 $  5012   $  5520313770  $  9117593106     $      147646  $   172027351  $   172076095  $   167115931  $       0      $       0      $      97      $           0  $              $0.605457      $147646.000000      $10.976820 $10.979930 $10.663429 $     1.00  $     1.03  
62552 $  6014   $ 11512752569  $  9118659299     $     1703089  $   255370842  $   227517387  $    54558213  $      51      $       0      $      97      $           0  $              $1.262549      $1703089.000000      $16.294849 $14.517560 $3.481282 $     1.12  $     4.17  
