PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62715 $  1003   $ 11710425247  $  8757262599     $     3384684  $   189975095  $   221829051  $    36535300  $      49      $       0      $      97      $           0  $              $1.337224      $3384684.000000      $12.122040 $14.154595 $2.331265 $     0.86  $     6.07  
62713 $  1003   $  5106915933  $  7800326237     $      100321  $   140120162  $   141804016  $   131440771  $       0      $       0      $      97      $           0  $              $0.654705      $100321.000000      $8.940867 $9.048312 $8.387048 $     0.99  $     1.08  
62715 $  2006   $ 10032943954  $  9103592232     $     2410225  $   161880909  $   181742059  $    41563849  $      50      $       0      $      97      $           0  $              $1.102086      $2410225.000000      $10.329391 $11.596702 $2.652130 $     0.89  $     4.37  
62713 $  2006   $  5755605194  $  9116546825     $       68445  $   179976622  $   180030715  $   174999298  $       0      $       0      $      97      $           0  $              $0.631336      $68445.000000      $11.484052 $11.487504 $11.166455 $     1.00  $     1.03  
62715 $  3009   $ 10335414998  $  9097206206     $     2851686  $   167333719  $   193947453  $    39234493  $      50      $       0      $      97      $           0  $              $1.136109      $2851686.000000      $10.677325 $12.375510 $2.503497 $     0.86  $     4.94  
62713 $  3009   $  5745644420  $  9117502943     $       67671  $   180442892  $   180498543  $   175508551  $       0      $       0      $      97      $           0  $              $0.630177      $67671.000000      $11.513803 $11.517355 $11.198950 $     1.00  $     1.03  
62715 $  4012   $ 10019077800  $  9103860868     $     2471741  $   161799525  $   182005267  $    41444222  $      50      $       0      $      97      $           0  $              $1.100531      $2471741.000000      $10.324197 $11.613497 $2.644497 $     0.89  $     4.39  
62713 $  4012   $  5717353210  $  9116823457     $       67081  $   179455633  $   179509865  $   174504033  $       0      $       0      $      97      $           0  $              $0.627121      $67081.000000      $11.450808 $11.454269 $11.134853 $     1.00  $     1.03  
62715 $  5015   $ 10170480459  $  9101900173     $     2464666  $   163899899  $   184985595  $    40930200  $      50      $       0      $      97      $           0  $              $1.117402      $2464666.000000      $10.458220 $11.803667 $2.611698 $     0.89  $     4.52  
62713 $  5015   $  5781792958  $  9115684346     $       69407  $   179537216  $   179591843  $   174595914  $       0      $       0      $      97      $           0  $              $0.634269      $69407.000000      $11.456014 $11.459499 $11.140717 $     1.00  $     1.03  
62715 $  6018   $ 10287202225  $  9090224084     $     2838273  $   166836253  $   192608446  $    39496410  $      50      $       0      $      97      $           0  $              $1.131678      $2838273.000000      $10.645584 $12.290071 $2.520210 $     0.87  $     4.88  
62713 $  6018   $  5802115663  $  9107094418     $       68117  $   180305577  $   180361032  $   175342962  $       0      $       0      $      97      $           0  $              $0.637098      $68117.000000      $11.505042 $11.508580 $11.188384 $     1.00  $     1.03  
62715 $  7021   $  9997601326  $  9101572840     $     2455166  $   161486293  $   182003067  $    41687640  $      50      $       0      $      97      $           0  $              $1.098448      $2455166.000000      $10.304210 $11.613357 $2.660029 $     0.89  $     4.37  
62713 $  7021   $  5722227124  $  9114396693     $       70473  $   179898607  $   179952358  $   174947091  $       0      $       0      $      97      $           0  $              $0.627823      $70473.000000      $11.479074 $11.482503 $11.163124 $     1.00  $     1.03  
62715 $  7854   $ 16069740379  $  7768023695     $     5160373  $   260179868  $   314638975  $    12798586  $      36      $       0      $      97      $           0  $              $2.068704      $5160373.000000      $19.989811 $24.173943 $0.983325 $     0.83  $    24.58  
62713 $  7854   $  4175105159  $  4087811348     $      414796  $    61479118  $    61498390  $    60333815  $       0      $       0      $      97      $           0  $              $1.021355      $414796.000000      $4.723486 $4.724967 $4.635491 $     1.00  $     1.02  
62715 $  8109   $  5749487419  $  2342958088     $     1829952  $    92992176  $   113814952  $      431883  $       9      $       0      $      97      $           0  $              $2.453944      $1829952.000000      $23.339212 $28.565321 $0.108394 $     0.82  $   263.53  
62715 $  8111   $    13076140  $     5226064     $        3093  $      209795  $      246414  $         995  $       0      $       0      $      97      $           0  $              $2.502101      $3093.000000      $6.713440 $7.885248 $0.031840 $     0.85  $   247.65  
62715 $  9114   $ 12355742931  $  9082319103     $     3450413  $   199917208  $   231548216  $    38483012  $      50      $       0      $      97      $           0  $              $1.360417      $3450413.000000      $12.756433 $14.774762 $2.455546 $     0.86  $     6.02  
62733 $  1003   $  5138698064  $  7837692382     $      165747  $   141668383  $   143596206  $   132451601  $       0      $       0      $      97      $           0  $              $0.655639      $165747.000000      $9.039658 $9.162669 $8.451548 $     0.99  $     1.08  
62715 $ 10117   $ 10134562074  $  9089017002     $     2465261  $   163579298  $   184432772  $    41427948  $      50      $       0      $      97      $           0  $              $1.115034      $2465261.000000      $10.437761 $11.768392 $2.643458 $     0.89  $     4.45  
62733 $  2006   $  5778058797  $  9102394998     $      160998  $   180332326  $   180383321  $   175349164  $       0      $       0      $      97      $           0  $              $0.634784      $160998.000000      $11.506748 $11.510003 $11.188781 $     1.00  $     1.03  
62715 $ 11120   $ 10384009014  $  9082406883     $     2796660  $   167932866  $   193527357  $    39750279  $      50      $       0      $      97      $           0  $              $1.143310      $2796660.000000      $10.715557 $12.348705 $2.536409 $     0.87  $     4.87  
62733 $  3009   $  5749505518  $  9102487309     $      158085  $   180457713  $   180511646  $   175497253  $       0      $       0      $      97      $           0  $              $0.631641      $158085.000000      $11.514750 $11.518191 $11.198229 $     1.00  $     1.03  
62715 $ 12123   $ 10100612858  $  9089239550     $     2531758  $   163234763  $   184243299  $    41150175  $      50      $       0      $      97      $           0  $              $1.111272      $2531758.000000      $10.415778 $11.756302 $2.625734 $     0.89  $     4.48  
62733 $  4012   $  5723249311  $  9102055965     $      157815  $   179673146  $   179725890  $   174713790  $       0      $       0      $      97      $           0  $              $0.628786      $157815.000000      $11.464687 $11.468053 $11.148238 $     1.00  $     1.03  
62715 $ 13126   $ 10171402409  $  9088006656     $     2462796  $   164195760  $   185296730  $    41655685  $      50      $       0      $      97      $           0  $              $1.119212      $2462796.000000      $10.477098 $11.823521 $2.657990 $     0.89  $     4.45  
62733 $  5015   $  5773882258  $  9100731089     $      158216  $   179463429  $   179515606  $   174494568  $       0      $       0      $      97      $           0  $              $0.634442      $158216.000000      $11.451305 $11.454635 $11.134249 $     1.00  $     1.03  
62715 $ 14129   $ 10410819312  $  9081750623     $     2844591  $   168386659  $   194485188  $    39130494  $      50      $       0      $      97      $           0  $              $1.146345      $2844591.000000      $10.744513 $12.409822 $2.496861 $     0.87  $     4.97  
62733 $  6018   $  5816561858  $  9102208576     $      159134  $   180773481  $   180826561  $   175812815  $       0      $       0      $      97      $           0  $              $0.639027      $159134.000000      $11.534899 $11.538285 $11.218365 $     1.00  $     1.03  
62715 $ 15131   $  9941041597  $  9089878949     $     2441732  $   160625646  $   180715649  $    42088365  $      50      $       0      $      97      $           0  $              $1.093638      $2441732.000000      $10.259522 $11.542716 $2.688279 $     0.89  $     4.29  
62733 $  7020   $  5740204147  $  9102722952     $      159358  $   179601631  $   179652691  $   174635832  $       0      $       0      $      97      $           0  $              $0.630603      $159358.000000      $11.471561 $11.474822 $11.154385 $     1.00  $     1.03  
62715 $ 15948   $ 15501887291  $  7498969240     $     4948619  $   250902397  $   304196472  $    12716241  $      36      $       0      $      97      $           0  $              $2.067203      $4948619.000000      $19.654533 $23.829346 $0.996131 $     0.82  $    23.92  
62733 $  7837   $  4103779915  $  3992744541     $      439382  $    59659828  $    59677846  $    58563466  $       0      $       0      $      97      $           0  $              $1.027809      $439382.000000      $4.673475 $4.674887 $4.587591 $     1.00  $     1.02  
62715 $ 16200   $  6046578583  $  2464999359     $     1922699  $    97929699  $   118778419  $      356867  $       9      $       0      $      97      $           0  $              $2.452974      $1922699.000000      $24.871035 $30.165947 $0.090633 $     0.82  $   332.84  
62715 $ 16202   $    13683430  $     5487473     $        3842  $      220124  $      271534  $        1078  $       0      $       0      $      97      $           0  $              $2.493576      $3842.000000      $7.043968 $8.689088 $0.034496 $     0.81  $   251.89  
62715 $ 17204   $ 12243788358  $  9074699109     $     3379473  $   198003456  $   229530323  $    38935103  $      51      $       0      $      97      $           0  $              $1.349223      $3379473.000000      $12.646927 $14.660619 $2.486873 $     0.86  $     5.90  
62738 $  1002   $  5131188337  $  7840635545     $      111391  $   140584675  $   142458890  $   132093982  $       0      $       0      $      97      $           0  $              $0.654435      $111391.000000      $8.979460 $9.099171 $8.437140 $     0.99  $     1.08  
62715 $ 18206   $ 10143633908  $  9079813412     $     2510697  $   163839560  $   184765579  $    41007490  $      50      $       0      $      97      $           0  $              $1.117163      $2510697.000000      $10.464802 $11.801394 $2.619241 $     0.89  $     4.51  
62738 $  2004   $  5772392160  $  9092209105     $       88033  $   180256815  $   180308703  $   175295550  $       0      $       0      $      97      $           0  $              $0.634872      $88033.000000      $11.513410 $11.516724 $11.196523 $     1.00  $     1.03  
62715 $ 19208   $ 10134638995  $  9073088922     $     2590177  $   163410074  $   185198400  $    41014304  $      50      $       0      $      97      $           0  $              $1.117000      $2590177.000000      $10.437370 $11.829040 $2.619676 $     0.88  $     4.52  
62738 $  3006   $  5714862641  $  9093669318     $       84238  $   179480085  $   179533320  $   174524036  $       0      $       0      $      97      $           0  $              $0.628444      $84238.000000      $11.463798 $11.467197 $11.147243 $     1.00  $     1.03  
62715 $ 20210   $ 10359140216  $  9080078848     $     2712335  $   167833422  $   192804417  $    39689305  $      50      $       0      $      97      $           0  $              $1.140865      $2712335.000000      $10.719899 $12.314853 $2.535045 $     0.87  $     4.86  
62738 $  4008   $  5745490362  $  9092681387     $       85493  $   180348242  $   180401652  $   175387767  $       0      $       0      $      97      $           0  $              $0.631881      $85493.000000      $11.519249 $11.522660 $11.202412 $     1.00  $     1.03  
62715 $ 21212   $  9988877967  $  9080464224     $     2428350  $   161279791  $   181419157  $    42118068  $      50      $       0      $      97      $           0  $              $1.100040      $2428350.000000      $10.301304 $11.587650 $2.690176 $     0.89  $     4.31  
62738 $  5010   $  5765485446  $  9093484771     $       86970  $   178993357  $   179044751  $   174027088  $       0      $       0      $      97      $           0  $              $0.634024      $86970.000000      $11.432710 $11.435992 $11.115502 $     1.00  $     1.03  
62715 $ 22214   $ 10402428755  $  9074018546     $     2782121  $   168003480  $   193042606  $    39567876  $      50      $       0      $      97      $           0  $              $1.146397      $2782121.000000      $10.730762 $12.330067 $2.527289 $     0.87  $     4.88  
62738 $  6012   $  5804288867  $  9094328134     $       87596  $   180326809  $   180380063  $   175373392  $       0      $       0      $      97      $           0  $              $0.638232      $87596.000000      $11.517880 $11.521281 $11.201494 $     1.00  $     1.03  
62715 $ 23216   $ 10070446402  $  9080406764     $     2526375  $   162873013  $   184453289  $    40844363  $      50      $       0      $      97      $           0  $              $1.109030      $2526375.000000      $10.403067 $11.781448 $2.608822 $     0.88  $     4.52  
62738 $  7014   $  5749918485  $  9093434202     $       87382  $   180435377  $   180487115  $   175453214  $       0      $       0      $      97      $           0  $              $0.632315      $87382.000000      $11.524815 $11.528119 $11.206593 $     1.00  $     1.03  
