PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54816 $  1003   $  4384908684  $  5165941811     $     1237878  $   165934104  $    30961407  $    14624883  $      40      $       0      $      97      $           0  $              $0.848811      $1237878.000000      $10.588019 $1.975603 $0.933193 $     5.36  $     2.12  
54814 $  1003   $  3288796244  $  8995683680     $    11513652  $   357121092  $   351460458  $     3552507  $       0      $       0      $      97      $           0  $              $0.365597      $11513652.000000      $22.787388 $22.426189 $0.226680 $     1.02  $    98.93  
54816 $  2005   $  5866205137  $  5918556422     $     3095752  $   238059918  $    46899030  $    25184229  $      42      $       0      $      97      $           0  $              $0.991155      $3095752.000000      $15.205424 $2.995547 $1.608573 $     5.08  $     1.86  
54814 $  2005   $  3332351243  $  9345221811     $    12351893  $   378313032  $   371380445  $     3975246  $       0      $       0      $      97      $           0  $              $0.356583      $12351893.000000      $24.163706 $23.720907 $0.253908 $     1.02  $    93.42  
54816 $  3007   $ 17491974393  $  9007910952     $    12518989  $   813149098  $   134940552  $    65499646  $      51      $       0      $      97      $           0  $              $1.941846      $12518989.000000      $51.937668 $8.618957 $4.183610 $     6.03  $     2.06  
54814 $  3007   $  2988371022  $  9099573918     $    13213287  $   342191631  $   333548822  $    11177691  $       0      $       0      $      97      $           0  $              $0.328408      $13213287.000000      $21.856550 $21.304516 $0.713944 $     1.03  $    29.84  
54814 $  3164   $   526433294  $  1505809248     $     1885684  $    63924581  $    63181427  $      727995  $       0      $       0      $      97      $           0  $              $0.349602      $1885684.000000      $26.058428 $25.755487 $0.296762 $     1.01  $    86.79  
54816 $  3164   $   696473081  $   308408316     $      269224  $    32624392  $     3523327  $     2783961  $       6      $       0      $      97      $           0  $              $2.258282      $269224.000000      $13.299115 $1.436261 $1.134863 $     9.26  $     1.27  
54814 $  4109   $  3104901349  $  8869441261     $    10744359  $   391465722  $   388990135  $       96493  $       0      $       0      $      97      $           0  $              $0.350067      $10744359.000000      $26.511965 $26.344307 $0.006535 $     1.01  $  4031.28  
54814 $  4111   $      751964  $     2207320     $        2724  $       95550  $       94792  $          12  $       0      $       0      $      97      $           0  $              $0.340668      $2724.000000      $3.057600 $3.033344 $0.000384 $     1.01  $  7899.33  
54814 $  5114   $  3149323854  $  9273613852     $    10349294  $   398449648  $   394947421  $     3730844  $      41      $       0      $      97      $           0  $              $0.339600      $10349294.000000      $25.424505 $25.201033 $0.238060 $     1.01  $   105.86  
54835 $  1003   $  4382999355  $  5169570123     $     1219379  $   165539228  $    30383271  $    14607080  $       0      $       0      $      97      $           0  $              $0.847846      $1219379.000000      $10.562822 $1.938713 $0.932057 $     5.45  $     2.08  
54835 $  2006   $  6258113170  $  5835586936     $     3190017  $   253739723  $    48273887  $    26506095  $      41      $       0      $      97      $           0  $              $1.072405      $3190017.000000      $16.190771 $3.080288 $1.691316 $     5.26  $     1.82  
