PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60753 $  1004   $  4415047858  $  5389927761     $     1229102  $   168620423  $    34780870  $    16146372  $      37      $       0      $      97      $           0  $              $0.819129      $1229102.000000      $10.748712 $2.217107 $1.029251 $     4.85  $     2.15  
60751 $  1004   $  1266316175  $  7095527483     $    72957188  $   246687288  $   244980198  $     1313166  $       0      $       0      $      97      $           0  $              $0.178467      $72957184.000000      $15.725086 $15.616267 $0.083708 $     1.01  $   186.56  
60753 $  2007   $  6526400182  $  6031926875     $     3386820  $   264542358  $    52314914  $    25189919  $      37      $       0      $      97      $           0  $              $1.081976      $3386820.000000      $16.880070 $3.338140 $1.607333 $     5.06  $     2.08  
60751 $  2007   $  1214553647  $  6583633967     $    67947048  $   225517723  $   224339473  $     1044143  $       0      $       0      $      97      $           0  $              $0.184481      $67947048.000000      $14.389965 $14.314782 $0.066625 $     1.01  $   214.86  
60753 $  3010   $ 17607873992  $  9252656883     $    12799194  $   817312949  $   147842231  $    67371066  $      46      $       0      $      97      $           0  $              $1.903007      $12799194.000000      $52.151573 $9.433601 $4.298851 $     5.53  $     2.19  
60751 $  3010   $  1051682713  $  5838038853     $    62411239  $   199841436  $   198250341  $     3272321  $       0      $       0      $      97      $           0  $              $0.180143      $62411240.000000      $12.751597 $12.650071 $0.208802 $     1.01  $    60.58  
60751 $  3111   $   107729997  $   735113031     $     8520399  $    29387339  $    29245242  $       16490  $       0      $       0      $      97      $           0  $              $0.146549      $8520399.000000      $18.621681 $18.531639 $0.010449 $     1.00  $  1773.51  
60753 $  3111   $           0  $           0     $       88657  $          51  $          51  $          48  $       3      $       0      $      97      $           0  $              $-nan      $88657.000000      $0.000032 $0.000032 $0.000030 $     1.00  $     1.06  
60751 $  4092   $  1068956750  $  5797668379     $    58232589  $   200543441  $   199700773  $       58621  $       0      $       0      $      97      $           0  $              $0.184377      $58232588.000000      $13.083364 $13.028389 $0.003824 $     1.00  $  3406.64  
60751 $  4095   $      210355  $     1431776     $       16907  $       56603  $       56033  $           0  $       0      $       0      $      97      $           0  $              $0.146919      $16907.000000      $1.207531 $1.195371 $0.000000 $     1.01  $      inf  
60751 $  5098   $  1099222807  $  5791226340     $    57469220  $   190408023  $   189342390  $      794331  $      36      $       0      $      97      $           0  $              $0.189808      $57469220.000000      $12.149664 $12.081668 $0.050685 $     1.01  $   238.37  
60771 $  1003   $  4408999462  $  5404535855     $      941892  $   169349585  $    32574940  $    16331130  $       0      $       0      $      97      $           0  $              $0.815796      $941892.000000      $10.805956 $2.078561 $1.042066 $     5.20  $     1.99  
60771 $  2006   $  6885612038  $  5955289817     $     3358755  $   279736971  $    49875010  $    25816858  $      39      $       0      $      97      $           0  $              $1.156218      $3358755.000000      $17.849617 $3.182453 $1.647337 $     5.61  $     1.93  
60751 $  6102   $  1227965326  $  6988971075     $    74199950  $   248538367  $   247311075  $     1123792  $       0      $       0      $      97      $           0  $              $0.175700      $74199952.000000      $15.843083 $15.764850 $0.071636 $     1.00  $   220.07  
60751 $  7174   $  1247827494  $  6754897890     $    70844025  $   228340830  $   226683773  $     3254852  $       0      $       0      $      97      $           0  $              $0.184729      $70844024.000000      $13.632289 $13.533360 $0.194320 $     1.01  $    69.64  
60771 $  3078   $ 17181529989  $  8741796052     $    12515495  $   801346800  $   130764287  $    67203170  $      48      $       0      $      97      $           0  $              $1.965446      $12515495.000000      $47.841602 $7.806823 $4.012129 $     6.13  $     1.95  
60751 $  7184   $    14443187  $    61596233     $      466066  $     1619270  $     1614209  $         616  $       0      $       0      $      97      $           0  $              $0.234482      $466066.000000      $10.363328 $10.330937 $0.003942 $     1.00  $  2620.47  
60751 $  7186   $      602593  $     1479752     $           1  $           1  $          12  $           0  $       0      $       0      $      97      $           0  $              $0.407226      $1.000000      $0.000032 $0.000384 $0.000000 $     0.08  $      inf  
60751 $  8189   $  1060330578  $  5792708752     $    60885086  $   200002516  $   198979870  $      833026  $      35      $       0      $      97      $           0  $              $0.183046      $60885088.000000      $12.761875 $12.696622 $0.053154 $     1.01  $   238.86  
