PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63114 $  1003   $  4379029278  $  5170199944     $     1226473  $   165395824  $    30289531  $    14812036  $      42      $       0      $      97      $           0  $              $0.846975      $1226473.000000      $10.553672 $1.932732 $0.945135 $     5.46  $     2.04  
63112 $  1003   $ 20871335710  $  8925656535     $     3624784  $   326472918  $   326527580  $     7947798  $       0      $       0      $      97      $           0  $              $2.338353      $3624784.000000      $20.831772 $20.835260 $0.507138 $     1.00  $    41.08  
63114 $  2006   $  5630834059  $  5914320157     $     3105051  $   228230150  $    45163896  $    25415548  $      44      $       0      $      97      $           0  $              $0.952068      $3105051.000000      $14.563040 $2.881844 $1.621730 $     5.05  $     1.78  
63112 $  2005   $ 21309151826  $  9340585892     $     3667297  $   333399496  $   333426143  $     9321212  $       0      $       0      $      97      $           0  $              $2.281351      $3667297.000000      $21.294977 $21.296680 $0.595367 $     1.00  $    35.77  
63114 $  3008   $ 17330456377  $  8996756552     $    12564430  $   805536679  $   131335569  $    65448023  $      53      $       0      $      97      $           0  $              $1.926301      $12564430.000000      $51.451447 $8.388699 $4.180313 $     6.13  $     2.01  
63112 $  3008   $ 19675736572  $  9093668342     $     3140460  $   307440027  $   307541743  $    30056682  $       0      $       0      $      97      $           0  $              $2.163674      $3140460.000000      $19.617310 $19.623798 $1.917874 $     1.00  $    10.23  
63112 $  3193   $  4314758350  $  1761029336     $      718303  $    67588786  $    67589546  $     2611439  $       0      $       0      $      97      $           0  $              $2.450134      $718303.000000      $23.382067 $23.382328 $0.903417 $     1.00  $    25.88  
63114 $  3193   $  1096051943  $   493548018     $      361422  $    51089326  $     5952838  $     4226067  $       7      $       0      $      97      $           0  $              $2.220761      $361422.000000      $17.674147 $2.059360 $1.461991 $     8.58  $     1.41  
63112 $  4117   $ 22277676809  $  8763693192     $     3830611  $   348372382  $   348339116  $      787907  $       0      $       0      $      97      $           0  $              $2.542042      $3830611.000000      $24.129688 $24.127384 $0.054574 $     1.00  $   442.11  
63112 $  4120   $     3746497  $     1500074     $         476  $       58818  $       58831  $         314  $       0      $       0      $      97      $           0  $              $2.497541      $476.000000      $1.254784 $1.255061 $0.006699 $     1.00  $   187.36  
