PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59140 $  1003   $  4046028826  $  8794704244     $    32645011  $   229518702  $   162089541  $    39863477  $      41      $       0      $      97      $           0  $              $0.460053      $32645012.000000      $14.645261 $10.342702 $2.543632 $     1.42  $     4.07  
59138 $  1003   $  6703063740  $  9053852704     $      100736  $    16228843  $    17804496  $     4068697  $       0      $       0      $      97      $           0  $              $0.740355      $100736.000000      $1.035539 $1.136080 $0.259618 $     0.91  $     4.38  
59140 $  2006   $  4282880641  $  9149483229     $    39103595  $   274506773  $   193662180  $    47110773  $      43      $       0      $      97      $           0  $              $0.468101      $39103596.000000      $17.515886 $12.357307 $3.006071 $     1.42  $     4.11  
59138 $  2006   $  6778622163  $  9146446217     $       99484  $    14935372  $    15529424  $     4632990  $       0      $       0      $      97      $           0  $              $0.741121      $99484.000000      $0.953005 $0.990910 $0.295624 $     0.96  $     3.35  
59140 $  3008   $  4286987995  $  9149224859     $    39144635  $   274625768  $   193688931  $    47140363  $      43      $       0      $      97      $           0  $              $0.468563      $39144636.000000      $17.540966 $12.371348 $3.010961 $     1.42  $     4.11  
59138 $  3008   $  6775417132  $  9146273050     $       98739  $    15273058  $    16059886  $     4655873  $       0      $       0      $      97      $           0  $              $0.740785      $98739.000000      $0.975525 $1.025781 $0.297381 $     0.95  $     3.45  
59140 $  4010   $  4284736441  $  9149740392     $    39141273  $   274606143  $   193666294  $    47123145  $      43      $       0      $      97      $           0  $              $0.468291      $39141272.000000      $17.539713 $12.369903 $3.009861 $     1.42  $     4.11  
59138 $  4010   $  6771224484  $  9146827493     $       98763  $    15414613  $    16273340  $     4655303  $       0      $       0      $      97      $           0  $              $0.740281      $98763.000000      $0.984566 $1.039415 $0.297345 $     0.95  $     3.50  
59140 $  5012   $  4284420606  $  9147977773     $    39141151  $   274604362  $   193674986  $    47120380  $      43      $       0      $      97      $           0  $              $0.468346      $39141152.000000      $17.539598 $12.370459 $3.009685 $     1.42  $     4.11  
59138 $  5012   $  6770142409  $  9145507610     $       99157  $    15723160  $    16799298  $     4659408  $       0      $       0      $      97      $           0  $              $0.740270      $99157.000000      $1.004274 $1.073009 $0.297607 $     0.94  $     3.61  
59140 $  6014   $  4287271394  $  9150279716     $    39124396  $   274636399  $   193705163  $    47151107  $      43      $       0      $      97      $           0  $              $0.468540      $39124396.000000      $17.541645 $12.372386 $3.011648 $     1.42  $     4.11  
59138 $  6014   $  6772885490  $  9147180424     $       99485  $    16202554  $    17619670  $     4640124  $       0      $       0      $      97      $           0  $              $0.740434      $99485.000000      $1.034894 $1.125408 $0.296375 $     0.92  $     3.80  
59140 $  7017   $  4285903027  $  9149061018     $    39130910  $   274627748  $   193704406  $    47142539  $      43      $       0      $      97      $           0  $              $0.468453      $39130912.000000      $17.523605 $12.360002 $3.008098 $     1.42  $     4.11  
59138 $  7016   $  6777340309  $  9146281992     $       99635  $    16355652  $    17904334  $     4641572  $       0      $       0      $      97      $           0  $              $0.740994      $99635.000000      $1.044672 $1.143590 $0.296468 $     0.91  $     3.86  
59140 $  8020   $  4283012544  $  9147588093     $    39129239  $   274596381  $   193671428  $    47110300  $      43      $       0      $      97      $           0  $              $0.468212      $39129240.000000      $17.521605 $12.357898 $3.006041 $     1.42  $     4.11  
59138 $  8019   $  6775641783  $  9144434650     $       98960  $    15743546  $    16887444  $     4649690  $       0      $       0      $      97      $           0  $              $0.740958      $98960.000000      $1.004573 $1.077564 $0.296690 $     0.93  $     3.63  
59138 $  8598   $  3957690824  $  5339210123     $       60017  $     8482649  $     8647149  $     2204843  $       0      $       0      $      97      $           0  $              $0.741250      $60017.000000      $0.937633 $0.955816 $0.243713 $     0.98  $     3.92  
59140 $  8599   $  2073276651  $  4391459772     $    19648546  $   135848408  $    95410471  $    22166712  $      23      $       0      $      97      $           0  $              $0.472116      $19648546.000000      $15.016060 $10.546235 $2.450207 $     1.42  $     4.30  
59138 $  9107   $  3620248733  $  4841067530     $       62758  $     7844850  $     8052317  $         132  $       0      $       0      $      97      $           0  $              $0.747820      $62758.000000      $0.986386 $1.012472 $0.000017 $     0.97  $ 61002.40  
59138 $  9110   $     1404680  $     1599286     $         163  $        2613  $        2426  $           0  $       0      $       0      $      97      $           0  $              $0.878317      $163.000000      $0.055744 $0.051755 $0.000000 $     1.08  $      inf  
59138 $ 10113   $  6678870781  $  9022991649     $      122478  $    15627432  $    16837661  $     4047516  $      42      $       0      $      97      $           0  $              $0.740206      $122478.000000      $0.997164 $1.074387 $0.258266 $     0.93  $     4.16  
59164 $  1003   $  4116129434  $  8879463958     $    32741250  $   232081621  $   169799969  $    40708235  $       0      $       0      $      97      $           0  $              $0.463556      $32741250.000000      $14.808797 $10.834694 $2.597534 $     1.37  $     4.17  
59164 $  1437   $  1821953215  $  3861827567     $    19649790  $   132553870  $    97947518  $    20772885  $      18      $       0      $      97      $           0  $              $0.471785      $19649790.000000      $19.547115 $14.443874 $3.063282 $     1.35  $     4.72  
59138 $ 10548   $  2592658368  $  3610604481     $       45307  $     5543986  $     5841575  $     1734653  $       0      $       0      $      97      $           0  $              $0.718068      $45307.000000      $0.815667 $0.859450 $0.255213 $     0.95  $     3.37  
