PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55675 $  1003   $  3342514725  $  8810642377     $    43654703  $   237406991  $   201968491  $    34405874  $      45      $       0      $      97      $           0  $              $0.379372      $43654704.000000      $15.148602 $12.887321 $2.195390 $     1.18  $     5.87  
55673 $  1003   $  2953740174  $  8755211901     $     9916607  $   368973246  $   366330684  $    10790210  $       0      $       0      $      97      $           0  $              $0.337369      $9916607.000000      $23.543657 $23.375038 $0.688508 $     1.01  $    33.95  
55675 $  2005   $  3539272993  $  9147582112     $    44693975  $   249511992  $   211464949  $    39844060  $      46      $       0      $      97      $           0  $              $0.386908      $44693976.000000      $15.936894 $13.506742 $2.544930 $     1.18  $     5.31  
55673 $  2005   $  3036253484  $  9124272133     $    10518349  $   384717673  $   382032867  $    11160553  $       0      $       0      $      97      $           0  $              $0.332767      $10518349.000000      $24.572784 $24.401300 $0.712850 $     1.01  $    34.23  
55675 $  3007   $  3377238575  $  9147242021     $    49768974  $   268101930  $   229341957  $    38272927  $      46      $       0      $      97      $           0  $              $0.369208      $49768976.000000      $17.124275 $14.648588 $2.444578 $     1.17  $     5.99  
55673 $  3007   $  3042936395  $  9121774085     $    10526756  $   385488935  $   382852330  $    11215355  $       0      $       0      $      97      $           0  $              $0.333590      $10526756.000000      $24.622047 $24.453642 $0.716350 $     1.01  $    34.14  
55675 $  4010   $  3488120980  $  9148455090     $    48014253  $   264204576  $   224370423  $    40017611  $      46      $       0      $      97      $           0  $              $0.381280      $48014252.000000      $16.858517 $14.316756 $2.553467 $     1.18  $     5.61  
55673 $  4010   $  3038142823  $  9125527609     $    10505544  $   384901092  $   382276216  $    11193823  $       0      $       0      $      97      $           0  $              $0.332928      $10505544.000000      $24.559990 $24.392500 $0.714262 $     1.01  $    34.15  
55675 $  5012   $  3429830204  $  9149119162     $    46435488  $   253428173  $   216436282  $    38118400  $      46      $       0      $      97      $           0  $              $0.374881      $46435488.000000      $16.187029 $13.824274 $2.434708 $     1.17  $     5.68  
55673 $  5012   $  3041968518  $  9125853781     $    10501944  $   385350914  $   382746744  $    11180777  $       0      $       0      $      97      $           0  $              $0.333335      $10501944.000000      $24.613232 $24.446898 $0.714141 $     1.01  $    34.23  
55675 $  6014   $  3440426138  $  9140649974     $    50916299  $   276878269  $   235505125  $    40116899  $      46      $       0      $      97      $           0  $              $0.376387      $50916300.000000      $17.684839 $15.042243 $2.562357 $     1.18  $     5.87  
55673 $  6014   $  3036039025  $  9117093990     $    10450130  $   384582056  $   382004306  $    11227545  $       0      $       0      $      97      $           0  $              $0.333005      $10450130.000000      $24.564123 $24.399477 $0.717129 $     1.01  $    34.02  
55675 $  7016   $  3538436510  $  9137528830     $    44491263  $   248524816  $   210594420  $    39812687  $      46      $       0      $      97      $           0  $              $0.387242      $44491264.000000      $15.873840 $13.451140 $2.542926 $     1.18  $     5.29  
55673 $  7016   $  3031218739  $  9114171124     $    10283371  $   383960934  $   381400778  $    11131895  $       0      $       0      $      97      $           0  $              $0.332583      $10283371.000000      $24.524450 $24.360928 $0.711019 $     1.01  $    34.26  
55675 $  8018   $  3371441035  $  9138210091     $    50029038  $   269061628  $   230177005  $    38267597  $      46      $       0      $      97      $           0  $              $0.368939      $50029040.000000      $17.185574 $14.701924 $2.444238 $     1.17  $     6.01  
55673 $  8018   $  3040547727  $  9115021736     $    10281529  $   385099157  $   382564428  $    11186654  $       0      $       0      $      97      $           0  $              $0.333576      $10281529.000000      $24.597153 $24.435251 $0.714517 $     1.01  $    34.20  
55675 $  9020   $  3489511707  $  9138048655     $    47592704  $   262244617  $   222649300  $    39962756  $      46      $       0      $      97      $           0  $              $0.381866      $47592704.000000      $16.750156 $14.221112 $2.552511 $     1.18  $     5.57  
55673 $  9020   $  3064701570  $  9117248991     $    10327372  $   381916290  $   379320500  $    11584895  $       0      $       0      $      97      $           0  $              $0.336143      $10327372.000000      $24.393854 $24.228056 $0.739953 $     1.01  $    32.74  
55675 $ 10023   $  3419047784  $  9137807635     $    46876316  $   255339263  $   218116178  $    38124600  $      46      $       0      $      97      $           0  $              $0.374165      $46876316.000000      $16.292835 $13.917683 $2.432676 $     1.17  $     5.72  
55673 $ 10023   $  3046383078  $  9135983990     $    10517029  $   385897137  $   383296431  $    11222302  $       0      $       0      $      97      $           0  $              $0.333449      $10517029.000000      $24.623547 $24.457598 $0.716079 $     1.01  $    34.15  
55673 $ 10829   $  2487281416  $  7413299316     $     8566109  $   314895822  $   312924245  $     8010842  $       0      $       0      $      97      $           0  $              $0.335516      $8566109.000000      $25.004133 $24.847584 $0.636097 $     1.01  $    39.06  
55675 $ 10829   $  2420365631  $  6434688121     $    36446755  $   197360550  $   167817018  $    28259340  $      36      $       0      $      97      $           0  $              $0.376143      $36446756.000000      $15.671309 $13.325421 $2.243918 $     1.18  $     5.94  
55673 $ 11123   $   978053754  $  2791589593     $     3373835  $   123321306  $   122953096  $       72188  $       0      $       0      $      97      $           0  $              $0.350357      $3373835.000000      $26.845453 $26.765301 $0.015714 $     1.00  $  1703.23  
55673 $ 11125   $      888058  $     2556954     $        2945  $      111890  $      111605  $          51  $       0      $       0      $      97      $           0  $              $0.347311      $2945.000000      $3.580480 $3.571360 $0.001632 $     1.00  $  2188.33  
55673 $ 12127   $  2978768382  $  8837223028     $     9954398  $   368642312  $   366204539  $    10520749  $      45      $       0      $      97      $           0  $              $0.337071      $9954398.000000      $23.546015 $23.390310 $0.671984 $     1.01  $    34.81  
55698 $  1002   $  3385906499  $  8858371185     $    43164833  $   237694944  $   192265820  $    34719608  $       0      $       0      $      97      $           0  $              $0.382227      $43164832.000000      $15.182112 $12.280452 $2.217620 $     1.24  $     5.54  
55698 $  2004   $  3510787306  $  9039412455     $    44982006  $   251696720  $   203002133  $    39707113  $      46      $       0      $      97      $           0  $              $0.388387      $44982008.000000      $16.076437 $12.966204 $2.536183 $     1.24  $     5.11  
55673 $ 13129   $  2946090167  $  8819086477     $    10065670  $   373132225  $   370693637  $    11219744  $       0      $       0      $      97      $           0  $              $0.334058      $10065670.000000      $23.832796 $23.677038 $0.716630 $     1.01  $    33.04  
55698 $  3006   $  3410215821  $  9136553016     $    49051618  $   265890981  $   216137803  $    38409266  $      46      $       0      $      97      $           0  $              $0.373250      $49051616.000000      $16.983057 $13.805209 $2.453286 $     1.23  $     5.63  
55673 $ 14131   $  3045006506  $  9135044503     $    10527372  $   385650753  $   383134868  $    11276805  $       0      $       0      $      97      $           0  $              $0.333332      $10527372.000000      $24.632383 $24.471689 $0.720275 $     1.01  $    33.98  
55698 $  4008   $  3480721699  $  9133744330     $    49818409  $   273018563  $   220693605  $    40259719  $      46      $       0      $      97      $           0  $              $0.381084      $49818408.000000      $17.438311 $14.096198 $2.571479 $     1.24  $     5.48  
55673 $ 15133   $  3043114887  $  9132449673     $    10270855  $   382750863  $   380284984  $    11256382  $       0      $       0      $      97      $           0  $              $0.333220      $10270855.000000      $24.447161 $24.289660 $0.718970 $     1.01  $    33.78  
55698 $  5010   $  3558026839  $  9132462232     $    44579618  $   249853896  $   201535620  $    39966279  $      46      $       0      $      97      $           0  $              $0.389602      $44579616.000000      $15.958732 $12.872535 $2.552737 $     1.24  $     5.04  
55673 $ 16136   $  3036909545  $  9130557584     $    10282460  $   384619264  $   382119537  $    11178946  $       0      $       0      $      97      $           0  $              $0.332609      $10282460.000000      $24.542007 $24.382504 $0.713313 $     1.01  $    34.18  
55698 $  5979   $  3267777813  $  8828581794     $    50373041  $   270889254  $   220131371  $    37640852  $      45      $       0      $      97      $           0  $              $0.370136      $50373040.000000      $17.891550 $14.539121 $2.486083 $     1.23  $     5.85  
55673 $ 17106   $  2937035689  $  8803230181     $     9909380  $   370671924  $   368304573  $    10820479  $       0      $       0      $      97      $           0  $              $0.333632      $9909380.000000      $24.456705 $24.300508 $0.713929 $     1.01  $    34.04  
