PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61693 $  1004   $  1470317956  $  4685924649     $    10878513  $    85753218  $    62657402  $     7301570  $      37      $       0      $      97      $           0  $              $0.313773      $10878513.000000      $5.466341 $3.994097 $0.465439 $     1.37  $     8.58  
61691 $  1004   $  3411388566  $  8994730172     $    41298792  $   237842662  $   196938977  $    34811019  $       0      $       0      $      97      $           0  $              $0.379265      $41298792.000000      $15.161284 $12.553879 $2.219029 $     1.21  $     5.66  
61693 $  2007   $   985748722  $  3907316351     $    14478606  $   106618685  $    83020409  $     7543468  $      37      $       0      $      97      $           0  $              $0.252283      $14478606.000000      $6.803186 $5.297414 $0.481338 $     1.28  $    11.01  
61691 $  2007   $  3546245010  $  9307705706     $    46078664  $   268099270  $   221739056  $    40486199  $       0      $       0      $      97      $           0  $              $0.381001      $46078664.000000      $17.107031 $14.148853 $2.583367 $     1.21  $     5.48  
61693 $  3010   $  1727886077  $  5509769344     $    13057231  $   104777823  $    78158694  $    11089708  $      39      $       0      $      97      $           0  $              $0.313604      $13057231.000000      $6.685724 $4.987195 $0.707618 $     1.34  $     7.05  
61691 $  3009   $  3589999623  $  9362273349     $    43905609  $   258182306  $   213321708  $    40412956  $       0      $       0      $      97      $           0  $              $0.383454      $43905608.000000      $16.490686 $13.625339 $2.581267 $     1.21  $     5.28  
61693 $  4012   $  1389405702  $  4690883318     $    12978338  $   102401875  $    79482153  $    11025004  $      38      $       0      $      97      $           0  $              $0.296193      $12978338.000000      $6.540638 $5.076705 $0.704192 $     1.29  $     7.21  
61691 $  4011   $  3428538307  $  9310215438     $    47314470  $   268966967  $   223915570  $    38611777  $       0      $       0      $      97      $           0  $              $0.368256      $47314472.000000      $17.179527 $14.301992 $2.466221 $     1.20  $     5.80  
61693 $  5015   $  1325500486  $  4742668774     $    14599835  $   109312309  $    82583950  $     7640767  $      38      $       0      $      97      $           0  $              $0.279484      $14599835.000000      $6.975063 $5.269564 $0.487546 $     1.32  $    10.81  
61691 $  5014   $  3554740408  $  9416010324     $    48055371  $   277676544  $   229938827  $    40832500  $       0      $       0      $      97      $           0  $              $0.377521      $48055372.000000      $17.718143 $14.672069 $2.605464 $     1.21  $     5.63  
61693 $  6018   $  1726621806  $  5501412480     $    12977887  $   103712628  $    78199262  $    11049973  $      39      $       0      $      97      $           0  $              $0.313851      $12977887.000000      $6.617754 $4.989784 $0.705083 $     1.33  $     7.08  
61691 $  6017   $  3547454553  $  9312826036     $    45329400  $   264720800  $   218866505  $    40369097  $       0      $       0      $      97      $           0  $              $0.380921      $45329400.000000      $16.891457 $13.965560 $2.575894 $     1.21  $     5.42  
61691 $  6564   $  1907878599  $  5082476841     $    23050163  $   134249353  $   111877582  $    20593793  $       0      $       0      $      97      $           0  $              $0.375384      $23050164.000000      $15.707420 $13.089882 $2.409511 $     1.20  $     5.43  
61693 $  6565   $   148077173  $  1018245371     $     6226533  $    41773443  $    33746586  $     1526330  $      19      $       0      $      97      $           0  $              $0.145424      $6226533.000000      $4.887569 $3.948412 $0.178583 $     1.24  $    22.11  
61691 $  7158   $  2199150123  $  5647152453     $    27713890  $   166222973  $   136774142  $    25549002  $       0      $       0      $      97      $           0  $              $0.389426      $27713890.000000      $17.909546 $14.736609 $2.752754 $     1.22  $     5.35  
61691 $  7161   $      292532  $     1372513     $       14865  $       77064  $       66075  $        3942  $       0      $       0      $      97      $           0  $              $0.213136      $14865.000000      $1.644032 $1.409600 $0.084096 $     1.17  $    16.76  
61691 $  8163   $  3415409054  $  9245035519     $    47446289  $   269095584  $   223983877  $    38439995  $      38      $       0      $      97      $           0  $              $0.369432      $47446288.000000      $17.187742 $14.306355 $2.455249 $     1.20  $     5.83  
61711 $  1002   $  1468809327  $  4687942432     $    10971803  $    85645497  $    61825155  $     7307335  $       0      $       0      $      97      $           0  $              $0.313316      $10971803.000000      $5.470371 $3.948912 $0.466736 $     1.39  $     8.46  
61711 $  2005   $   986292065  $  3907658721     $    14580956  $   106781441  $    82920827  $     7546303  $      37      $       0      $      97      $           0  $              $0.252400      $14580956.000000      $6.813571 $5.291059 $0.481519 $     1.29  $    10.99  
61691 $  9166   $  3487743365  $  9170061884     $    46393560  $   269249298  $   222663950  $    40099899  $       0      $       0      $      97      $           0  $              $0.380340      $46393560.000000      $17.180414 $14.207870 $2.558717 $     1.21  $     5.55  
61711 $  3007   $  1729296753  $  5510222556     $    13154401  $   105164545  $    77593906  $    11106521  $      39      $       0      $      97      $           0  $              $0.313834      $13154401.000000      $6.717097 $4.956098 $0.709399 $     1.36  $     6.99  
61691 $ 10169   $  3589474448  $  9361210110     $    43869138  $   258047988  $   213208178  $    40375630  $       0      $       0      $      97      $           0  $              $0.383441      $43869136.000000      $16.465673 $13.604509 $2.576312 $     1.21  $     5.28  
61711 $  3377   $   472446528  $  1574834451     $     4371845  $    35122353  $    28605253  $     4921715  $      14      $       0      $      97      $           0  $              $0.299998      $4371845.000000      $6.075218 $4.947936 $0.851324 $     1.23  $     5.81  
61691 $ 10539   $  1173954131  $  3340068322     $    19420611  $   106892967  $    89377510  $    13522774  $       0      $       0      $      97      $           0  $              $0.351476      $19420612.000000      $18.489595 $15.459894 $2.339074 $     1.20  $     6.61  
