PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61785 $  1003   $  1231529244  $  6924755718     $    75406482  $   243904118  $   242626086  $     1936313  $      42      $       0      $      97      $           0  $              $0.177844      $75406480.000000      $15.563173 $15.481625 $0.123553 $     1.01  $   125.30  
61783 $  1003   $  3345703199  $  8883155994     $    42308013  $   237369413  $   209577881  $    34320812  $       0      $       0      $      97      $           0  $              $0.376635      $42308012.000000      $15.146203 $13.372867 $2.189962 $     1.13  $     6.11  
61785 $  2006   $  1167900337  $  6380438900     $    68517195  $   219510088  $   218375895  $     1721230  $      42      $       0      $      97      $           0  $              $0.183044      $68517192.000000      $14.006625 $13.934254 $0.109829 $     1.01  $   126.87  
61783 $  2006   $  3542736810  $  9233969173     $    43680370  $   251211571  $   220854419  $    39853214  $       0      $       0      $      97      $           0  $              $0.383664      $43680368.000000      $16.029451 $14.092405 $2.542977 $     1.14  $     5.54  
61785 $  3008   $  1100121620  $  5891709584     $    62069056  $   200129132  $   199065136  $     1704300  $      41      $       0      $      97      $           0  $              $0.186724      $62069056.000000      $12.782700 $12.714739 $0.108857 $     1.01  $   116.80  
61783 $  3009   $  3444037103  $  9368798931     $    47521872  $   266723907  $   236829309  $    38565302  $       0      $       0      $      97      $           0  $              $0.367607      $47521872.000000      $17.019272 $15.111741 $2.460797 $     1.13  $     6.14  
61785 $  4010   $   955717672  $  5161135961     $    54937582  $   176054320  $   175196008  $     1728225  $      40      $       0      $      97      $           0  $              $0.185176      $54937584.000000      $11.244987 $11.190164 $0.110386 $     1.00  $   101.37  
61783 $  4011   $  3482601332  $  9314931634     $    48968753  $   277138164  $   244692072  $    40312592  $       0      $       0      $      97      $           0  $              $0.373873      $48968752.000000      $17.701441 $15.629034 $2.574856 $     1.13  $     6.07  
61785 $  5012   $  1246318655  $  6873795521     $    73765694  $   234791885  $   233654508  $     1558705  $      42      $       0      $      97      $           0  $              $0.181314      $73765696.000000      $14.996688 $14.924041 $0.099558 $     1.00  $   149.90  
61783 $  5013   $  3547289797  $  9266740559     $    44032860  $   252764586  $   222286892  $    39928419  $       0      $       0      $      97      $           0  $              $0.382798      $44032860.000000      $16.144644 $14.197966 $2.550318 $     1.14  $     5.57  
61785 $  6015   $  1180647669  $  6529899190     $    70741776  $   227042212  $   225822640  $     1685919  $      42      $       0      $      97      $           0  $              $0.180806      $70741776.000000      $14.487240 $14.409421 $0.107576 $     1.01  $   133.95  
61783 $  6016   $  3399339997  $  9238570793     $    47533759  $   264731028  $   234972248  $    38210317  $       0      $       0      $      97      $           0  $              $0.367951      $47533760.000000      $16.892109 $14.993245 $2.438146 $     1.13  $     6.15  
61785 $  7018   $  1052205131  $  5826882507     $    63269711  $   202980124  $   201920185  $     1745359  $      41      $       0      $      97      $           0  $              $0.180578      $63269712.000000      $12.951873 $12.884239 $0.111369 $     1.01  $   115.69  
61783 $  7019   $  3474206552  $  9233055325     $    47612969  $   270185038  $   238290856  $    40041364  $       0      $       0      $      97      $           0  $              $0.376279      $47612968.000000      $17.240122 $15.204999 $2.554982 $     1.13  $     5.95  
61785 $  8021   $   987097264  $  5379429381     $    57202634  $   184867145  $   183946288  $     1711182  $      40      $       0      $      97      $           0  $              $0.183495      $57202632.000000      $11.796109 $11.737350 $0.109188 $     1.01  $   107.50  
61783 $  8022   $  3585578815  $  9390655851     $    44387450  $   256853399  $   226065129  $    40280251  $       0      $       0      $      97      $           0  $              $0.381824      $44387448.000000      $16.389448 $14.424894 $2.570225 $     1.14  $     5.61  
61785 $  9024   $  1216633700  $  6488201874     $    67704822  $   215846161  $   214805652  $     1554799  $      42      $       0      $      97      $           0  $              $0.187515      $67704824.000000      $13.772836 $13.706442 $0.099210 $     1.00  $   138.16  
61783 $  9025   $  3412092481  $  9296320862     $    48001070  $   267548526  $   237572338  $    38392332  $       0      $       0      $      97      $           0  $              $0.367037      $48001072.000000      $17.071890 $15.159152 $2.449760 $     1.13  $     6.19  
61785 $ 10027   $  1161467618  $  6576344465     $    72471512  $   232664682  $   231436454  $     1634052  $      42      $       0      $      97      $           0  $              $0.176613      $72471512.000000      $14.846002 $14.767630 $0.104267 $     1.01  $   141.63  
61783 $ 10028   $  3462590644  $  9186898874     $    47510093  $   268006251  $   236275618  $    39889061  $       0      $       0      $      97      $           0  $              $0.376905      $47510092.000000      $17.101097 $15.076410 $2.545264 $     1.13  $     5.92  
61785 $ 10761   $   706775654  $  3930908371     $    42803582  $   138750868  $   138034392  $     1148191  $      28      $       0      $      97      $           0  $              $0.179800      $42803584.000000      $12.098168 $12.035697 $0.100115 $     1.01  $   120.22  
61783 $ 10762   $  2150635724  $  5794504199     $    29865725  $   167746691  $   148536713  $    24262291  $       0      $       0      $      97      $           0  $              $0.371151      $29865724.000000      $14.626414 $12.951430 $2.115513 $     1.13  $     6.12  
61785 $ 11134   $   528687119  $  2932917753     $    30418983  $   102011889  $   101594886  $       17043  $      11      $       0      $      97      $           0  $              $0.180260      $30418984.000000      $17.503380 $17.431831 $0.002924 $     1.00  $  5961.09  
61785 $ 11136   $      979381  $     4297887     $       34842  $      116000  $      115682  $           8  $       0      $       0      $      97      $           0  $              $0.227875      $34842.000000      $3.712000 $3.701824 $0.000256 $     1.00  $ 14460.25  
61785 $ 12138   $  1103608861  $  5851327085     $    61065988  $   197051287  $   196046009  $     1603705  $      41      $       0      $      97      $           0  $              $0.188608      $61065988.000000      $12.586110 $12.521901 $0.102432 $     1.01  $   122.25  
61803 $  1002   $  3453002647  $  9113045113     $    42018309  $   238137075  $   207264164  $    35041917  $       0      $       0      $      97      $           0  $              $0.378908      $42018308.000000      $15.210352 $13.238429 $2.238206 $     1.15  $     5.91  
61803 $  1989   $  3501240928  $  9232930023     $    46628853  $   266781812  $   231744064  $    40076645  $       0      $       0      $      97      $           0  $              $0.379212      $46628852.000000      $17.298922 $15.026971 $2.598688 $     1.15  $     5.78  
61785 $ 13125   $   932483713  $  5054270603     $    53494270  $   169689752  $   168946021  $     1608838  $      39      $       0      $      97      $           0  $              $0.184494      $53494272.000000      $11.003186 $10.954960 $0.104322 $     1.00  $   105.01  
