PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57296 $  1004   $ 17508437449  $  8877538880     $     2962162  $   377184283  $   347486072  $    40888452  $      39      $       0      $      97      $           0  $              $1.972217      $2962162.000000      $24.043619 $22.150507 $2.606435 $     1.09  $     8.50  
57294 $  1003   $  4627491170  $  2218991249     $      529250  $      595834  $      683851  $      199978  $       0      $       0      $      97      $           0  $              $2.085403      $529250.000000      $0.038019 $0.043636 $0.012760 $     0.87  $     3.42  
57296 $  2007   $ 18307710525  $  9161705998     $     3101699  $   395412168  $   364164011  $    42120420  $      41      $       0      $      97      $           0  $              $1.998286      $3101699.000000      $25.230686 $23.236786 $2.687644 $     1.09  $     8.65  
57294 $  2006   $  4675188929  $  2245275967     $      547170  $      601849  $      690712  $      209935  $       0      $       0      $      97      $           0  $              $2.082233      $547170.000000      $0.038403 $0.044073 $0.013396 $     0.87  $     3.29  
57296 $  3010   $ 18307372914  $  9160989600     $     3101686  $   395399092  $   364166610  $    42085899  $      41      $       0      $      97      $           0  $              $1.998406      $3101686.000000      $25.229853 $23.236954 $2.685441 $     1.09  $     8.65  
57294 $  3009   $  4683663982  $  2245506546     $      546331  $      603351  $      695023  $      209781  $       0      $       0      $      97      $           0  $              $2.085794      $546331.000000      $0.038499 $0.044348 $0.013386 $     0.87  $     3.31  
57296 $  4013   $ 18868330917  $  9486831999     $     3193172  $   407519778  $   375218719  $    43702595  $      41      $       0      $      97      $           0  $              $1.988897      $3193172.000000      $26.003256 $23.942171 $2.788600 $     1.09  $     8.59  
57294 $  4012   $  4838333665  $  2324646053     $      550595  $      622648  $      717696  $      216288  $       0      $       0      $      97      $           0  $              $2.081320      $550595.000000      $0.039730 $0.045795 $0.013801 $     0.87  $     3.32  
57296 $  5015   $ 18308509819  $  9161246676     $     3103057  $   395426837  $   364181272  $    42082896  $      41      $       0      $      97      $           0  $              $1.998474      $3103057.000000      $25.256805 $23.261080 $2.687929 $     1.09  $     8.65  
57294 $  5014   $  4677404669  $  2245648049     $      544025  $      602901  $      698005  $      209262  $       0      $       0      $      97      $           0  $              $2.082875      $544025.000000      $0.038509 $0.044583 $0.013366 $     0.86  $     3.34  
57296 $  6018   $ 18306567526  $  9161391561     $     3102234  $   395381950  $   364154559  $    42112817  $      41      $       0      $      97      $           0  $              $1.998230      $3102234.000000      $25.228758 $23.236183 $2.687159 $     1.09  $     8.65  
57294 $  6017   $  4678668868  $  2246023872     $      543275  $      602516  $      699490  $      209190  $       0      $       0      $      97      $           0  $              $2.083089      $543275.000000      $0.038446 $0.044633 $0.013348 $     0.86  $     3.34  
57296 $  7021   $ 18242831714  $  9160325402     $     3081698  $   393914781  $   362779856  $    42273067  $      41      $       0      $      97      $           0  $              $1.991505      $3081698.000000      $25.135141 $23.148464 $2.697384 $     1.09  $     8.58  
57294 $  7020   $  4680338583  $  2245791645     $      542860  $      603535  $      699540  $      210277  $       0      $       0      $      97      $           0  $              $2.084048      $542860.000000      $0.038511 $0.044637 $0.013417 $     0.86  $     3.33  
57296 $  8024   $ 18937984829  $  9492175015     $     3213143  $   409113866  $   376703457  $    43543374  $      41      $       0      $      97      $           0  $              $1.995116      $3213143.000000      $26.104971 $24.036911 $2.778441 $     1.09  $     8.65  
57294 $  8023   $  4850496372  $  2326641575     $      545304  $      623815  $      723828  $      215974  $       0      $       0      $      97      $           0  $              $2.084763      $545304.000000      $0.039805 $0.046186 $0.013781 $     0.86  $     3.35  
57296 $  9027   $ 18306831855  $  9160437244     $     3103557  $   395370843  $   364172083  $    42079373  $      41      $       0      $      97      $           0  $              $1.998467      $3103557.000000      $25.228050 $23.237303 $2.685025 $     1.09  $     8.65  
57294 $  9026   $  4680863289  $  2245920743     $      540929  $      603134  $      698533  $      208974  $       0      $       0      $      97      $           0  $              $2.084162      $540929.000000      $0.038485 $0.044572 $0.013334 $     0.86  $     3.34  
57296 $ 10029   $ 18242763305  $  9161086645     $     3083458  $   393909354  $   362797722  $    42279232  $      41      $       0      $      97      $           0  $              $1.991332      $3083458.000000      $25.159878 $23.172709 $2.700470 $     1.09  $     8.58  
57294 $ 10028   $  4685207963  $  2245857010     $      543482  $      603389  $      699428  $      210779  $       0      $       0      $      97      $           0  $              $2.086156      $543482.000000      $0.038540 $0.044674 $0.013463 $     0.86  $     3.32  
57296 $ 11032   $ 18308493215  $  9160331484     $     3100835  $   395394487  $   364190951  $    42090467  $      41      $       0      $      97      $           0  $              $1.998672      $3100835.000000      $25.229559 $23.238504 $2.685733 $     1.09  $     8.65  
57294 $ 11031   $  4687202153  $  2246037832     $      540478  $      603999  $      700825  $      211103  $       0      $       0      $      97      $           0  $              $2.086876      $540478.000000      $0.038540 $0.044719 $0.013470 $     0.86  $     3.32  
57296 $ 12035   $ 18948092761  $  9497071534     $     3216376  $   409358691  $   376913087  $    43548228  $      41      $       0      $      97      $           0  $              $1.995151      $3216376.000000      $26.120594 $24.050287 $2.778750 $     1.09  $     8.66  
57294 $ 12034   $  4842495310  $  2327813680     $      545922  $      622643  $      722743  $      215485  $       0      $       0      $      97      $           0  $              $2.080276      $545922.000000      $0.039730 $0.046117 $0.013750 $     0.86  $     3.35  
57296 $ 13038   $ 18244594879  $  9161261790     $     3084721  $   393983742  $   362834813  $    42259164  $      41      $       0      $      97      $           0  $              $1.991494      $3084721.000000      $25.139542 $23.151972 $2.696497 $     1.09  $     8.59  
57294 $ 13037   $  4678867836  $  2246127270     $      539692  $      602666  $      699729  $      210942  $       0      $       0      $      97      $           0  $              $2.083082      $539692.000000      $0.038455 $0.044649 $0.013460 $     0.86  $     3.32  
57296 $ 14041   $ 18304896199  $  9161377043     $     3095423  $   395315185  $   364106076  $    42136234  $      41      $       0      $      97      $           0  $              $1.998051      $3095423.000000      $25.224499 $23.233089 $2.688653 $     1.09  $     8.64  
57294 $ 14040   $  4682728883  $  2246298669     $      538897  $      604292  $      700450  $      209588  $       0      $       0      $      97      $           0  $              $2.084642      $538897.000000      $0.038559 $0.044695 $0.013374 $     0.86  $     3.34  
57296 $ 15044   $ 18308363498  $  9161578914     $     3102079  $   395421839  $   364194388  $    42065804  $      41      $       0      $      97      $           0  $              $1.998385      $3102079.000000      $25.231302 $23.238726 $2.684159 $     1.09  $     8.66  
57294 $ 15043   $  4685088801  $  2246466233     $      539706  $      605057  $      702250  $      211421  $       0      $       0      $      97      $           0  $              $2.085537      $539706.000000      $0.038608 $0.044810 $0.013490 $     0.86  $     3.32  
57294 $ 15348   $  1481834358  $   708396865     $      142138  $      189999  $      216279  $       52158  $       0      $       0      $      97      $           0  $              $2.091814      $142138.000000      $0.039869 $0.045383 $0.010945 $     0.88  $     4.15  
57296 $ 15349   $  4434591929  $  2230289527     $      810079  $    95638838  $    88064319  $    10082950  $      11      $       0      $      97      $           0  $              $1.988348      $810079.000000      $20.068478 $18.479071 $2.115767 $     1.09  $     8.73  
57294 $ 16110   $  3897222629  $  1827080014     $      174248  $      490222  $      519898  $         160  $       0      $       0      $      97      $           0  $              $2.133033      $174248.000000      $0.041174 $0.043666 $0.000013 $     0.94  $  3249.36  
57294 $ 16113   $     2667618  $     1262774     $           2  $         348  $         353  $           0  $       0      $       0      $      97      $           0  $              $2.112506      $2.000000      $0.007424 $0.007531 $0.000000 $     0.99  $      inf  
57294 $ 17116   $  4742378505  $  2246870362     $      540882  $      608421  $      675945  $      366897  $      41      $       0      $      97      $           0  $              $2.110660      $540882.000000      $0.038822 $0.043131 $0.023411 $     0.90  $     1.84  
57316 $  1003   $ 17806421152  $  8977638749     $     2423686  $   378816772  $   352311846  $    45332706  $       0      $       0      $      97      $           0  $              $1.983419      $2423686.000000      $24.171759 $22.480516 $2.892615 $     1.08  $     7.77  
57316 $  2005   $ 13438541403  $  6946064776     $     1621037  $   285802497  $   264922482  $    59717419  $      40      $       0      $      97      $           0  $              $1.934699      $1621037.000000      $18.254850 $16.921196 $3.814286 $     1.08  $     4.44  
57294 $ 18118   $  7413515710  $  5018441881     $      134552  $    20569333  $    26706516  $     8450715  $       0      $       0      $      97      $           0  $              $1.477255      $134552.000000      $1.313810 $1.705805 $0.539766 $     0.77  $     3.16  
57316 $  3007   $ 17977125228  $  9132365391     $     2362491  $   384489542  $   356705604  $    52646509  $      51      $       0      $      97      $           0  $              $1.968507      $2362491.000000      $24.558214 $22.783590 $3.362651 $     1.08  $     6.78  
57294 $ 19120   $ 12213803569  $  9119671011     $       69119  $    28059407  $    44124981  $     7796320  $       0      $       0      $      97      $           0  $              $1.339281      $69119.000000      $1.792218 $2.818362 $0.497969 $     0.64  $     5.66  
57316 $  4009   $ 17968356118  $  9133037687     $     2360086  $   384277659  $   356521965  $    52574741  $      51      $       0      $      97      $           0  $              $1.967402      $2360086.000000      $24.544682 $22.771862 $3.358067 $     1.08  $     6.78  
57294 $ 20122   $ 12224910873  $  9128621340     $       68587  $    27980811  $    44212325  $     7946689  $       0      $       0      $      97      $           0  $              $1.339185      $68587.000000      $1.787198 $2.823941 $0.507573 $     0.63  $     5.56  
57316 $  5011   $ 17904149883  $  9134356784     $     2353017  $   382877582  $   355187417  $    52736592  $      51      $       0      $      97      $           0  $              $1.960089      $2353017.000000      $24.455254 $22.686623 $3.368405 $     1.08  $     6.74  
