PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55189 $  1003   $  3621798195  $  7809101708     $      105806  $    39931173  $    36284047  $    30404471  $      43      $       0      $      97      $           0  $              $0.463792      $105806.000000      $2.547951 $2.315233 $1.940066 $     1.10  $     1.19  
55187 $  1003   $  3179326434  $  8847016965     $    12761990  $   349853680  $   345382481  $    10058676  $       0      $       0      $      97      $           0  $              $0.359367      $12761990.000000      $22.323666 $22.038364 $0.641830 $     1.01  $    34.34  
55189 $  2005   $  4247892714  $  9071351180     $       32369  $    47221888  $    42875410  $    35775968  $      46      $       0      $      97      $           0  $              $0.468276      $32369.000000      $3.016169 $2.738549 $2.285092 $     1.10  $     1.20  
55187 $  2005   $  3235127287  $  9125588000     $    13695886  $   366528025  $   361807234  $    10510219  $       0      $       0      $      97      $           0  $              $0.354512      $13695886.000000      $23.410973 $23.109444 $0.671311 $     1.01  $    34.42  
55189 $  3007   $  4247933710  $  9071760753     $       32731  $    47218898  $    42873464  $    35772803  $      46      $       0      $      97      $           0  $              $0.468259      $32731.000000      $3.015977 $2.738425 $2.284890 $     1.10  $     1.20  
55187 $  3007   $  3235498337  $  9126570465     $    13680600  $   366515292  $   361846915  $    10505945  $       0      $       0      $      97      $           0  $              $0.354514      $13680600.000000      $23.410158 $23.111979 $0.671038 $     1.01  $    34.44  
55189 $  4010   $  4196582139  $  9075293172     $       32113  $    45429686  $    41444432  $    34879436  $      45      $       0      $      97      $           0  $              $0.462418      $32113.000000      $2.898804 $2.644510 $2.225607 $     1.10  $     1.19  
55187 $  4010   $  3026341206  $  9143051781     $    10465980  $   381868563  $   379091433  $    10820775  $       0      $       0      $      97      $           0  $              $0.330999      $10465980.000000      $24.366489 $24.189283 $0.690458 $     1.01  $    35.03  
55189 $  5012   $  4246611610  $  9067753326     $       32580  $    47192731  $    42831313  $    35767279  $      45      $       0      $      97      $           0  $              $0.468320      $32580.000000      $3.014306 $2.735733 $2.284537 $     1.10  $     1.20  
55187 $  5013   $  3016837163  $  9141897477     $    10344916  $   382229088  $   379543146  $    10829586  $       0      $       0      $      97      $           0  $              $0.330001      $10344916.000000      $24.389494 $24.218107 $0.691020 $     1.01  $    35.05  
55189 $  6014   $  4242400553  $  9068444274     $       32896  $    47186364  $    42831716  $    35738723  $      45      $       0      $      97      $           0  $              $0.467820      $32896.000000      $3.013900 $2.735758 $2.282713 $     1.10  $     1.20  
55187 $  6015   $  3058025349  $  9142390742     $    10638460  $   378698480  $   375756617  $    11214488  $       0      $       0      $      97      $           0  $              $0.334489      $10638460.000000      $24.188328 $24.000422 $0.716295 $     1.01  $    33.51  
55189 $  7016   $  4202723162  $  9071729023     $       31407  $    45415254  $    41441340  $    34843999  $      46      $       0      $      97      $           0  $              $0.463277      $31407.000000      $2.900775 $2.646952 $2.225565 $     1.10  $     1.19  
55187 $  7017   $  3242353171  $  9142881481     $    13739540  $   367285402  $   362606018  $    10545454  $       0      $       0      $      97      $           0  $              $0.354631      $13739540.000000      $23.459347 $23.160463 $0.673562 $     1.01  $    34.39  
55187 $  7890   $  2861632204  $  8027691217     $    11936021  $   323904017  $   320000394  $     8309394  $       0      $       0      $      97      $           0  $              $0.356470      $11936021.000000      $23.745543 $23.459364 $0.609165 $     1.01  $    38.51  
55189 $  7889   $  3334482879  $  7071039519     $      110941  $    37831908  $    34191276  $    28387685  $      39      $       0      $      97      $           0  $              $0.471569      $110941.000000      $2.773473 $2.506577 $2.081113 $     1.11  $     1.20  
55187 $  8108   $   745302594  $  1991908722     $     2693627  $    84014047  $    83268980  $       23298  $       0      $       0      $      97      $           0  $              $0.374165      $2693627.000000      $24.664675 $24.445938 $0.006840 $     1.01  $  3574.08  
55187 $  8111   $      541130  $     1462322     $        1900  $       60926  $       60467  $          13  $       0      $       0      $      97      $           0  $              $0.370048      $1900.000000      $1.299755 $1.289963 $0.000277 $     1.01  $  4651.31  
55187 $  9114   $  3072281205  $  8636145941     $    11520384  $   347544029  $   343697804  $     9718037  $      43      $       0      $      97      $           0  $              $0.355747      $11520384.000000      $22.176289 $21.930866 $0.620094 $     1.01  $    35.37  
55207 $  1003   $  3652957670  $  7891292850     $       33974  $    40179042  $    36552016  $    30652669  $       0      $       0      $      97      $           0  $              $0.462910      $33974.000000      $2.563767 $2.332332 $1.955903 $     1.10  $     1.19  
55207 $  2006   $  4210105741  $  8972740518     $       33373  $    47006329  $    42781360  $    35478699  $      44      $       0      $      97      $           0  $              $0.469211      $33373.000000      $2.999407 $2.729818 $2.263845 $     1.10  $     1.21  
55187 $ 10117   $  2904023068  $  8775277062     $     9884425  $   367902493  $   365346080  $    10602380  $       0      $       0      $      97      $           0  $              $0.330932      $9884425.000000      $23.475334 $23.312212 $0.676523 $     1.01  $    34.46  
55207 $  3008   $  4245490793  $  9063073236     $       33442  $    47329779  $    43125029  $    35768228  $      45      $       0      $      97      $           0  $              $0.468438      $33442.000000      $3.023060 $2.754493 $2.284597 $     1.10  $     1.21  
55187 $ 11119   $  3017801428  $  9139557547     $    10322364  $   382365060  $   379666305  $    10798635  $       0      $       0      $      97      $           0  $              $0.330191      $10322364.000000      $24.422518 $24.250143 $0.689733 $     1.01  $    35.16  
55207 $  3735   $  3040451160  $  6569950782     $       24783  $    33054129  $    30233876  $    25292180  $      32      $       0      $      97      $           0  $              $0.462781      $24783.000000      $2.909854 $2.661579 $2.226547 $     1.09  $     1.20  
55187 $ 11846   $  2189222725  $  6599577005     $     7338860  $   271173692  $   269275062  $     7776681  $       0      $       0      $      97      $           0  $              $0.331722      $7338860.000000      $23.872238 $23.705095 $0.684605 $     1.01  $    34.63  
