PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63229 $  1003   $  3619523991  $  7839326258     $      103436  $    40118447  $    36580935  $    30307390  $      45      $       0      $      97      $           0  $              $0.461714      $103436.000000      $2.559901 $2.334177 $1.933871 $     1.10  $     1.21  
63227 $  1003   $ 21473275395  $  8832372253     $     3693423  $   335846255  $   335894816  $    10086697  $       0      $       0      $      97      $           0  $              $2.431201      $3693423.000000      $21.429871 $21.432970 $0.643618 $     1.00  $    33.30  
63229 $  2005   $  4227149196  $  9050982596     $       35352  $    47271657  $    43061094  $    35531266  $      47      $       0      $      97      $           0  $              $0.467038      $35352.000000      $3.019347 $2.750409 $2.269462 $     1.10  $     1.21  
63227 $  2005   $ 22151117671  $  9109126581     $     3799180  $   346318800  $   346335948  $    10856206  $       0      $       0      $      97      $           0  $              $2.431750      $3799180.000000      $22.120161 $22.121258 $0.693410 $     1.00  $    31.90  
63229 $  3007   $  4209422129  $  9050878118     $       34347  $    46394611  $    42495303  $    35131949  $      48      $       0      $      97      $           0  $              $0.465084      $34347.000000      $2.963329 $2.714271 $2.243957 $     1.09  $     1.21  
63227 $  3007   $ 22257236234  $  9115165869     $     3831984  $   348185134  $   348193888  $    10377438  $       0      $       0      $      97      $           0  $              $2.441781      $3831984.000000      $22.239368 $22.239929 $0.662830 $     1.00  $    33.55  
63229 $  4009   $  4187741820  $  9057486383     $       33997  $    45984076  $    41920191  $    34881536  $      48      $       0      $      97      $           0  $              $0.462351      $33997.000000      $2.937107 $2.677537 $2.227962 $     1.10  $     1.20  
63227 $  4009   $ 22170206253  $  9109760867     $     3809253  $   346608788  $   346627159  $    10770818  $       0      $       0      $      97      $           0  $              $2.433676      $3809253.000000      $22.138685 $22.139858 $0.687956 $     1.00  $    32.18  
63229 $  5012   $  4227043178  $  9051156444     $       35405  $    47270373  $    43049083  $    35532011  $      48      $       0      $      97      $           0  $              $0.467017      $35405.000000      $3.016255 $2.746901 $2.267247 $     1.10  $     1.21  
63227 $  5011   $ 22238995514  $  9115574238     $     3823162  $   347905792  $   347915219  $    10543903  $       0      $       0      $      97      $           0  $              $2.439670      $3823162.000000      $22.221527 $22.222130 $0.673463 $     1.00  $    33.00  
63229 $  6015   $  4177002789  $  9058663033     $       34384  $    45481204  $    41607789  $    34652606  $      48      $       0      $      97      $           0  $              $0.461106      $34384.000000      $2.902091 $2.654934 $2.211133 $     1.09  $     1.20  
