PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55870 $  1003   $ 21357417580  $  8829616500     $     7345680  $   346342653  $   423469107  $     4118649  $      49      $       0      $      97      $           0  $              $2.418839      $7345680.000000      $22.099630 $27.020960 $0.262805 $     0.82  $   102.82  
55868 $  1003   $  3074797237  $  8761912882     $     9821265  $   384333805  $   381399358  $     5071451  $       0      $       0      $      97      $           0  $              $0.350928      $9821265.000000      $24.523792 $24.336550 $0.323602 $     1.01  $    75.21  
55870 $  2005   $ 22107472710  $  9137675870     $     7478250  $   357851714  $   435237826  $     3884745  $      50      $       0      $      97      $           0  $              $2.419376      $7478250.000000      $22.856796 $27.799622 $0.248127 $     0.82  $   112.04  
55868 $  2005   $  3187957249  $  9158564311     $    10342232  $   404032115  $   400936359  $     4799224  $       0      $       0      $      97      $           0  $              $0.348085      $10342232.000000      $25.806444 $25.608709 $0.306537 $     1.01  $    83.54  
55870 $  3007   $ 22138999118  $  9134795599     $     7730264  $   359020459  $   441293769  $     3757972  $      50      $       0      $      97      $           0  $              $2.423590      $7730264.000000      $22.931446 $28.186428 $0.240030 $     0.81  $   117.43  
55868 $  3007   $  3185406895  $  9157185245     $    10352929  $   403711717  $   400605608  $     4944716  $       0      $       0      $      97      $           0  $              $0.347859      $10352929.000000      $25.785978 $25.587584 $0.315830 $     1.01  $    81.02  
55870 $  4010   $ 22160987394  $  9132992304     $     7564811  $   359060373  $   438269471  $     3574772  $      50      $       0      $      97      $           0  $              $2.426476      $7564811.000000      $22.911131 $27.965351 $0.228101 $     0.82  $   122.60  
55868 $  4010   $  3182830763  $  9151605318     $    10271250  $   403451297  $   400306218  $     4868736  $       0      $       0      $      97      $           0  $              $0.347789      $10271250.000000      $25.743652 $25.542969 $0.310667 $     1.01  $    82.22  
55870 $  5013   $ 22147757832  $  9133221970     $     7551758  $   358663580  $   436613521  $     3623046  $      50      $       0      $      97      $           0  $              $2.424967      $7551758.000000      $22.885813 $27.859688 $0.231181 $     0.82  $   120.51  
55868 $  5013   $  3183641737  $  9152458763     $    10253825  $   403597452  $   400412090  $     4867463  $       0      $       0      $      97      $           0  $              $0.347846      $10253825.000000      $25.752977 $25.549725 $0.310586 $     1.01  $    82.26  
55870 $  6015   $ 22144321672  $  9134281488     $     7565373  $   358604324  $   437463206  $     3983810  $      50      $       0      $      97      $           0  $              $2.424309      $7565373.000000      $22.904867 $27.941761 $0.254455 $     0.82  $   109.81  
55868 $  6015   $  3182427809  $  9152803240     $    10209520  $   403489514  $   400255542  $     5271118  $       0      $       0      $      97      $           0  $              $0.347700      $10209520.000000      $25.771784 $25.565226 $0.336678 $     1.01  $    75.93  
55870 $  7017   $ 22164624069  $  9134786691     $     7551060  $   358977331  $   437977216  $     4133789  $      50      $       0      $      97      $           0  $              $2.426398      $7551060.000000      $22.928692 $27.974592 $0.264034 $     0.82  $   105.95  
55868 $  7017   $  3182904418  $  9152885744     $    10180465  $   403543291  $   400327375  $     5430077  $       0      $       0      $      97      $           0  $              $0.347749      $10180465.000000      $25.775221 $25.569811 $0.346831 $     1.01  $    73.72  
55870 $  8019   $ 22154927084  $  9135294746     $     7537480  $   358826555  $   437630951  $     4230352  $      50      $       0      $      97      $           0  $              $2.425201      $7537480.000000      $22.919062 $27.952475 $0.270202 $     0.82  $   103.45  
55868 $  8019   $  3182164230  $  9153921478     $    10164415  $   403462567  $   400239092  $     5426916  $       0      $       0      $      97      $           0  $              $0.347629      $10164415.000000      $25.770063 $25.564175 $0.346629 $     1.01  $    73.75  
55870 $  9021   $ 22200367166  $  9138781803     $     7536599  $   359524142  $   438301233  $     3900658  $      50      $       0      $      97      $           0  $              $2.429248      $7536599.000000      $22.963617 $27.995289 $0.249144 $     0.82  $   112.37  
55868 $  9021   $  3218952329  $  9163485701     $    10256560  $   401778268  $   398669412  $     5460059  $       0      $       0      $      97      $           0  $              $0.351280      $10256560.000000      $25.662485 $25.463915 $0.348746 $     1.01  $    73.02  
55870 $ 10024   $ 22222349095  $  9140155463     $     7538721  $   359866401  $   438072613  $     3741104  $      50      $       0      $      97      $           0  $              $2.431288      $7538721.000000      $22.962563 $27.952789 $0.238715 $     0.82  $   117.10  
55868 $ 10024   $  3194556348  $  9173043316     $    10352662  $   404782354  $   401766293  $     4825673  $       0      $       0      $      97      $           0  $              $0.348255      $10352662.000000      $25.828587 $25.636135 $0.307919 $     1.01  $    83.26  
55870 $ 11026   $ 22234009171  $  9139609681     $     7540835  $   360097500  $   437718831  $     3726538  $      50      $       0      $      97      $           0  $              $2.432709      $7540835.000000      $23.000240 $27.958088 $0.238022 $     0.82  $   117.46  
55868 $ 11027   $  3192483935  $  9172517472     $    10359526  $   404540619  $   401500813  $     4984074  $       0      $       0      $      97      $           0  $              $0.348049      $10359526.000000      $25.813160 $25.619194 $0.318027 $     1.01  $    80.56  
55870 $ 12028   $ 22042161059  $  9126004377     $     7614891  $   356995983  $   435993109  $     3817247  $      50      $       0      $      97      $           0  $              $2.415313      $7614891.000000      $22.802137 $27.847864 $0.243816 $     0.82  $   114.22  
55868 $ 12029   $  3185323416  $  9164819380     $    10279457  $   403729739  $   400625051  $     5028284  $       0      $       0      $      97      $           0  $              $0.347560      $10279457.000000      $25.787128 $25.588825 $0.321168 $     1.01  $    79.67  
