PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61736 $  1003   $  4239374792  $  5118929663     $     1090137  $   158848947  $    29570356  $    14631099  $      37      $       0      $      97      $           0  $              $0.828176      $1090137.000000      $10.135924 $1.886842 $0.933590 $     5.37  $     2.02  
61734 $  1003   $  3337692182  $  8749525042     $    39110199  $   229234398  $   184406257  $    33839754  $       0      $       0      $      97      $           0  $              $0.381471      $39110200.000000      $14.627120 $11.766701 $2.159266 $     1.24  $     5.45  
61736 $  2005   $  4914262090  $  5870115355     $     2646197  $   195849431  $    41060424  $    24695208  $      39      $       0      $      97      $           0  $              $0.837166      $2646197.000000      $12.509344 $2.622622 $1.577339 $     4.77  $     1.66  
61734 $  2005   $  3452738677  $  9340038075     $    42546147  $   248194411  $   200657516  $    38020329  $       0      $       0      $      97      $           0  $              $0.369671      $42546148.000000      $15.852737 $12.816448 $2.428444 $     1.24  $     5.28  
61736 $  3007   $ 16559045976  $  9002616351     $    11874146  $   771034323  $   127890133  $    64863814  $      48      $       0      $      97      $           0  $              $1.839359      $11874146.000000      $49.247700 $8.168632 $4.142998 $     6.03  $     1.97  
61734 $  3007   $  3328334517  $  9125194948     $    46309245  $   259400235  $   208370826  $    39025055  $       0      $       0      $      97      $           0  $              $0.364741      $46309244.000000      $16.568478 $13.309115 $2.492618 $     1.24  $     5.34  
61734 $  3275   $   961053652  $  2487090927     $    10285283  $    61720279  $    49569609  $    10522410  $       0      $       0      $      97      $           0  $              $0.386417      $10285283.000000      $14.739171 $11.837519 $2.512814 $     1.25  $     4.71  
61736 $  3275   $  2743991138  $  1298103507     $      807959  $   123934378  $    15974548  $     7505970  $      10      $       0      $      97      $           0  $              $2.113846      $807959.000000      $29.596270 $3.814817 $1.792470 $     7.76  $     2.13  
61734 $  4111   $  3022853260  $  8162190704     $    40279597  $   234601937  $   190363085  $    33532267  $       0      $       0      $      97      $           0  $              $0.370348      $40279596.000000      $17.959957 $14.573251 $2.567064 $     1.23  $     5.68  
61734 $  4113   $      538231  $     1502413     $           5  $       17011  $       16858  $       16432  $       0      $       0      $      97      $           0  $              $0.358244      $5.000000      $0.544352 $0.539456 $0.525824 $     1.01  $     1.03  
