PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63559 $  1003   $  4313400462  $  5152997407     $     1278397  $   161710746  $    34182103  $    14528908  $      41      $       0      $      97      $           0  $              $0.837066      $1278397.000000      $10.318533 $2.181111 $0.927069 $     4.73  $     2.35  
63557 $  1003   $ 20154787485  $  8893251859     $     6712632  $   326989874  $   399861014  $     6454989  $       0      $       0      $      97      $           0  $              $2.266301      $6712632.000000      $20.864759 $25.514563 $0.411884 $     0.82  $    61.95  
63559 $  2005   $  5455208386  $  5909700798     $     3118360  $   220179036  $    48851035  $    25569907  $      44      $       0      $      97      $           0  $              $0.923094      $3118360.000000      $14.063332 $3.120226 $1.633208 $     4.51  $     1.91  
63557 $  2005   $ 20497681321  $  9323288659     $     6706675  $   332086427  $   403126137  $     7822433  $       0      $       0      $      97      $           0  $              $2.198546      $6706675.000000      $21.211109 $25.748575 $0.499636 $     0.82  $    51.53  
63559 $  3008   $ 16791330798  $  8997532631     $    12825337  $   779712060  $   151264513  $    65333492  $      53      $       0      $      97      $           0  $              $1.866215      $12825337.000000      $49.752316 $9.651973 $4.168837 $     5.15  $     2.32  
63557 $  3008   $ 19430470140  $  9088888088     $     6163587  $   314394677  $   375593999  $    22670977  $       0      $       0      $      97      $           0  $              $2.137827      $6163587.000000      $20.061077 $23.966116 $1.446603 $     0.84  $    16.57  
63557 $  3231   $  5043509601  $  2094747128     $     1587345  $    81527687  $    97284659  $     1314904  $       0      $       0      $      97      $           0  $              $2.407694      $1587345.000000      $23.398081 $27.920259 $0.377372 $     0.84  $    73.99  
63559 $  3231   $  1962549438  $   925773480     $      688174  $    88415855  $    14859132  $     5835593  $      10      $       0      $      97      $           0  $              $2.119902      $688174.000000      $25.374954 $4.264504 $1.674789 $     5.95  $     2.55  
63557 $  4108   $ 21048402469  $  8642329620     $     6781307  $   341077219  $   418445864  $     1317390  $       0      $       0      $      97      $           0  $              $2.435501      $6781307.000000      $24.890471 $30.536528 $0.096138 $     0.82  $   317.63  
63557 $  4111   $     3586548  $     1463387     $         646  $       57499  $       61307  $         411  $       0      $       0      $      97      $           0  $              $2.450854      $646.000000      $1.226645 $1.307883 $0.008768 $     0.94  $   149.17  
63557 $  5113   $ 20785041559  $  9185901283     $     6818372  $   336476720  $   409835145  $     6484708  $      43      $       0      $      97      $           0  $              $2.262711      $6818372.000000      $21.491528 $26.177095 $0.414193 $     0.82  $    63.20  
63577 $  1002   $  4387854476  $  5235476272     $     1252669  $   165213196  $    33689667  $    14861669  $       0      $       0      $      97      $           0  $              $0.838100      $1252669.000000      $10.552540 $2.151835 $0.949248 $     4.90  $     2.27  
63577 $  2005   $  6094314308  $  5801825432     $     3150335  $   246553339  $    51653977  $    26415573  $      44      $       0      $      97      $           0  $              $1.050413      $3150335.000000      $15.732218 $3.295967 $1.685540 $     4.77  $     1.96  
63557 $  6116   $ 20590773300  $  8946254351     $     6715825  $   333485640  $   405535702  $     8325484  $       0      $       0      $      97      $           0  $              $2.301608      $6715825.000000      $21.279243 $25.876656 $0.531237 $     0.82  $    48.71  
63577 $  3008   $ 16843108614  $  8983458603     $    12504629  $   782499403  $   146358994  $    65964065  $      53      $       0      $      97      $           0  $              $1.874902      $12504629.000000      $49.930172 $9.338959 $4.209073 $     5.35  $     2.22  
63557 $  7119   $ 19330974392  $  9074766545     $     6098333  $   312882485  $   373997920  $    21814226  $       0      $       0      $      97      $           0  $              $2.130190      $6098333.000000      $19.964586 $23.864275 $1.391935 $     0.84  $    17.14  
63557 $  7278   $  3423285592  $  1471876687     $     1168827  $    55564915  $    68725728  $     1912763  $       0      $       0      $      97      $           0  $              $2.325796      $1168827.000000      $22.365753 $27.663187 $0.769917 $     0.81  $    35.93  
63577 $  3167   $  1213762438  $   580827458     $      405828  $    55954855  $     8726527  $     4430218  $       7      $       0      $      97      $           0  $              $2.089713      $405828.000000      $22.522709 $3.512564 $1.783232 $     6.41  $     1.97  
63557 $  8192   $ 21859029105  $  8966959657     $     6983905  $   354000381  $   432120572  $     1406545  $       0      $       0      $      97      $           0  $              $2.437730      $6983905.000000      $24.787773 $30.257896 $0.098489 $     0.82  $   307.22  
63557 $  8194   $     3109562  $     1250125     $         767  $       49956  $       60336  $         375  $       0      $       0      $      97      $           0  $              $2.487401      $767.000000      $1.598592 $1.930752 $0.012000 $     0.83  $   160.90  
63557 $  9196   $ 20544179112  $  9203859956     $     6668857  $   332748681  $   404973794  $     6319406  $      43      $       0      $      97      $           0  $              $2.232126      $6668857.000000      $21.253408 $25.866589 $0.403635 $     0.82  $    64.08  
63582 $  1002   $  4387253554  $  5237565424     $     1235978  $   165854646  $    32044090  $    14991546  $       0      $       0      $      97      $           0  $              $0.837651      $1235978.000000      $10.593510 $2.046728 $0.957544 $     5.18  $     2.14  
63582 $  2005   $  6107980883  $  5757157679     $     3163920  $   246852847  $    48932881  $    25972623  $      43      $       0      $      97      $           0  $              $1.060937      $3163920.000000      $15.751328 $3.122337 $1.657276 $     5.04  $     1.88  
63557 $ 10199   $ 20434546934  $  8908086882     $     6611734  $   330677530  $   401201363  $     8869689  $       0      $       0      $      97      $           0  $              $2.293932      $6611734.000000      $21.100061 $25.600088 $0.565962 $     0.82  $    45.23  
63582 $  3007   $ 17220820727  $  8989176121     $    12386248  $   800508627  $   138152362  $    65844844  $      53      $       0      $      97      $           0  $              $1.915729      $12386248.000000      $51.130291 $8.824103 $4.205659 $     5.79  $     2.10  
63557 $ 11201   $ 19482079657  $  9079573883     $     6269715  $   315670219  $   379029178  $    21063527  $       0      $       0      $      97      $           0  $              $2.145704      $6269715.000000      $20.162569 $24.209450 $1.345375 $     0.83  $    17.99  
63557 $ 11343   $  3013717748  $  1318081234     $      938287  $    48804362  $    58878650  $     1998391  $       0      $       0      $      97      $           0  $              $2.286443      $938287.000000      $21.996332 $26.536856 $0.900683 $     0.83  $    29.46  
63582 $  3149   $   786262284  $   355463685     $      230102  $    36750489  $     4634068  $     3117482  $       5      $       0      $      97      $           0  $              $2.211934      $230102.000000      $16.563601 $2.088594 $1.405062 $     7.93  $     1.49  
63557 $ 12282   $ 21861930650  $  8955818892     $     7105897  $   354108838  $   432111971  $     1286067  $       0      $       0      $      97      $           0  $              $2.441087      $7105897.000000      $24.135214 $29.451721 $0.087655 $     0.82  $   335.99  
63557 $ 12285   $     4287727  $     1743861     $        1462  $       69518  $       82691  $         401  $       0      $       0      $      97      $           0  $              $2.458755      $1462.000000      $1.483051 $1.764075 $0.008555 $     0.84  $   206.21  
63557 $ 13287   $ 20520992085  $  9230230870     $     6549253  $   331874676  $   400584306  $     7343337  $      43      $       0      $      97      $           0  $              $2.223237      $6549253.000000      $21.197584 $25.586224 $0.469036 $     0.83  $    54.55  
63587 $  1002   $  4380157621  $  5217999595     $     1239860  $   165569007  $    30509091  $    14933154  $       0      $       0      $      97      $           0  $              $0.839432      $1239860.000000      $10.575266 $1.948685 $0.953814 $     5.43  $     2.04  
63587 $  2005   $  6020434175  $  5811281181     $     3138134  $   244173820  $    47078454  $    25857463  $      43      $       0      $      97      $           0  $              $1.035991      $3138134.000000      $15.580383 $3.004009 $1.649928 $     5.19  $     1.82  
63557 $ 14290   $ 20486734311  $  8927413355     $     6640496  $   331974857  $   404701646  $     7921174  $       0      $       0      $      97      $           0  $              $2.294812      $6640496.000000      $21.182842 $25.823435 $0.505439 $     0.82  $    51.09  
63587 $  2285   $  4840419964  $  2415102969     $     2655832  $   222919405  $    31870001  $    16087673  $      14      $       0      $      97      $           0  $              $2.004229      $2655832.000000      $50.953007 $7.284572 $3.677182 $     6.99  $     1.98  
63557 $ 14570   $  5426796239  $  2504663804     $     1631951  $    87544328  $   103124213  $     6276872  $       0      $       0      $      97      $           0  $              $2.166677      $1631951.000000      $20.010132 $23.571249 $1.434714 $     0.85  $    16.43  
