PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60521 $  1003   $  3262571464  $  8800982971     $    38725552  $   218353984  $   189471981  $    33267926  $      41      $       0      $      97      $           0  $              $0.370705      $38725552.000000      $13.932857 $12.089937 $2.122779 $     1.15  $     5.70  
60519 $  1003   $  4014407405  $  7322016050     $      135335  $    81006388  $    63910495  $    61101056  $       0      $       0      $      97      $           0  $              $0.548265      $135335.000000      $5.168902 $4.078038 $3.898771 $     1.27  $     1.05  
60521 $  2006   $  3231593154  $  9109083119     $    46819295  $   257485600  $   225149034  $    37048725  $      44      $       0      $      97      $           0  $              $0.354766      $46819296.000000      $16.429789 $14.366439 $2.364026 $     1.14  $     6.08  
60519 $  2006   $  4993829781  $  9040598929     $       58689  $   101732613  $    80390661  $    76805953  $       0      $       0      $      97      $           0  $              $0.552378      $58689.000000      $6.491413 $5.129614 $4.900878 $     1.27  $     1.05  
60521 $  3008   $  3321643972  $  9107693957     $    42823947  $   240024144  $   209372620  $    37053754  $      44      $       0      $      97      $           0  $              $0.364707      $42823948.000000      $15.330883 $13.373102 $2.366707 $     1.15  $     5.65  
60519 $  3009   $  5002271673  $  9038780443     $       58176  $   101858168  $    80515865  $    76916363  $       0      $       0      $      97      $           0  $              $0.553423      $58176.000000      $6.499424 $5.137602 $4.907923 $     1.27  $     1.05  
60521 $  4010   $  3361573793  $  9110290300     $    43747896  $   247884453  $   214826143  $    38706975  $      44      $       0      $      97      $           0  $              $0.368986      $43747896.000000      $15.832939 $13.721431 $2.472302 $     1.15  $     5.55  
60519 $  4011   $  4885652598  $  9040978302     $       55601  $    96549841  $    77258900  $    73652087  $       0      $       0      $      97      $           0  $              $0.540390      $55601.000000      $6.166856 $4.934700 $4.704325 $     1.25  $     1.05  
60521 $  5012   $  3219315595  $  9108902336     $    46985110  $   258251765  $   225835044  $    37016754  $      44      $       0      $      97      $           0  $              $0.353425      $46985112.000000      $16.495123 $14.424593 $2.364343 $     1.14  $     6.10  
60519 $  5013   $  4966855142  $  9046295374     $       59082  $   101278500  $    80059798  $    76580832  $       0      $       0      $      97      $           0  $              $0.549049      $59082.000000      $6.468886 $5.113600 $4.891390 $     1.27  $     1.05  
60521 $  6014   $  3273269873  $  9107966657     $    44823587  $   248499265  $   217030473  $    37011198  $      44      $       0      $      97      $           0  $              $0.359385      $44823588.000000      $15.872209 $13.862226 $2.363989 $     1.14  $     5.86  
60519 $  6015   $  5000406756  $  9039121678     $       58859  $   101843408  $    80485206  $    76888339  $       0      $       0      $      97      $           0  $              $0.553196      $58859.000000      $6.504968 $5.140772 $4.911031 $     1.27  $     1.05  
60521 $  7016   $  3314930542  $  9109352257     $    42829504  $   239970091  $   209323686  $    36991148  $      44      $       0      $      97      $           0  $              $0.363904      $42829504.000000      $15.327432 $13.369976 $2.362708 $     1.15  $     5.66  
60519 $  7017   $  5000075446  $  9041029731     $       58405  $   101826422  $    80481601  $    76887974  $       0      $       0      $      97      $           0  $              $0.553043      $58405.000000      $6.503883 $5.140542 $4.911008 $     1.27  $     1.05  
60521 $  7444   $  1433763585  $  3977388627     $    21073572  $   118365852  $   103055055  $    16914689  $      17      $       0      $      97      $           0  $              $0.360479      $21073572.000000      $17.699568 $15.410102 $2.529299 $     1.15  $     6.09  
60519 $  7445   $  1478769793  $  2696940748     $      143597  $    29637775  $    23253586  $    22229244  $       0      $       0      $      97      $           0  $              $0.548314      $143597.000000      $4.431817 $3.477172 $3.323999 $     1.27  $     1.05  
60521 $  8142   $  2550932159  $  6797098138     $    33956334  $   198429032  $   172898213  $    29164906  $      22      $       0      $      97      $           0  $              $0.375297      $33956336.000000      $18.194065 $15.853131 $2.674146 $     1.15  $     5.93  
60521 $  8144   $     2109487  $     5345225     $          41  $       17936  $       17797  $       17180  $       0      $       0      $      97      $           0  $              $0.394649      $41.000000      $0.573952 $0.569504 $0.549760 $     1.01  $     1.04  
60521 $  9147   $  3323745181  $  9114202279     $    42544305  $   240034121  $   209386191  $    37057163  $      42      $       0      $      97      $           0  $              $0.364678      $42544304.000000      $15.316236 $13.360635 $2.364565 $     1.15  $     5.65  
60539 $  1003   $  4004045027  $  7313999089     $      145408  $    80942986  $    63850252  $    60996919  $       0      $       0      $      97      $           0  $              $0.547450      $145408.000000      $5.164856 $4.074193 $3.892127 $     1.27  $     1.05  
60521 $ 10149   $  3330195339  $  9100970930     $    45396826  $   254879123  $   221143303  $    38749765  $      44      $       0      $      97      $           0  $              $0.365916      $45396824.000000      $16.279705 $14.124921 $2.475035 $     1.15  $     5.71  
60539 $  2005   $  4990445096  $  9033315592     $       59436  $   101627134  $    80258791  $    76665784  $       0      $       0      $      97      $           0  $              $0.552449      $59436.000000      $6.491154 $5.126310 $4.896817 $     1.27  $     1.05  
60521 $ 11152   $  3240156036  $  9091451455     $    47361383  $   260265240  $   227666355  $    37101512  $      44      $       0      $      97      $           0  $              $0.356396      $47361384.000000      $16.607155 $14.527065 $2.367395 $     1.14  $     6.14  
60539 $  3008   $  4979675086  $  9033162434     $       57330  $   100882164  $    79860163  $    76266755  $       0      $       0      $      97      $           0  $              $0.551266      $57330.000000      $6.437147 $5.095763 $4.866473 $     1.26  $     1.05  
60539 $  3015   $    32074531  $    46871632     $        3769  $      849698  $      607902  $      598704  $       0      $       0      $      97      $           0  $              $0.684306      $3769.000000      $7.768667 $5.557961 $5.473865 $     1.40  $     1.02  
