PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61920 $  1004   $  3589972150  $  7799610866     $      111518  $    39800493  $    36225198  $    30107003  $      41      $       0      $      97      $           0  $              $0.460276      $111518.000000      $2.537083 $2.309176 $1.919172 $     1.10  $     1.20  
61918 $  1004   $  3314585664  $  8772226249     $    40551976  $   232477356  $   193114778  $    34070327  $       0      $       0      $      97      $           0  $              $0.377850      $40551976.000000      $14.819274 $12.310105 $2.171814 $     1.20  $     5.67  
61920 $  2006   $  4208741359  $  9062871823     $       34779  $    47071096  $    42846788  $    35403394  $      43      $       0      $      97      $           0  $              $0.464394      $34779.000000      $3.006537 $2.736721 $2.261295 $     1.10  $     1.21  
61918 $  2007   $  3417264235  $  9135610769     $    42457248  $   244851606  $   204191865  $    37782215  $       0      $       0      $      97      $           0  $              $0.374060      $42457248.000000      $15.623631 $13.029192 $2.410829 $     1.20  $     5.40  
61920 $  3008   $  4163627378  $  9065848881     $       33379  $    45285806  $    41409374  $    34546008  $      43      $       0      $      97      $           0  $              $0.459265      $33379.000000      $2.892507 $2.644910 $2.206532 $     1.09  $     1.20  
61918 $  3009   $  3403477079  $  9133649812     $    48235732  $   275441313  $   228892224  $    39881580  $       0      $       0      $      97      $           0  $              $0.372631      $48235732.000000      $17.593058 $14.619863 $2.547327 $     1.20  $     5.74  
61920 $  4010   $  4219128189  $  9061468744     $       34900  $    47085571  $    42814160  $    35471936  $      43      $       0      $      97      $           0  $              $0.465612      $34900.000000      $3.007462 $2.734637 $2.265672 $     1.10  $     1.21  
61918 $  4011   $  3442775250  $  9134739324     $    41710117  $   241875402  $   201502368  $    37962061  $       0      $       0      $      97      $           0  $              $0.376888      $41710116.000000      $15.449128 $12.870411 $2.424722 $     1.20  $     5.31  
61920 $  5012   $  4186652027  $  9061015360     $       33753  $    45935561  $    42107665  $    34887860  $      43      $       0      $      97      $           0  $              $0.462051      $33753.000000      $2.934008 $2.689512 $2.228366 $     1.09  $     1.21  
61918 $  5013   $  3383929914  $  9134589850     $    48465268  $   275779261  $   229490890  $    39516766  $       0      $       0      $      97      $           0  $              $0.370452      $48465268.000000      $17.614643 $14.658101 $2.524025 $     1.20  $     5.81  
61920 $  6014   $  4178632849  $  9067272898     $       33406  $    46037711  $    41847500  $    34888538  $      43      $       0      $      97      $           0  $              $0.460848      $33406.000000      $2.940532 $2.672894 $2.228410 $     1.10  $     1.20  
61918 $  6015   $  3509939703  $  9134874338     $    41579594  $   244488204  $   202453167  $    39503515  $       0      $       0      $      97      $           0  $              $0.384235      $41579592.000000      $15.616014 $12.931141 $2.523179 $     1.21  $     5.12  
61920 $  7016   $  4221672406  $  9060645877     $       34895  $    47086093  $    42812039  $    35490990  $      43      $       0      $      97      $           0  $              $0.465935      $34895.000000      $3.007495 $2.734502 $2.266890 $     1.10  $     1.21  
61918 $  7017   $  3329628462  $  9133796408     $    48450125  $   272497097  $   227843638  $    38152947  $       0      $       0      $      97      $           0  $              $0.364539      $48450124.000000      $17.405005 $14.552887 $2.436915 $     1.20  $     5.97  
61918 $  7957   $  3235517666  $  8629424276     $    41409863  $   239364131  $   199302860  $    36380974  $       0      $       0      $      97      $           0  $              $0.374940      $41409864.000000      $16.297132 $13.569556 $2.477003 $     1.20  $     5.48  
61920 $  7956   $  3576177463  $  7715649688     $      109923  $    39537225  $    35996002  $    29827678  $      39      $       0      $      97      $           0  $              $0.463497      $109923.000000      $2.691896 $2.450792 $2.030821 $     1.10  $     1.21  
61918 $  8103   $   521129822  $  1371855157     $     6750504  $    39761726  $    33082584  $     5910495  $       0      $       0      $      97      $           0  $              $0.379872      $6750504.000000      $17.429798 $14.501955 $2.590902 $     1.20  $     5.60  
61918 $  8105   $      577859  $     1419344     $           0  $           2  $          16  $           0  $       0      $       0      $      97      $           0  $              $0.407131      $0.000000      $0.000064 $0.000512 $0.000000 $     0.12  $      inf  
61918 $  9108   $  2964541269  $  7777161728     $    37479095  $   217605605  $   180305844  $    33558808  $      40      $       0      $      97      $           0  $              $0.381186      $37479096.000000      $13.885103 $11.505058 $2.141340 $     1.21  $     5.37  
61938 $  1002   $  3621231183  $  7878328683     $       33754  $    40081802  $    36534175  $    30352873  $       0      $       0      $      97      $           0  $              $0.459645      $33754.000000      $2.560115 $2.333520 $1.938706 $     1.10  $     1.20  
61938 $  2005   $  4127405240  $  8839648265     $       38700  $    45662618  $    41716007  $    34503015  $      40      $       0      $      97      $           0  $              $0.466920      $38700.000000      $2.913666 $2.661839 $2.201588 $     1.09  $     1.21  
61918 $ 10111   $  2858002055  $  7691095797     $    38073156  $   216056190  $   180288190  $    30948497  $       0      $       0      $      97      $           0  $              $0.371599      $38073156.000000      $13.786238 $11.503933 $1.974779 $     1.20  $     5.83  
61938 $  3007   $  4167990135  $  9061228520     $       33424  $    45722147  $    41696563  $    34756479  $      43      $       0      $      97      $           0  $              $0.459981      $33424.000000      $2.920377 $2.663254 $2.219975 $     1.10  $     1.20  
61918 $ 11114   $  3426073405  $  9133331461     $    42016584  $   242865372  $   202495832  $    37760707  $       0      $       0      $      97      $           0  $              $0.375118      $42016584.000000      $15.496893 $12.920971 $2.409457 $     1.20  $     5.36  
61938 $  3095   $   365898829  $   788656410     $        3673  $     4026814  $     3678967  $     3054636  $       3      $       0      $      97      $           0  $              $0.463952      $3673.000000      $2.928592 $2.675612 $2.221554 $     1.09  $     1.20  
61918 $ 11202   $   270157024  $   759429359     $     6970485  $    37800984  $    31147286  $     4058639  $       0      $       0      $      97      $           0  $              $0.355737      $6970485.000000      $27.491625 $22.652571 $2.951737 $     1.21  $     7.67  
