PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62973 $  1004   $  3593394097  $  7791507308     $      105537  $    39907492  $    36330517  $    30155436  $      48      $       0      $      97      $           0  $              $0.461194      $105537.000000      $2.543904 $2.315889 $1.922259 $     1.10  $     1.20  
62971 $  1004   $ 16945655902  $  8859458155     $     2772786  $   368784901  $   335811387  $    65438558  $       0      $       0      $      97      $           0  $              $1.912719      $2772786.000000      $23.508200 $21.406303 $4.171382 $     1.10  $     5.13  
62973 $  2007   $  4211110035  $  9040158670     $       38556  $    47154862  $    42927957  $    35466836  $      51      $       0      $      97      $           0  $              $0.465823      $38556.000000      $3.008885 $2.739172 $2.263088 $     1.10  $     1.21  
62971 $  2007   $ 17652873127  $  9120581248     $     2891585  $   385360948  $   350613514  $    69393449  $       0      $       0      $      97      $           0  $              $1.935499      $2891585.000000      $24.589333 $22.372149 $4.427897 $     1.10  $     5.05  
62973 $  3009   $  4162531047  $  9046616921     $       38923  $    45352676  $    41454206  $    34600066  $      51      $       0      $      97      $           0  $              $0.460120      $38923.000000      $2.896778 $2.647774 $2.209984 $     1.09  $     1.20  
62971 $  3009   $ 17658485175  $  9121370533     $     2891528  $   385467179  $   350723471  $    69322932  $       0      $       0      $      97      $           0  $              $1.935946      $2891528.000000      $24.620657 $22.401499 $4.427812 $     1.10  $     5.06  
62973 $  4011   $  4212319864  $  9040015799     $       38330  $    47150193  $    42911567  $    35477057  $      51      $       0      $      97      $           0  $              $0.465964      $38330.000000      $3.011589 $2.740859 $2.266000 $     1.10  $     1.21  
62971 $  4011   $ 17657291605  $  9120954214     $     2891786  $   385440594  $   350635728  $    69400774  $       0      $       0      $      97      $           0  $              $1.935904      $2891786.000000      $24.618961 $22.395893 $4.432784 $     1.10  $     5.05  
62973 $  5013   $  4194888596  $  9039099102     $       38613  $    46273391  $    42377697  $    35063198  $      51      $       0      $      97      $           0  $              $0.464083      $38613.000000      $2.955586 $2.706759 $2.239566 $     1.09  $     1.21  
62971 $  5013   $ 17589446719  $  9120329133     $     2881333  $   383843833  $   349262659  $    69314954  $       0      $       0      $      97      $           0  $              $1.928598      $2881333.000000      $24.516972 $22.308193 $4.427302 $     1.10  $     5.04  
62973 $  6015   $  4167755475  $  9033206962     $       39752  $    45865773  $    41765091  $    34812253  $      50      $       0      $      97      $           0  $              $0.461382      $39752.000000      $2.929550 $2.667631 $2.223537 $     1.10  $     1.20  
