PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60710 $  1004   $ 19699176806  $  8773085374     $     6509769  $   319584339  $   389639940  $    16888566  $      45      $       0      $      97      $           0  $              $2.245410      $6509769.000000      $20.371910 $24.837606 $1.076562 $     0.82  $    23.07  
60708 $  1004   $  4040337767  $  7310262855     $      133537  $    81720823  $    64563348  $    61416340  $       0      $       0      $      97      $           0  $              $0.552694      $133537.000000      $5.209296 $4.115592 $3.914986 $     1.27  $     1.05  
60710 $  2007   $ 20322917453  $  9095132683     $     6584401  $   329002681  $   396324290  $    18535799  $      49      $       0      $      97      $           0  $              $2.234483      $6584401.000000      $20.993193 $25.288887 $1.182743 $     0.83  $    21.38  
60708 $  2007   $  5030702295  $  9057940577     $       58208  $   102668638  $    81254570  $    77303028  $       0      $       0      $      97      $           0  $              $0.555391      $58208.000000      $6.551139 $5.184738 $4.932596 $     1.26  $     1.05  
60710 $  3010   $ 20245934719  $  9102295449     $     6419482  $   327429146  $   392548159  $    19937916  $      49      $       0      $      97      $           0  $              $2.224267      $6419482.000000      $20.892788 $25.047939 $1.272210 $     0.83  $    19.69  
60708 $  3010   $  5032142425  $  9058449046     $       58675  $   102675265  $    81257670  $    77279825  $       0      $       0      $      97      $           0  $              $0.555519      $58675.000000      $6.551562 $5.184936 $4.931116 $     1.26  $     1.05  
60710 $  4012   $ 20187821508  $  9096713265     $     6611308  $   326860002  $   394822866  $    18974687  $      49      $       0      $      97      $           0  $              $2.219244      $6611308.000000      $20.877285 $25.218227 $1.211956 $     0.83  $    20.81  
60708 $  4012   $  5030282432  $  9058381250     $       58636  $   102657622  $    81226295  $    77271114  $       0      $       0      $      97      $           0  $              $0.555318      $58636.000000      $6.556974 $5.188107 $4.935480 $     1.26  $     1.05  
60710 $  5014   $ 20299921680  $  9095049677     $     6597395  $   328498827  $   396419216  $    18335521  $      49      $       0      $      97      $           0  $              $2.231975      $6597395.000000      $20.981960 $25.320189 $1.171131 $     0.83  $    21.62  
60708 $  5014   $  5030497141  $  9057384299     $       58528  $   102639804  $    81233259  $    77295895  $       0      $       0      $      97      $           0  $              $0.555403      $58528.000000      $6.555836 $5.188551 $4.937063 $     1.26  $     1.05  
60710 $  6016   $ 20236469082  $  9104096970     $     6397452  $   327348867  $   392606221  $    20332205  $      49      $       0      $      97      $           0  $              $2.222787      $6397452.000000      $20.908510 $25.076645 $1.298664 $     0.83  $    19.31  
60708 $  6016   $  5032407638  $  9058810869     $       58846  $   102693515  $    81268265  $    77276697  $       0      $       0      $      97      $           0  $              $0.555526      $58846.000000      $6.559266 $5.190787 $4.935837 $     1.26  $     1.05  
60710 $  7018   $ 20261294927  $  9098360566     $     6647471  $   328135684  $   395562623  $    18564058  $      49      $       0      $      97      $           0  $              $2.226917      $6647471.000000      $20.958767 $25.265476 $1.185728 $     0.83  $    21.31  
60708 $  7018   $  5031235177  $  9060304149     $       59704  $   102672766  $    81248765  $    77294327  $       0      $       0      $      97      $           0  $              $0.555305      $59704.000000      $6.557941 $5.189542 $4.936963 $     1.26  $     1.05  
60710 $  7290   $  5832539154  $  2526829017     $     1750594  $    94240281  $   113447608  $     3946203  $      12      $       0      $      97      $           0  $              $2.308244      $1750594.000000      $22.174183 $26.693554 $0.928518 $     0.83  $    28.75  
60708 $  7290   $   936614270  $  1649392527     $      130787  $    19026485  $    14767222  $    14056120  $       0      $       0      $      97      $           0  $              $0.567854      $130787.000000      $4.476820 $3.474640 $3.307322 $     1.29  $     1.05  
60710 $  8105   $ 18873454567  $  7767916519     $     6187635  $   305742779  $   375172604  $      688703  $      30      $       0      $      97      $           0  $              $2.429667      $6187635.000000      $24.009249 $29.461407 $0.054082 $     0.81  $   544.75  
60710 $  8107   $    13809696  $     5535597     $        3173  $      224570  $      235020  $         226  $       0      $       0      $      97      $           0  $              $2.494708      $3173.000000      $7.186240 $7.520640 $0.007232 $     0.96  $  1039.91  
60710 $  9110   $ 20671969025  $  9106437187     $     6525043  $   334164704  $   400762855  $    16762184  $      47      $       0      $      97      $           0  $              $2.270039      $6525043.000000      $21.322573 $25.572105 $1.069571 $     0.83  $    23.91  
