PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63022 $  1003   $ 19891759211  $  8764159819     $     6747267  $   322727034  $   391183309  $    22010568  $      54      $       0      $      97      $           0  $              $2.269671      $6747267.000000      $20.592752 $24.960848 $1.404463 $     0.83  $    17.77  
63020 $  1003   $ 16980815756  $  8841557711     $     2540621  $   370153848  $   336317211  $    70826246  $       0      $       0      $      97      $           0  $              $1.920568      $2540621.000000      $23.618990 $21.459923 $4.519322 $     1.10  $     4.75  
63022 $  2006   $ 20640005749  $  9092684584     $     6797281  $   334231103  $   402161477  $    23831898  $      56      $       0      $      97      $           0  $              $2.269957      $6797281.000000      $21.326811 $25.661350 $1.520679 $     0.83  $    16.87  
63020 $  2006   $ 17762842562  $  9124607348     $     2677082  $   388307548  $   352690220  $    74058316  $       0      $       0      $      97      $           0  $              $1.946697      $2677082.000000      $24.777351 $22.504660 $4.725556 $     1.10  $     4.76  
63022 $  3008   $ 20572970865  $  9092958111     $     6742031  $   332782731  $   399722351  $    24719140  $      56      $       0      $      97      $           0  $              $2.262517      $6742031.000000      $21.255583 $25.531168 $1.578867 $     0.83  $    16.17  
63020 $  3008   $ 17756555711  $  9124458215     $     2670977  $   388228024  $   352511818  $    74478663  $       0      $       0      $      97      $           0  $              $1.946039      $2670977.000000      $24.797001 $22.515724 $4.757120 $     1.10  $     4.73  
63022 $  4010   $ 20829488296  $  9099758294     $     6794921  $   337279340  $   405334440  $    23101406  $      56      $       0      $      97      $           0  $              $2.289016      $6794921.000000      $21.542791 $25.889624 $1.475539 $     0.83  $    17.55  
63020 $  4010   $ 17705425104  $  9124876724     $     2657468  $   386931409  $   351473646  $    74195563  $       0      $       0      $      97      $           0  $              $1.940347      $2657468.000000      $24.714182 $22.449413 $4.739038 $     1.10  $     4.74  
63022 $  5012   $ 20663712805  $  9093945748     $     6903788  $   334669646  $   403930753  $    23073551  $      56      $       0      $      97      $           0  $              $2.272250      $6903788.000000      $21.376104 $25.799969 $1.473760 $     0.83  $    17.51  
63020 $  5012   $ 17768587778  $  9125376589     $     2667213  $   388356629  $   352763910  $    73927532  $       0      $       0      $      97      $           0  $              $1.947162      $2667213.000000      $24.805214 $22.531826 $4.721919 $     1.10  $     4.77  
63022 $  6014   $ 20729178724  $  9093479754     $     6854771  $   335782957  $   404604815  $    23200770  $      56      $       0      $      97      $           0  $              $2.279565      $6854771.000000      $21.447214 $25.843021 $1.481886 $     0.83  $    17.44  
