PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58370 $  1003   $  4038440115  $  8773455155     $    32731319  $   229518776  $   170000691  $    39758916  $      47      $       0      $      97      $           0  $              $0.460302      $32731320.000000      $14.645267 $10.847502 $2.536960 $     1.35  $     4.28  
58368 $  1003   $ 14493050542  $  8743588725     $       99309  $  1826114641  $     6481311  $     5118453  $       0      $       0      $      97      $           0  $              $1.657563      $99309.000000      $116.521774 $0.413563 $0.326601 $   281.75  $     1.27  
58370 $  2006   $  4293944282  $  9145487863     $    39308765  $   274737366  $   203316584  $    47146808  $      49      $       0      $      97      $           0  $              $0.469515      $39308764.000000      $17.530600 $12.973341 $3.008371 $     1.35  $     4.31  
58368 $  2006   $ 15102445308  $  9095400202     $       85703  $  1903524698  $     6373727  $     5232866  $       0      $       0      $      97      $           0  $              $1.660449      $85703.000000      $121.461197 $0.406698 $0.333902 $   298.65  $     1.22  
58370 $  3009   $  4293449744  $  9146187172     $    39318082  $   274720743  $   203302629  $    47130107  $      49      $       0      $      97      $           0  $              $0.469425      $39318080.000000      $17.529539 $12.972450 $3.007305 $     1.35  $     4.31  
58368 $  3009   $ 15114508451  $  9097589426     $       86372  $  1905316440  $     6376072  $     5236158  $       0      $       0      $      97      $           0  $              $1.661375      $86372.000000      $121.575531 $0.406848 $0.334112 $   298.82  $     1.22  
58370 $  4011   $  4296185133  $  9144113165     $    39333126  $   274762905  $   203345234  $    47174803  $      49      $       0      $      97      $           0  $              $0.469831      $39333128.000000      $17.549726 $12.988118 $3.013161 $     1.35  $     4.31  
58368 $  4012   $ 15161161930  $  9095270893     $       84431  $  1912878474  $     6362500  $     5246914  $       0      $       0      $      97      $           0  $              $1.666928      $84431.000000      $122.058044 $0.405982 $0.334798 $   300.65  $     1.21  
58370 $  5013   $  4301569281  $  9146375199     $    39313106  $   274950441  $   203410625  $    47229023  $      49      $       0      $      97      $           0  $              $0.470303      $39313104.000000      $17.561705 $12.992295 $3.016624 $     1.35  $     4.31  
58368 $  5014   $ 15223643942  $  9103231748     $       82659  $  1925757678  $     6040121  $     5026531  $       0      $       0      $      97      $           0  $              $1.672334      $82659.000000      $123.002487 $0.385796 $0.321056 $   318.83  $     1.20  
58370 $  6015   $  4298701682  $  9152143765     $    39290819  $   274834387  $   203351022  $    47189122  $      49      $       0      $      97      $           0  $              $0.469693      $39290820.000000      $17.554293 $12.988488 $3.014076 $     1.35  $     4.31  
58368 $  6016   $ 15160090328  $  9102288391     $       83554  $  1912284915  $     6378198  $     5247290  $       0      $       0      $      97      $           0  $              $1.665525      $83554.000000      $122.141953 $0.407390 $0.335156 $   299.82  $     1.22  
58370 $  7017   $  4296687791  $  9152402653     $    39274046  $   274794932  $   203340947  $    47166206  $      49      $       0      $      97      $           0  $              $0.469460      $39274048.000000      $17.551773 $12.987844 $3.012612 $     1.35  $     4.31  
58368 $  7018   $ 15130475390  $  9102067531     $       83836  $  1907607758  $     6373820  $     5244936  $       0      $       0      $      97      $           0  $              $1.662312      $83836.000000      $121.843216 $0.407110 $0.335006 $   299.29  $     1.22  
58370 $  8019   $  4301584188  $  9153422045     $    39305307  $   274997498  $   203410199  $    47232693  $      49      $       0      $      97      $           0  $              $0.469943      $39305308.000000      $17.564711 $12.992268 $3.016859 $     1.35  $     4.31  
58368 $  8020   $ 15118162899  $  9103478983     $       83423  $  1905616255  $     6369529  $     5236902  $       0      $       0      $      97      $           0  $              $1.660702      $83423.000000      $121.716011 $0.406836 $0.334493 $   299.18  $     1.22  
58368 $  8547   $  8097529538  $  4853599001     $       44573  $  1020748587  $     3479401  $     2800133  $       0      $       0      $      97      $           0  $              $1.668356      $44573.000000      $123.961884 $0.422546 $0.340054 $   293.37  $     1.24  
58370 $  8546   $  1834767478  $  3877171754     $    19754150  $   133311753  $    98913652  $    20970317  $      24      $       0      $      97      $           0  $              $0.473223      $19754150.000000      $16.189663 $12.012283 $2.546680 $     1.35  $     4.72  
58368 $  9122   $  9177777168  $  5465663155     $       48410  $  1160038956  $     3747280  $     2568738  $       0      $       0      $      97      $           0  $              $1.679170      $48410.000000      $129.117371 $0.417089 $0.285912 $   309.57  $     1.46  
58368 $  9124   $     2429115  $     1438320     $          14  $      311652  $         695  $         591  $       0      $       0      $      97      $           0  $              $1.688856      $14.000000      $9.972864 $0.022240 $0.018912 $   448.42  $     1.18  
58368 $ 10127   $ 15056914236  $  9023943585     $       84102  $  1902884659  $     6044988  $     4994931  $      48      $       0      $      97      $           0  $              $1.668551      $84102.000000      $121.420357 $0.385722 $0.318719 $   314.79  $     1.21  
58388 $  1003   $  4079906727  $  8872541555     $    32751440  $   230667207  $   178910607  $    40211832  $       0      $       0      $      97      $           0  $              $0.459835      $32751440.000000      $14.718545 $11.416031 $2.565860 $     1.29  $     4.45  
