PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58549 $  1003   $ 17363843414  $  8834112578     $     2907051  $   374988986  $   344443333  $    48510533  $      53      $       0      $      97      $           0  $              $1.965545      $2907051.000000      $23.927513 $21.978437 $3.095388 $     1.09  $     7.10  
58547 $  1003   $ 14496545692  $  8721942799     $      243109  $  1826116651  $     7806139  $     5147483  $       0      $       0      $      97      $           0  $              $1.662078      $243109.000000      $116.521896 $0.498099 $0.328454 $   233.93  $     1.52  
58549 $  2006   $ 18199806303  $  9130130045     $     3046872  $   394016292  $   361833543  $    50392508  $      55      $       0      $      97      $           0  $              $1.993379      $3046872.000000      $25.141617 $23.088081 $3.215474 $     1.09  $     7.18  
58547 $  2006   $ 15152540493  $  9083486353     $      217020  $  1909918253  $     7683140  $     5280303  $       0      $       0      $      97      $           0  $              $1.668141      $217020.000000      $121.869156 $0.490250 $0.336929 $   248.59  $     1.46  
58549 $  3009   $ 18194267458  $  9128860086     $     3034026  $   393845495  $   361734669  $    50392171  $      55      $       0      $      97      $           0  $              $1.993049      $3034026.000000      $25.130720 $23.081772 $3.215453 $     1.09  $     7.18  
58547 $  3009   $ 15147340353  $  9081917658     $      214866  $  1909188160  $     7673535  $     5279640  $       0      $       0      $      97      $           0  $              $1.667857      $214866.000000      $121.822571 $0.489637 $0.336886 $   248.80  $     1.45  
58549 $  4011   $ 18133680986  $  9127854654     $     3029334  $   392559576  $   360469197  $    50528571  $      55      $       0      $      97      $           0  $              $1.986631      $3029334.000000      $25.073666 $23.023979 $3.227374 $     1.09  $     7.13  
58547 $  4011   $ 15146045866  $  9080997846     $      214750  $  1909020450  $     7667276  $     5280153  $       0      $       0      $      97      $           0  $              $1.667883      $214750.000000      $121.933441 $0.489726 $0.337255 $   248.98  $     1.45  
58549 $  5013   $ 18198387663  $  9127858116     $     3041948  $   393949445  $   361823832  $    50194149  $      55      $       0      $      97      $           0  $              $1.993719      $3041948.000000      $25.162439 $23.110504 $3.206013 $     1.09  $     7.21  
58547 $  5013   $ 15196564191  $  9087593890     $      218573  $  1920231874  $     7379148  $     5056930  $       0      $       0      $      97      $           0  $              $1.672232      $218573.000000      $122.649544 $0.471323 $0.322998 $   260.22  $     1.46  
58549 $  6015   $ 18197936894  $  9129544500     $     3038866  $   393966359  $   361800536  $    50367543  $      55      $       0      $      97      $           0  $              $1.993302      $3038866.000000      $25.163521 $23.109016 $3.217089 $     1.09  $     7.18  
58547 $  6015   $ 15150587205  $  9082605513     $      215240  $  1909625555  $     7681777  $     5282056  $       0      $       0      $      97      $           0  $              $1.668088      $215240.000000      $121.972092 $0.490652 $0.337377 $   248.59  $     1.45  
58549 $  7017   $ 18131038993  $  9127445532     $     3027058  $   392438005  $   360414613  $    50550780  $      55      $       0      $      97      $           0  $              $1.986431      $3027058.000000      $25.065901 $23.020494 $3.228792 $     1.09  $     7.13  
58547 $  7017   $ 15146139278  $  9080564751     $      215781  $  1909047142  $     7713109  $     5279399  $       0      $       0      $      97      $           0  $              $1.667973      $215781.000000      $121.935150 $0.492654 $0.337207 $   247.51  $     1.46  
58549 $  8019   $ 18194576640  $  9128352715     $     3046807  $   393914701  $   361739600  $    50351104  $      55      $       0      $      97      $           0  $              $1.993194      $3046807.000000      $25.160219 $23.105124 $3.216038 $     1.09  $     7.18  
58547 $  8019   $ 15148032450  $  9081232326     $      217694  $  1909312502  $     7688486  $     5279212  $       0      $       0      $      97      $           0  $              $1.668059      $217694.000000      $121.952095 $0.491081 $0.337195 $   248.33  $     1.46  
58549 $  9021   $ 18191662393  $  9128368523     $     3041570  $   393796027  $   361663941  $    50261083  $      55      $       0      $      97      $           0  $              $1.992871      $3041570.000000      $25.152641 $23.100292 $3.210289 $     1.09  $     7.20  
58547 $  9021   $ 15142468747  $  9081213801     $      214111  $  1908448849  $     7673565  $     5278872  $       0      $       0      $      97      $           0  $              $1.667450      $214111.000000      $121.896935 $0.490128 $0.337173 $   248.70  $     1.45  
58549 $ 10024   $ 18198264253  $  9130191936     $     3035827  $   393893751  $   361811434  $    50404075  $      55      $       0      $      97      $           0  $              $1.993196      $3035827.000000      $25.133799 $23.086672 $3.216212 $     1.09  $     7.18  
58547 $ 10024   $ 15148800556  $  9082977266     $      214319  $  1909372570  $     7671508  $     5279803  $       0      $       0      $      97      $           0  $              $1.667823      $214319.000000      $121.834343 $0.489508 $0.336897 $   248.89  $     1.45  
58549 $ 11027   $ 18134967309  $  9127651123     $     3034989  $   392544883  $   360493738  $    50334523  $      55      $       0      $      97      $           0  $              $1.986817      $3034989.000000      $25.047729 $23.002590 $3.211774 $     1.09  $     7.16  
