PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
53983 $  1004   $  3256855357  $  9233572143     $    10939859  $   405613605  $   402496276  $      920889  $      32      $       0      $      97      $           0  $              $0.352719      $10939859.000000      $25.855846 $25.657133 $0.058702 $     1.01  $   437.07  
53983 $  2007   $  3315423814  $  9449201808     $    11113158  $   418416431  $   415201337  $      338331  $      33      $       0      $      97      $           0  $              $0.350868      $11113158.000000      $26.698555 $26.493406 $0.021588 $     1.01  $  1227.20  
53983 $  3010   $  3302880209  $  9424276711     $    11073820  $   415695906  $   412146667  $      812186  $      32      $       0      $      97      $           0  $              $0.350465      $11073820.000000      $26.524963 $26.298491 $0.051824 $     1.01  $   507.45  
53983 $  4013   $  3326901287  $  9505022969     $    10931024  $   422034330  $   417128971  $     1928881  $      32      $       0      $      97      $           0  $              $0.350015      $10931024.000000      $26.929409 $26.616404 $0.123079 $     1.01  $   216.25  
53983 $  5016   $  3387333780  $  9668299343     $    10896884  $   430036823  $   424864853  $     2150696  $      33      $       0      $      97      $           0  $              $0.350355      $10896884.000000      $27.440037 $27.110022 $0.137233 $     1.01  $   197.55  
53983 $  6019   $  3311315903  $  9448720270     $    11252067  $   417009969  $   414857288  $      773968  $      33      $       0      $      97      $           0  $              $0.350451      $11252067.000000      $26.608812 $26.471451 $0.049386 $     1.01  $   536.01  
53983 $  7022   $  3300024748  $  9429621451     $    11553558  $   416362553  $   414881924  $      449956  $      32      $       0      $      97      $           0  $              $0.349964      $11553558.000000      $26.567501 $26.473024 $0.028711 $     1.00  $   922.05  
53983 $  8025   $  3426663166  $  9689104944     $    11428455  $   423944512  $   421867567  $     1283350  $      33      $       0      $      97      $           0  $              $0.353661      $11428455.000000      $27.051294 $26.918768 $0.081889 $     1.00  $   328.72  
53983 $  9028   $  3381794923  $  9639995976     $    11439106  $   426629384  $   423480818  $      302450  $      33      $       0      $      97      $           0  $              $0.350809      $11439106.000000      $27.222612 $27.021708 $0.019299 $     1.01  $  1400.17  
53983 $ 10031   $  3306453968  $  9413605537     $    10960760  $   417130795  $   414070393  $      371145  $      33      $       0      $      97      $           0  $              $0.351242      $10960760.000000      $26.616520 $26.421242 $0.023682 $     1.01  $  1115.66  
53983 $ 11034   $  3313310731  $  9437286835     $    10679760  $   417133513  $   412936644  $     1573038  $      33      $       0      $      97      $           0  $              $0.351087      $10679760.000000      $26.616693 $26.348898 $0.100373 $     1.01  $   262.51  
53983 $ 12037   $  3406634317  $  9712096436     $    10876564  $   432333580  $   427213358  $     2120666  $      33      $       0      $      97      $           0  $              $0.350762      $10876564.000000      $27.586588 $27.259874 $0.135317 $     1.01  $   201.45  
53983 $ 13040   $  3401589872  $  9689553431     $    10763725  $   430059952  $   425120315  $     2221349  $      33      $       0      $      97      $           0  $              $0.351057      $10763725.000000      $27.441513 $27.126322 $0.141741 $     1.01  $   191.38  
53983 $ 14043   $  3300651828  $  9420593729     $    11391571  $   416227174  $   414948220  $      343470  $      33      $       0      $      97      $           0  $              $0.350366      $11391571.000000      $26.558863 $26.477255 $0.021916 $     1.00  $  1208.11  
53983 $ 15046   $  3305772937  $  9445272486     $    11591842  $   416871887  $   415587231  $      340479  $      33      $       0      $      97      $           0  $              $0.349992      $11591842.000000      $26.600000 $26.518028 $0.021725 $     1.00  $  1220.60  
