PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54336 $  1003   $  5276452979  $  9145843765     $     6001534  $   234245513  $   155778705  $   151962734  $      35      $       0      $      97      $           0  $              $0.576924      $6001534.000000      $14.946873 $9.940017 $9.696526 $     1.50  $     1.03  
54336 $  2006   $  5506879978  $  9486611850     $     6513983  $   251716441  $   167972267  $   163944705  $      34      $       0      $      97      $           0  $              $0.580490      $6513983.000000      $16.061668 $10.718071 $10.461078 $     1.50  $     1.02  
54336 $  3010   $  5480142965  $  9487161607     $     6372266  $   247921224  $   165413820  $   161424981  $      34      $       0      $      97      $           0  $              $0.577638      $6372266.000000      $15.803742 $10.544308 $10.290038 $     1.50  $     1.02  
54336 $  4013   $  5513717053  $  9810208789     $     6391727  $   248644050  $   165896644  $   161934797  $      35      $       0      $      97      $           0  $              $0.562039      $6391727.000000      $15.865623 $10.585629 $10.332829 $     1.50  $     1.02  
54336 $  5017   $  5490072437  $  9414445886     $     6456812  $   250845125  $   167157618  $   163132040  $      36      $       0      $      97      $           0  $              $0.583154      $6456812.000000      $15.990128 $10.655465 $10.398854 $     1.50  $     1.02  
54336 $  6020   $  5520423779  $  9490280772     $     6512753  $   252354375  $   168208695  $   164166547  $      34      $       0      $      97      $           0  $              $0.581692      $6512753.000000      $16.102373 $10.733156 $10.475233 $     1.50  $     1.02  
54336 $  7024   $  5531387003  $  9492865924     $     6473717  $   252977979  $   168271025  $   164223360  $      34      $       0      $      97      $           0  $              $0.582689      $6473717.000000      $16.126087 $10.726439 $10.468421 $     1.50  $     1.02  
54336 $  8028   $  5555311736  $  9824523473     $     6557340  $   254034389  $   169336721  $   165317744  $      35      $       0      $      97      $           0  $              $0.565454      $6557340.000000      $16.193426 $10.794373 $10.538183 $     1.50  $     1.02  
54336 $  9031   $  5489101005  $  9419160234     $     6444354  $   250815625  $   167087562  $   163063051  $      36      $       0      $      97      $           0  $              $0.582759      $6444354.000000      $16.004189 $10.661619 $10.404821 $     1.50  $     1.02  
54336 $ 10034   $  5521239575  $  9498742434     $     6475690  $   252462316  $   168063782  $   164024650  $      34      $       0      $      97      $           0  $              $0.581260      $6475690.000000      $16.109261 $10.723910 $10.466180 $     1.50  $     1.02  
54336 $ 11037   $  5506851813  $  9498119443     $     6502332  $   251723712  $   167928564  $   163900887  $      34      $       0      $      97      $           0  $              $0.579783      $6502332.000000      $16.062132 $10.715282 $10.458282 $     1.50  $     1.02  
54336 $ 12040   $  5510474657  $  9835616150     $     6395498  $   248488945  $   165828960  $   161876061  $      35      $       0      $      97      $           0  $              $0.560257      $6395498.000000      $15.855725 $10.581309 $10.329081 $     1.50  $     1.02  
