PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55914 $  1003   $  3442731431  $  9130216575     $    12102109  $   378275215  $   374589527  $      805760  $      36      $       0      $      97      $           0  $              $0.377070      $12102109.000000      $24.137201 $23.902023 $0.051414 $     1.01  $   464.89  
55912 $  1003   $  4893444760  $  2294723352     $      717217  $      619372  $      651801  $        4819  $       0      $       0      $      97      $           0  $              $2.132477      $717217.000000      $0.039521 $0.041590 $0.000307 $     0.95  $   135.26  
55914 $  2005   $  3443685080  $  9200234459     $    12448207  $   388346962  $   384607104  $      117519  $      37      $       0      $      97      $           0  $              $0.374304      $12448207.000000      $24.804598 $24.565723 $0.007506 $     1.01  $  3272.72  
55912 $  2005   $  4853963692  $  2269940225     $      724958  $      614127  $      644244  $        2521  $       0      $       0      $      97      $           0  $              $2.138366      $724958.000000      $0.039226 $0.041149 $0.000161 $     0.95  $   255.55  
55914 $  3008   $  3409692817  $  9200745168     $    12113881  $   390308546  $   385392489  $      282657  $      37      $       0      $      97      $           0  $              $0.370589      $12113881.000000      $24.905031 $24.591345 $0.018036 $     1.01  $  1363.46  
55912 $  3008   $  4841488344  $  2269896444     $      728025  $      612206  $      641211  $        3127  $       0      $       0      $      97      $           0  $              $2.132912      $728025.000000      $0.039064 $0.040915 $0.000200 $     0.95  $   205.06  
55914 $  4011   $  3236356392  $  9204464768     $    10628265  $   408038029  $   397293529  $      210421  $      36      $       0      $      97      $           0  $              $0.351607      $10628265.000000      $26.036324 $25.350735 $0.013427 $     1.03  $  1888.09  
55912 $  4011   $  4831772490  $  2270056779     $      719204  $      611014  $      643088  $        3240  $       0      $       0      $      97      $           0  $              $2.128481      $719204.000000      $0.038988 $0.041035 $0.000207 $     0.95  $   198.48  
55914 $  5014   $  3304419168  $  9396070443     $    10840236  $   416544133  $   405676313  $      151420  $      36      $       0      $      97      $           0  $              $0.351681      $10840236.000000      $26.579086 $25.885628 $0.009662 $     1.03  $  2679.15  
55912 $  5014   $  4930424654  $  2316580202     $      714240  $      623974  $      659295  $        3548  $       0      $       0      $      97      $           0  $              $2.128320      $714240.000000      $0.039815 $0.042069 $0.000226 $     0.95  $   185.82  
55914 $  6017   $  3360946631  $  9203254621     $    11455401  $   394385754  $   387326162  $      785211  $      37      $       0      $      97      $           0  $              $0.365191      $11455401.000000      $25.165194 $24.714731 $0.050103 $     1.02  $   493.28  
55912 $  6017   $  4846806702  $  2268864240     $      715081  $      613748  $      650207  $        6251  $       0      $       0      $      97      $           0  $              $2.136226      $715081.000000      $0.039162 $0.041489 $0.000399 $     0.94  $   104.02  
55914 $  7020   $  3445854689  $  9205349520     $    12427618  $   388543237  $   384853298  $      171390  $      37      $       0      $      97      $           0  $              $0.374332      $12427618.000000      $24.792389 $24.556942 $0.010936 $     1.01  $  2245.48  
55912 $  7020   $  4843684682  $  2270286763     $      732260  $      612603  $      644324  $        2402  $       0      $       0      $      97      $           0  $              $2.133512      $732260.000000      $0.039089 $0.041113 $0.000153 $     0.95  $   268.24  
55914 $  8022   $  3445323809  $  9203879739     $    12437284  $   388433922  $   384792313  $      156785  $      37      $       0      $      97      $           0  $              $0.374334      $12437284.000000      $24.810150 $24.577553 $0.010014 $     1.01  $  2454.27  
55912 $  8022   $  4844088000  $  2270162976     $      727874  $      615444  $      649696  $        2550  $       0      $       0      $      97      $           0  $              $2.133806      $727874.000000      $0.039310 $0.041498 $0.000163 $     0.95  $   254.78  
55914 $  9025   $  3366422836  $  9401258570     $    11327940  $   409876340  $   400889533  $      377853  $      36      $       0      $      97      $           0  $              $0.358082      $11327940.000000      $26.153625 $25.580191 $0.024110 $     1.02  $  1060.97  
55912 $  9025   $  4939789218  $  2318351902     $      720843  $      623142  $      656103  $        3483  $       0      $       0      $      97      $           0  $              $2.130733      $720843.000000      $0.039762 $0.041865 $0.000222 $     0.95  $   188.37  
55914 $ 10028   $  3236510220  $  9204273202     $    10653371  $   407990092  $   397346353  $      147728  $      36      $       0      $      97      $           0  $              $0.351631      $10653371.000000      $26.033266 $25.354105 $0.009426 $     1.03  $  2689.72  
55912 $ 10028   $  4847234092  $  2269883818     $      501489  $      612448  $      645178  $        2244  $       0      $       0      $      97      $           0  $              $2.135455      $501489.000000      $0.039079 $0.041168 $0.000143 $     0.95  $   287.51  
55912 $ 11012   $  4943832007  $  2323498051     $      636179  $      626214  $      659035  $        3062  $       0      $       0      $      97      $           0  $              $2.127754      $636179.000000      $0.040729 $0.042864 $0.000199 $     0.95  $   215.23  
55914 $ 11012   $  3034751200  $  8618984274     $     9893685  $   379192703  $   369312530  $      129665  $      35      $       0      $      97      $           0  $              $0.352101      $9893685.000000      $24.662941 $24.020329 $0.008433 $     1.03  $  2848.21  
55912 $ 11108   $   455785358  $   213469668     $       21463  $       57962  $       61831  $          14  $       0      $       0      $      97      $           0  $              $2.135129      $21463.000000      $0.038641 $0.041221 $0.000009 $     0.94  $  4416.50  
55912 $ 11111   $     3633652  $     1713788     $           4  $         460  $         452  $           0  $       0      $       0      $      97      $           0  $              $2.120246      $4.000000      $0.009813 $0.009643 $0.000000 $     1.02  $      inf  
55912 $ 12114   $  4828743760  $  2264666910     $      694819  $      609971  $      645628  $        6306  $      36      $       0      $      97      $           0  $              $2.132209      $694819.000000      $0.038921 $0.041197 $0.000402 $     0.94  $   102.38  
55929 $  1003   $  3390369612  $  8991779044     $    11895296  $   372343225  $   368798710  $      862280  $       0      $       0      $      97      $           0  $              $0.377052      $11895296.000000      $23.758690 $23.532520 $0.055021 $     1.01  $   427.70  
55929 $  2006   $  3486574407  $  9314595638     $    12581831  $   393024776  $   389404699  $      165600  $      37      $       0      $      97      $           0  $              $0.374313      $12581831.000000      $25.078350 $24.847359 $0.010567 $     1.01  $  2351.48  
55912 $ 13117   $  4964516929  $  2327404036     $      693681  $      628638  $      660661  $        4964  $       0      $       0      $      97      $           0  $              $2.133070      $693681.000000      $0.040112 $0.042156 $0.000317 $     0.95  $   133.09  
55929 $  3009   $  3407542955  $  9199339767     $    12190736  $   389917158  $   386461541  $      333324  $      37      $       0      $      97      $           0  $              $0.370412      $12190736.000000      $24.880058 $24.659559 $0.021269 $     1.01  $  1159.42  
55912 $ 14120   $  4855323860  $  2269768538     $      703617  $      616230  $      649209  $        9407  $       0      $       0      $      97      $           0  $              $2.139127      $703617.000000      $0.039321 $0.041425 $0.000600 $     0.95  $    69.01  
55929 $  4012   $  3218431027  $  9204058437     $    11304921  $   407306578  $   404343526  $      211759  $      36      $       0      $      97      $           0  $              $0.349675      $11304921.000000      $25.989653 $25.800583 $0.013512 $     1.01  $  1909.45  
55912 $ 15123   $  4849439634  $  2270119909     $      721512  $      614316  $      645811  $        3294  $       0      $       0      $      97      $           0  $              $2.136204      $721512.000000      $0.039199 $0.041208 $0.000210 $     0.95  $   196.06  
55929 $  5015   $  3222882861  $  9203624409     $    11169300  $   407812141  $   404903747  $      177505  $      36      $       0      $      97      $           0  $              $0.350175      $11169300.000000      $26.021910 $25.836330 $0.011326 $     1.01  $  2281.08  
55912 $ 16126   $  4842625933  $  2269761208     $      706921  $      616446  $      648577  $        4545  $       0      $       0      $      97      $           0  $              $2.133540      $706921.000000      $0.039335 $0.041385 $0.000290 $     0.95  $   142.70  
55929 $  6018   $  3409087545  $  9434864287     $    12199417  $   402251509  $   398718354  $     2099493  $      37      $       0      $      97      $           0  $              $0.361329      $12199417.000000      $25.667095 $25.441650 $0.133966 $     1.01  $   189.91  
55912 $ 17128   $  4541994917  $  2184880146     $      685198  $     6830165  $     6483778  $     4151551  $       0      $       0      $      97      $           0  $              $2.078830      $685198.000000      $0.436258 $0.414134 $0.265169 $     1.05  $     1.56  
55929 $  7021   $  3412049194  $  9177454513     $    12287733  $   385310052  $   381158009  $     2274334  $      47      $       0      $      97      $           0  $              $0.371786      $12287733.000000      $24.586084 $24.321150 $0.145122 $     1.01  $   167.59  
55912 $ 18131   $ 11963680897  $  8868451249     $       89076  $    29548076  $    44465998  $     8287216  $       0      $       0      $      97      $           0  $              $1.349016      $89076.000000      $1.885421 $2.837312 $0.528795 $     0.66  $     5.37  
55929 $  8023   $  3416729667  $  9177991541     $    12253541  $   385720677  $   381656918  $     1495115  $      47      $       0      $      97      $           0  $              $0.372274      $12253541.000000      $24.636848 $24.377289 $0.095496 $     1.01  $   255.27  
55912 $ 19133   $ 12352624675  $  9174553441     $       80941  $    28415410  $    44439884  $     7968274  $       0      $       0      $      97      $           0  $              $1.346401      $80941.000000      $1.814956 $2.838476 $0.508952 $     0.64  $     5.58  
55929 $  9025   $  3269968527  $  9176471679     $    11173215  $   398656018  $   394575302  $     1882324  $      47      $       0      $      97      $           0  $              $0.356343      $11173215.000000      $25.463060 $25.202414 $0.120228 $     1.01  $   209.62  
55912 $ 20135   $ 12365820967  $  9173218677     $       80609  $    28414529  $    44480656  $     7976816  $       0      $       0      $      97      $           0  $              $1.348035      $80609.000000      $1.814900 $2.841080 $0.509497 $     0.64  $     5.58  
55929 $ 10027   $  3198375968  $  9175858036     $    10784187  $   405657347  $   401867963  $     1525125  $      46      $       0      $      97      $           0  $              $0.348564      $10784187.000000      $25.910250 $25.668213 $0.097413 $     1.01  $   263.50  
55912 $ 21137   $ 12367855799  $  9172099654     $       79625  $    28451376  $    44491248  $     7979724  $       0      $       0      $      97      $           0  $              $1.348421      $79625.000000      $1.817254 $2.841756 $0.509683 $     0.64  $     5.58  
55929 $ 11029   $  3200190294  $  9175841949     $    10888290  $   405686547  $   402090660  $     1231911  $      46      $       0      $      97      $           0  $              $0.348763      $10888290.000000      $25.912115 $25.682438 $0.078685 $     1.01  $   326.40  
55912 $ 22139   $ 12368491074  $  9172673762     $       80865  $    28437357  $    44495914  $     7980427  $       0      $       0      $      97      $           0  $              $1.348406      $80865.000000      $1.816358 $2.842054 $0.509728 $     0.64  $     5.58  
55912 $ 22244   $  1383632780  $  1018267066     $        8339  $     3193261  $     4995982  $      893930  $       0      $       0      $      97      $           0  $              $1.358811      $8339.000000      $1.946369 $3.045170 $0.544872 $     0.64  $     5.59  
55929 $ 11136   $    81545546  $   227665709     $      291511  $     8440477  $     8347754  $       20973  $       3      $       0      $      97      $           0  $              $0.358181      $291511.000000      $5.048510 $4.993049 $0.012545 $     1.01  $   398.02  
55912 $ 23220   $ 12627838963  $  9338165938     $       80463  $    29076019  $    45416945  $     8140597  $       0      $       0      $      97      $           0  $              $1.352283      $80463.000000      $1.906624 $2.978160 $0.533810 $     0.64  $     5.58  
55912 $ 23222   $     1597093  $     1172192     $           0  $        1317  $        1037  $        1023  $       0      $       0      $      97      $           0  $              $1.362484      $0.000000      $0.042144 $0.033184 $0.032736 $     1.27  $     1.01  
55912 $ 24225   $ 12406865948  $  9097076963     $       78224  $    28599916  $    44646913  $     8013852  $      47      $       0      $      97      $           0  $              $1.363830      $78224.000000      $1.824920 $2.848856 $0.511352 $     0.64  $     5.57  
