PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58814 $  1003   $  3380559807  $  8957052325     $    10732920  $   373955356  $   367141399  $     3284319  $      44      $       0      $      97      $           0  $              $0.377419      $10732920.000000      $23.861559 $23.426769 $0.209568 $     1.02  $   111.79  
58812 $  1003   $  6803159960  $  9144470646     $      123496  $    16265066  $    17779031  $      760710  $       0      $       0      $      97      $           0  $              $0.743964      $123496.000000      $1.037851 $1.134455 $0.048540 $     0.91  $    23.37  
58814 $  2005   $  3444346059  $  9190614022     $    11139836  $   391503663  $   383947107  $     3083611  $      45      $       0      $      97      $           0  $              $0.374768      $11139836.000000      $25.006222 $24.523567 $0.196957 $     1.02  $   124.51  
58812 $  2005   $  6853364434  $  9191533691     $      125432  $    16069603  $    17330074  $      668204  $       0      $       0      $      97      $           0  $              $0.745617      $125432.000000      $1.026402 $1.106911 $0.042680 $     0.93  $    25.94  
58814 $  3007   $  3412228635  $  9190354249     $    10922546  $   393036049  $   385928477  $     3316076  $      45      $       0      $      97      $           0  $              $0.371284      $10922546.000000      $25.104099 $24.650122 $0.211805 $     1.02  $   116.38  
58812 $  3007   $  6859873406  $  9191094547     $      123289  $    14831497  $    15215458  $      785009  $       0      $       0      $      97      $           0  $              $0.746361      $123289.000000      $0.947321 $0.971846 $0.050140 $     0.97  $    19.38  
58814 $  4010   $  3221555469  $  9184557394     $    10499583  $   406710408  $   403610960  $      758264  $      44      $       0      $      97      $           0  $              $0.350758      $10499583.000000      $25.951611 $25.753839 $0.048384 $     1.01  $   532.28  
58812 $  4010   $  6843622928  $  9183158140     $      120506  $    14755187  $    15092863  $      539517  $       0      $       0      $      97      $           0  $              $0.745236      $120506.000000      $0.941507 $0.963054 $0.034426 $     0.98  $    27.97  
58814 $  5012   $  3219586599  $  9180258646     $    10471770  $   406530671  $   403383578  $      869171  $      44      $       0      $      97      $           0  $              $0.350708      $10471770.000000      $25.966030 $25.765018 $0.055516 $     1.01  $   464.10  
58812 $  5013   $  6825840590  $  9178461483     $      117871  $    15281012  $    16011354  $     1152293  $       0      $       0      $      97      $           0  $              $0.743680      $117871.000000      $0.975060 $1.021662 $0.073526 $     0.95  $    13.90  
58814 $  6014   $  3339000752  $  9187721052     $    10710518  $   395658756  $   390603717  $     2333864  $      45      $       0      $      97      $           0  $              $0.363420      $10710518.000000      $25.271616 $24.948740 $0.149069 $     1.01  $   167.36  
58812 $  6015   $  6841951429  $  9185162258     $      120238  $    15105014  $    15739447  $     1062799  $       0      $       0      $      97      $           0  $              $0.744892      $120238.000000      $0.964791 $1.005314 $0.067883 $     0.96  $    14.81  
58814 $  7016   $  3446610334  $  9196218238     $    11135707  $   391759494  $   384429370  $     2919681  $      45      $       0      $      97      $           0  $              $0.374786      $11135707.000000      $25.022562 $24.554371 $0.186487 $     1.02  $   131.67  
58812 $  7017   $  6851007319  $  9192518065     $      125112  $    16293100  $    17731131  $      626294  $       0      $       0      $      97      $           0  $              $0.745281      $125112.000000      $1.040677 $1.132527 $0.040003 $     0.92  $    28.31  
58814 $  8018   $  3446911390  $  9196088481     $    11145865  $   391703057  $   384265330  $     3029880  $      45      $       0      $      97      $           0  $              $0.374824      $11145865.000000      $25.018959 $24.543894 $0.193525 $     1.02  $   126.83  
58812 $  8019   $  6839126374  $  9192555185     $      124781  $    16336586  $    17853102  $      719216  $       0      $       0      $      97      $           0  $              $0.743985      $124781.000000      $1.043455 $1.140318 $0.045938 $     0.92  $    24.82  
58814 $  9021   $  3299643886  $  9188835598     $    10710443  $   400523738  $   395949604  $     1698454  $      45      $       0      $      97      $           0  $              $0.359093      $10710443.000000      $25.556849 $25.264980 $0.108376 $     1.01  $   233.12  
58812 $  9022   $  6840810300  $  9186875316     $      122550  $    16076684  $    17432712  $      624176  $       0      $       0      $      97      $           0  $              $0.744629      $122550.000000      $1.025830 $1.112357 $0.039828 $     0.92  $    27.93  
58814 $ 10023   $  3220519077  $  9182636996     $    10475129  $   406666244  $   403513465  $      865192  $      44      $       0      $      97      $           0  $              $0.350718      $10475129.000000      $25.974689 $25.773315 $0.055262 $     1.01  $   466.39  
58812 $ 10024   $  6817606367  $  9181255393     $      120265  $    16008307  $    17323812  $      828530  $       0      $       0      $      97      $           0  $              $0.742557      $120265.000000      $1.022487 $1.106511 $0.052920 $     0.92  $    20.91  
58814 $ 10513   $  1594958860  $  4546923452     $     5218639  $   201279922  $   199800767  $      310894  $      20      $       0      $      97      $           0  $              $0.350778      $5218639.000000      $26.289621 $26.096426 $0.040607 $     1.01  $   642.67  
58812 $ 10514   $  2610992445  $  3622488230     $      110341  $     5445579  $     5655383  $      444603  $       0      $       0      $      97      $           0  $              $0.720773      $110341.000000      $0.711259 $0.738662 $0.058071 $     0.96  $    12.72  
58814 $ 11026   $  1707519455  $  4847711977     $     5533077  $   212017821  $   210597254  $      105055  $      17      $       0      $      97      $           0  $              $0.352232      $5533077.000000      $26.450567 $26.273340 $0.013106 $     1.01  $  2004.64  
58832 $  1003   $  6817975177  $  9150096628     $      129785  $    16684635  $    18458465  $       33506  $      30      $       0      $      65      $           0  $              $0.745126      $129785.000000      $1.064623 $1.177808 $0.002138 $     0.90  $   550.90  
