PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54631 $  1003   $  3075900877  $  8749621301     $    10085564  $   383936882  $   381370600  $     4399055  $      46      $       0      $      97      $           0  $              $0.351547      $10085564.000000      $24.498466 $24.334713 $0.280697 $     1.01  $    86.69  
54629 $  1003   $  3335705792  $  8870534294     $    11616589  $   366816627  $   362519954  $     4399449  $       0      $       0      $      97      $           0  $              $0.376043      $11616589.000000      $23.406046 $23.131882 $0.280723 $     1.01  $    82.40  
54631 $  2006   $  3204916664  $  9166896785     $    10677351  $   405639880  $   403006096  $     3898176  $      48      $       0      $      97      $           0  $              $0.349618      $10677351.000000      $25.883303 $25.715244 $0.248737 $     1.01  $   103.38  
54629 $  2006   $  3425971280  $  9166585041     $    12308610  $   387275036  $   382854898  $     3944316  $       0      $       0      $      97      $           0  $              $0.373746      $12308610.000000      $24.711468 $24.429426 $0.251681 $     1.01  $    97.06  
54631 $  3008   $  3200777109  $  9163280293     $    10610602  $   405288485  $   402487162  $     4103732  $      47      $       0      $      97      $           0  $              $0.349305      $10610602.000000      $25.886690 $25.707764 $0.262115 $     1.01  $    98.08  
54629 $  3008   $  3396712306  $  9165477748     $    12081920  $   389198014  $   385007401  $     4134151  $       0      $       0      $      97      $           0  $              $0.370598      $12081920.000000      $24.858955 $24.591291 $0.264058 $     1.01  $    93.13  
54631 $  4010   $  3195395788  $  9151582840     $    10555981  $   404698859  $   401825129  $     3633587  $      47      $       0      $      97      $           0  $              $0.349163      $10555981.000000      $25.849028 $25.665476 $0.232085 $     1.01  $   110.59  
54629 $  4010   $  3196958795  $  9166462346     $    10375019  $   404942653  $   401983924  $     4055203  $       0      $       0      $      97      $           0  $              $0.348767      $10375019.000000      $25.864601 $25.675621 $0.259015 $     1.01  $    99.13  
54631 $  5012   $  3196606036  $  9153746613     $    10601045  $   404788061  $   401973782  $     3625706  $      47      $       0      $      97      $           0  $              $0.349213      $10601045.000000      $25.854727 $25.674973 $0.231582 $     1.01  $   110.87  
54629 $  5012   $  3198169305  $  9166936016     $    10427276  $   405008372  $   402129777  $     3975707  $       0      $       0      $      97      $           0  $              $0.348881      $10427276.000000      $25.868799 $25.684937 $0.253937 $     1.01  $   101.15  
54631 $  6015   $  3191156032  $  9155718485     $    10544575  $   404230786  $   401281930  $     4033084  $      47      $       0      $      97      $           0  $              $0.348542      $10544575.000000      $25.793390 $25.605227 $0.257345 $     1.01  $    99.50  
54629 $  6015   $  3309098220  $  9166661877     $    11188668  $   395688120  $   392113467  $     4659027  $       0      $       0      $      97      $           0  $              $0.360993      $11188668.000000      $25.248295 $25.020201 $0.297286 $     1.01  $    84.16  
54631 $  7017   $  3196363282  $  9160661384     $    10408532  $   405049789  $   401942406  $     3866515  $      48      $       0      $      97      $           0  $              $0.348923      $10408532.000000      $25.871445 $25.672968 $0.246963 $     1.01  $   103.95  
54629 $  7017   $  3425955605  $  9165492687     $    12303665  $   387086353  $   382854308  $     4042887  $       0      $       0      $      97      $           0  $              $0.373789      $12303665.000000      $24.724079 $24.453768 $0.258228 $     1.01  $    94.70  
54631 $  8019   $  3195175463  $  9159047276     $    10369070  $   404954824  $   401798834  $     4009144  $      48      $       0      $      97      $           0  $              $0.348855      $10369070.000000      $25.865377 $25.663799 $0.256073 $     1.01  $   100.22  
54629 $  8019   $  3425405782  $  9164072335     $    12310494  $   386963650  $   382794129  $     3985257  $       0      $       0      $      97      $           0  $              $0.373786      $12310494.000000      $24.716242 $24.449924 $0.254547 $     1.01  $    96.05  
54631 $  9021   $  3227376648  $  9156240014     $    10423565  $   402651170  $   399680460  $     4532322  $      47      $       0      $      97      $           0  $              $0.352478      $10423565.000000      $25.718239 $25.528492 $0.289490 $     1.01  $    88.18  
