PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55375 $  1004   $  1471064062  $  4681533716     $    11233115  $    86167066  $    63191729  $     7119333  $      39      $       0      $      97      $           0  $              $0.314227      $11233115.000000      $5.492721 $4.028158 $0.453822 $     1.36  $     8.88  
55373 $  1004   $  3094288215  $  8910712592     $    10321960  $   386086950  $   383821412  $     3875465  $       0      $       0      $      97      $           0  $              $0.347255      $10321960.000000      $24.611120 $24.466703 $0.247042 $     1.01  $    99.04  
55375 $  2007   $   990018592  $  3916819004     $    14968310  $   107603961  $    83678342  $     7335658  $      39      $       0      $      97      $           0  $              $0.252761      $14968310.000000      $6.866055 $5.339396 $0.468078 $     1.29  $    11.41  
55373 $  2007   $  3238844185  $  9331609621     $    11098611  $   409333755  $   407252151  $     1870862  $       0      $       0      $      97      $           0  $              $0.347083      $11098611.000000      $26.119003 $25.986179 $0.119377 $     1.01  $   217.68  
55375 $  3009   $  1728792007  $  5508507955     $    13488642  $   105898869  $    78953890  $    10905199  $      41      $       0      $      97      $           0  $              $0.313840      $13488642.000000      $6.764000 $5.042963 $0.696540 $     1.34  $     7.24  
55373 $  3010   $  3224847207  $  9386120910     $    11103695  $   407773944  $   405508278  $     3004091  $       0      $       0      $      97      $           0  $              $0.343576      $11103695.000000      $26.019474 $25.874907 $0.191687 $     1.01  $   134.99  
55375 $  4011   $  1480894427  $  4904704175     $    13314669  $   103680127  $    79830903  $    10849896  $      40      $       0      $      97      $           0  $              $0.301933      $13314669.000000      $6.622283 $5.098980 $0.693007 $     1.30  $     7.36  
55373 $  4013   $  3203594473  $  9324332935     $    11071459  $   404969747  $   402841343  $     2812584  $       0      $       0      $      97      $           0  $              $0.343574      $11071459.000000      $25.840544 $25.704731 $0.179467 $     1.01  $   143.23  
55375 $  5013   $  1237553341  $  4532575532     $    15125471  $   109939127  $    83902529  $     7395713  $      40      $       0      $      97      $           0  $              $0.273035      $15125471.000000      $7.022060 $5.359044 $0.472381 $     1.31  $    11.34  
55373 $  5016   $  3279486883  $  9454104685     $    11228363  $   414434803  $   412358354  $     1930459  $       0      $       0      $      97      $           0  $              $0.346885      $11228363.000000      $26.444494 $26.312000 $0.123180 $     1.01  $   213.61  
55375 $  6016   $  1729024357  $  5504121070     $    13442408  $   105074269  $    79003880  $    10906616  $      41      $       0      $      97      $           0  $              $0.314133      $13442408.000000      $6.704639 $5.041125 $0.695936 $     1.33  $     7.24  
55373 $  6019   $  3208284236  $  9350939449     $    10893416  $   405752574  $   403329699  $     3377190  $       0      $       0      $      97      $           0  $              $0.343098      $10893416.000000      $25.890493 $25.735893 $0.215494 $     1.01  $   119.43  
55373 $  6480   $  1504035142  $  4298861483     $     5036031  $   190082886  $   189108707  $      657840  $       0      $       0      $      97      $           0  $              $0.349868      $5036031.000000      $26.388947 $26.253702 $0.091327 $     1.01  $   287.47  
55375 $  6477   $   125450717  $   869004569     $     5490309  $    35738943  $    29124382  $     1235328  $      17      $       0      $      97      $           0  $              $0.144361      $5490309.000000      $4.961589 $4.043298 $0.171499 $     1.23  $    23.58  
55373 $  7133   $  2190071193  $  6253293854     $     7520548  $   276147173  $   275319247  $      116869  $       0      $       0      $      97      $           0  $              $0.350227      $7520548.000000      $27.064960 $26.983814 $0.011454 $     1.00  $  2355.79  
55373 $  7136   $      484231  $     1399016     $        1817  $       61111  $       60904  $          54  $       0      $       0      $      97      $           0  $              $0.346123      $1817.000000      $1.303701 $1.299285 $0.001152 $     1.00  $  1127.85  
55373 $  8138   $  3178407768  $  9052598468     $    10045185  $   390758945  $   387578066  $     5968135  $      39      $       0      $      97      $           0  $              $0.351104      $10045185.000000      $24.958654 $24.755486 $0.381198 $     1.01  $    64.94  
55393 $  1003   $  1472163803  $  4705289780     $    11176900  $    86601986  $    62705436  $     7268249  $       0      $       0      $      97      $           0  $              $0.312874      $11176900.000000      $5.525949 $4.001144 $0.463777 $     1.38  $     8.63  
55393 $  2006   $   997555783  $  3931491594     $    14663933  $   107378217  $    83177409  $     7442145  $      38      $       0      $      97      $           0  $              $0.253735      $14663933.000000      $6.851651 $5.307432 $0.474873 $     1.29  $    11.18  
55373 $  9141   $  2884739700  $  8284441905     $     9669801  $   364572792  $   362765851  $     2520244  $       0      $       0      $      97      $           0  $              $0.348212      $9669801.000000      $23.262871 $23.147572 $0.160813 $     1.00  $   143.94  
55393 $  3009   $  1719901873  $  5490397390     $    13511086  $   106067534  $    78358436  $    10806834  $      41      $       0      $      97      $           0  $              $0.313256      $13511086.000000      $6.768018 $4.999940 $0.689569 $     1.35  $     7.25  
55373 $ 10144   $  3237616487  $  9390466135     $    11025314  $   409327357  $   407128516  $     2975952  $       0      $       0      $      97      $           0  $              $0.344777      $11025314.000000      $26.118595 $25.978291 $0.189891 $     1.01  $   136.81  
55393 $  4012   $  1487200695  $  4918896574     $    13393309  $   103753150  $    79279346  $    10863290  $      40      $       0      $      97      $           0  $              $0.302344      $13393309.000000      $6.620341 $5.058702 $0.693171 $     1.31  $     7.30  
55373 $ 11147   $  3212450576  $  9328047759     $    10807323  $   399717071  $   397517003  $     3109116  $       0      $       0      $      97      $           0  $              $0.344386      $10807323.000000      $25.505375 $25.364992 $0.198388 $     1.01  $   127.86  
55393 $  5015   $  1230136072  $  4514244431     $    15080639  $   109933170  $    83311582  $     7389665  $      40      $       0      $      97      $           0  $              $0.272501      $15080639.000000      $7.014678 $5.315993 $0.471524 $     1.32  $    11.27  
55373 $ 12150   $  3282736405  $  9459834054     $    11161501  $   414813454  $   412774961  $     1984855  $       0      $       0      $      97      $           0  $              $0.347018      $11161501.000000      $26.468655 $26.338583 $0.126651 $     1.00  $   207.96  
55393 $  6018   $  1727867484  $  5500477860     $    13419898  $   105246486  $    78268923  $    10885031  $      41      $       0      $      97      $           0  $              $0.314130      $13419898.000000      $6.715628 $4.994228 $0.694558 $     1.34  $     7.19  
55373 $ 13153   $  3217177888  $  9359301392     $    10995164  $   406701694  $   404561398  $     2891639  $       0      $       0      $      97      $           0  $              $0.343741      $10995164.000000      $25.951056 $25.814487 $0.184511 $     1.01  $   139.91  
55373 $ 13582   $  1391614601  $  3977044227     $     4682669  $   175346283  $   174570259  $      577669  $       0      $       0      $      97      $           0  $              $0.349912      $4682669.000000      $26.158886 $26.043116 $0.086179 $     1.00  $   302.20  
55393 $  6447   $   124165816  $   859464766     $     5415444  $    35307317  $    28759809  $     1207951  $      15      $       0      $      97      $           0  $              $0.144469      $5415444.000000      $5.267292 $4.290507 $0.180207 $     1.23  $    23.81  
55373 $ 14239   $  2200090881  $  6287336820     $     7674744  $   277376838  $   276579400  $      141454  $       0      $       0      $      97      $           0  $              $0.349924      $7674744.000000      $27.019966 $26.942286 $0.013779 $     1.00  $  1955.26  
55373 $ 14242   $      426107  $     1240019     $        1562  $       54010  $       53709  $          27  $       0      $       0      $      97      $           0  $              $0.343629      $1562.000000      $1.152213 $1.145792 $0.000576 $     1.01  $  1989.22  
55373 $ 15245   $  3165187396  $  9151938338     $    10585841  $   400350698  $   398033232  $     3924424  $      40      $       0      $      97      $           0  $              $0.345849      $10585841.000000      $25.545807 $25.397932 $0.250412 $     1.01  $   101.42  
55398 $  1003   $  1469831953  $  4701568539     $    11069267  $    85532696  $    64260024  $     7128156  $       0      $       0      $      97      $           0  $              $0.312626      $11069267.000000      $5.457719 $4.100340 $0.454837 $     1.33  $     9.01  
55398 $  2006   $   988514342  $  3920536989     $    14693673  $   106931834  $    84760011  $     7358912  $      38      $       0      $      97      $           0  $              $0.252137      $14693673.000000      $6.823168 $5.408415 $0.469562 $     1.26  $    11.52  
55373 $ 16247   $  3121433557  $  8934130074     $    10158342  $   387315427  $   385228646  $     3041922  $       0      $       0      $      97      $           0  $              $0.349383      $10158342.000000      $24.738710 $24.605423 $0.194294 $     1.01  $   126.64  
55398 $  2015   $     1904026  $    18323961     $      123212  $      843716  $      723442  $       30839  $       0      $       0      $      97      $           0  $              $0.103909      $123212.000000      $5.999758 $5.144476 $0.219300 $     1.17  $    23.46  
55373 $ 16256   $    18838570  $    47089701     $       18683  $      252994  $      252422  $        4072  $       0      $       0      $      97      $           0  $              $0.400057      $18683.000000      $1.799068 $1.795001 $0.028956 $     1.00  $    61.99  
