PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59501 $  1003   $  1473380149  $  4691746015     $    11392470  $    87210069  $    62836295  $     7155555  $      40      $       0      $      97      $           0  $              $0.314037      $11392470.000000      $5.564750 $4.009494 $0.456586 $     1.39  $     8.78  
59499 $  1003   $  3339285995  $  9014041042     $    12190653  $   373245321  $   369115305  $     4042102  $       0      $       0      $      97      $           0  $              $0.370454      $12190653.000000      $23.816252 $23.552721 $0.257921 $     1.01  $    91.32  
59501 $  2005   $  1034509927  $  4000206252     $    14823417  $   107260177  $    82717008  $     7873026  $      40      $       0      $      97      $           0  $              $0.258614      $14823417.000000      $6.850949 $5.283322 $0.502868 $     1.30  $    10.51  
59499 $  2005   $  3461159594  $  9339952414     $    12647063  $   390930607  $   386752752  $     2131426  $       0      $       0      $      97      $           0  $              $0.370576      $12647063.000000      $24.969618 $24.702772 $0.136139 $     1.01  $   181.45  
59501 $  3007   $  1685105317  $  5424610145     $    13789133  $   107099048  $    78685367  $    10394702  $      42      $       0      $      97      $           0  $              $0.310641      $13789133.000000      $6.840658 $5.025812 $0.663933 $     1.36  $     7.57  
59499 $  3007   $  3481285453  $  9394816827     $    12742361  $   388687161  $   384429835  $     3238531  $       0      $       0      $      97      $           0  $              $0.370554      $12742361.000000      $24.826326 $24.554399 $0.206852 $     1.01  $   118.71  
59501 $  4009   $  1539829970  $  5044870159     $    13496183  $   104384951  $    78966747  $    10880897  $      41      $       0      $      97      $           0  $              $0.305227      $13496183.000000      $6.667302 $5.043784 $0.694987 $     1.32  $     7.26  
59499 $  4009   $  3430811353  $  9334305858     $    12760477  $   387598321  $   383388256  $     2938854  $       0      $       0      $      97      $           0  $              $0.367549      $12760477.000000      $24.756781 $24.487873 $0.187711 $     1.01  $   130.46  
59501 $  5011   $  1180174078  $  4395069272     $    15085733  $   110173982  $    83522252  $     7417282  $      40      $       0      $      97      $           0  $              $0.268522      $15085733.000000      $7.037061 $5.334755 $0.473759 $     1.32  $    11.26  
59499 $  5011   $  3511231610  $  9468191990     $    12802494  $   396576860  $   392346090  $     2039596  $       0      $       0      $      97      $           0  $              $0.370845      $12802494.000000      $25.330259 $25.060030 $0.130274 $     1.01  $   192.36  
