PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56372 $  1003   $  7005236528  $  9402224348     $      127049  $    16652612  $    18137271  $       40712  $      33      $       0      $      97      $           0  $              $0.745062      $127049.000000      $1.062579 $1.157313 $0.002598 $     0.92  $   445.50  
56370 $  1003   $  4938749468  $  2317191069     $      421929  $      627867  $      658593  $        1342  $       0      $       0      $      97      $           0  $              $2.131352      $421929.000000      $0.040063 $0.042024 $0.000086 $     0.95  $   490.75  
56372 $  2006   $  6942815686  $  9291924510     $      125493  $    16082441  $    17221759  $        7333  $      33      $       0      $      97      $           0  $              $0.747188      $125493.000000      $1.026198 $1.098896 $0.000468 $     0.93  $  2348.53  
56370 $  2006   $  4885440600  $  2291784019     $      681069  $      621669  $      648081  $        2249  $       0      $       0      $      97      $           0  $              $2.131720      $681069.000000      $0.039668 $0.041353 $0.000144 $     0.96  $   288.16  
56372 $  3008   $  6896536321  $  9241400278     $      125959  $    15874900  $    16938922  $        6454  $      33      $       0      $      97      $           0  $              $0.746265      $125959.000000      $1.013966 $1.081927 $0.000412 $     0.94  $  2624.56  
56370 $  3009   $  4860385656  $  2279418969     $      676098  $      618645  $      647240  $        2494  $       0      $       0      $      97      $           0  $              $2.132292      $676098.000000      $0.039475 $0.041299 $0.000159 $     0.96  $   259.52  
56372 $  4011   $  7050914942  $  9437241994     $      127613  $    15153954  $    15516890  $        4240  $      34      $       0      $      97      $           0  $              $0.747137      $127613.000000      $0.966952 $0.990111 $0.000271 $     0.98  $  3659.64  
56370 $  4012   $  4961584992  $  2327268515     $      426950  $      630208  $      664069  $        1301  $       0      $       0      $      97      $           0  $              $2.131935      $426950.000000      $0.040213 $0.042373 $0.000083 $     0.95  $   510.43  
56372 $  5014   $  6914943557  $  9250308926     $      125727  $    14800555  $    15074261  $        4007  $      32      $       0      $      97      $           0  $              $0.747536      $125727.000000      $0.944402 $0.961867 $0.000256 $     0.98  $  3761.98  
56370 $  5015   $  4864045677  $  2281769116     $      426234  $      617933  $      644729  $        1239  $       0      $       0      $      97      $           0  $              $2.131699      $426234.000000      $0.039429 $0.041139 $0.000079 $     0.96  $   520.36  
56372 $  6017   $  6937015973  $  9297646826     $      125865  $    16043421  $    17131163  $        5043  $      33      $       0      $      97      $           0  $              $0.746104      $125865.000000      $1.023708 $1.093115 $0.000322 $     0.94  $  3397.02  
56370 $  6018   $  4889439812  $  2293466453     $      646104  $      621473  $      650747  $        1723  $       0      $       0      $      97      $           0  $              $2.131899      $646104.000000      $0.039655 $0.041523 $0.000110 $     0.96  $   377.68  
56372 $  7020   $  7047825028  $  9438592458     $      125715  $    15960563  $    16895840  $        3267  $      34      $       0      $      97      $           0  $              $0.746703      $125715.000000      $1.018421 $1.078099 $0.000208 $     0.94  $  5171.67  
56370 $  7021   $  4969666852  $  2328364824     $      427420  $      632351  $      660501  $        1028  $       0      $       0      $      97      $           0  $              $2.134402      $427420.000000      $0.040349 $0.042146 $0.000066 $     0.96  $   642.51  
56372 $  8023   $  6897838555  $  9252189350     $      125024  $    16806287  $    18556862  $        3678  $      32      $       0      $      97      $           0  $              $0.745536      $125024.000000      $1.072385 $1.184087 $0.000235 $     0.91  $  5045.37  
56370 $  8024   $  4865734318  $  2282266188     $      430183  $      619109  $      647783  $        1184  $       0      $       0      $      97      $           0  $              $2.131975      $430183.000000      $0.039504 $0.041334 $0.000076 $     0.96  $   547.11  
56372 $  9025   $  7043688637  $  9438656548     $      126913  $    16532511  $    17908738  $        4028  $      34      $       0      $      97      $           0  $              $0.746260      $126913.000000      $1.055969 $1.143872 $0.000257 $     0.92  $  4446.06  
56370 $  9027   $  4962180854  $  2327646312     $      434249  $      630242  $      663892  $        1274  $       0      $       0      $      97      $           0  $              $2.131845      $434249.000000      $0.040215 $0.042362 $0.000081 $     0.95  $   521.11  
56372 $ 10028   $  7041975104  $  9443605061     $      126605  $    16830800  $    18371121  $        2691  $      33      $       0      $      97      $           0  $              $0.745687      $126605.000000      $1.073949 $1.172235 $0.000172 $     0.92  $  6826.88  
56370 $ 10030   $  4966205073  $  2329047987     $      433745  $      630595  $      663624  $        1343  $       0      $       0      $      97      $           0  $              $2.132290      $433745.000000      $0.040237 $0.042345 $0.000086 $     0.95  $   494.14  
56370 $ 10266   $  1155964581  $   542391970     $      140218  $      147711  $      156444  $         351  $       0      $       0      $      97      $           0  $              $2.131234      $140218.000000      $0.040057 $0.042425 $0.000095 $     0.94  $   445.71  
56372 $ 10264   $  1157866857  $  1643715319     $       62656  $     2344456  $     2462554  $        1001  $       7      $       0      $      97      $           0  $              $0.704421      $62656.000000      $0.635785 $0.667811 $0.000271 $     0.95  $  2460.09  
56370 $ 11089   $  4296245375  $  2011131292     $      203092  $      547146  $      577283  $         230  $       0      $       0      $      97      $           0  $              $2.136233      $203092.000000      $0.042548 $0.044892 $0.000018 $     0.95  $  2509.93  
56370 $ 11092   $     4260483  $     2017933     $           6  $         538  $         544  $           0  $       0      $       0      $      97      $           0  $              $2.111310      $6.000000      $0.011477 $0.011605 $0.000000 $     0.99  $      inf  
56370 $ 12095   $  4880466134  $  2289536469     $      461217  $      622034  $      653490  $         396  $      33      $       0      $      97      $           0  $              $2.131639      $461217.000000      $0.039691 $0.041698 $0.000025 $     0.95  $  1650.23  
56392 $  1003   $  6910568083  $  9275632753     $      124025  $    16198959  $    17386381  $       41584  $       0      $       0      $      97      $           0  $              $0.745024      $124025.000000      $1.033633 $1.109400 $0.002653 $     0.93  $   418.10  
56392 $  2006   $  7015662611  $  9387866231     $      133144  $    15254605  $    15602344  $        7348  $      34      $       0      $      97      $           0  $              $0.747312      $133144.000000      $0.973375 $0.995563 $0.000469 $     0.98  $  2123.35  
56370 $ 13098   $  4974061404  $  2334479081     $      418870  $      635838  $      665571  $         784  $       0      $       0      $      97      $           0  $              $2.130694      $418870.000000      $0.040572 $0.042469 $0.000050 $     0.96  $   848.94  
56392 $  3009   $  6970443585  $  9331477452     $      128275  $    16157467  $    17183246  $       11262  $      33      $       0      $      97      $           0  $              $0.746982      $128275.000000      $1.030985 $1.096438 $0.000719 $     0.94  $  1525.77  
56370 $ 14101   $  4908123864  $  2302249679     $      644140  $      626644  $      655900  $        1533  $       0      $       0      $      97      $           0  $              $2.131881      $644140.000000      $0.039985 $0.041852 $0.000098 $     0.96  $   427.85  
56392 $  4011   $  6923435793  $  9275600273     $      125048  $    16050129  $    17089593  $        5368  $      33      $       0      $      97      $           0  $              $0.746414      $125048.000000      $1.025158 $1.091551 $0.000343 $     0.94  $  3183.60  
56370 $ 15104   $  4879689612  $  2288101160     $      418115  $      621226  $      653346  $         877  $       0      $       0      $      97      $           0  $              $2.132637      $418115.000000      $0.039640 $0.041689 $0.000056 $     0.95  $   744.98  
56392 $  5014   $  6925201786  $  9275983338     $      126326  $    16109657  $    17171046  $       10661  $      33      $       0      $      97      $           0  $              $0.746573      $126326.000000      $1.027934 $1.095660 $0.000680 $     0.94  $  1610.64  
56370 $ 16107   $  4889442308  $  2288195123     $      644874  $      622225  $      654194  $        1671  $       0      $       0      $      97      $           0  $              $2.136812      $644874.000000      $0.039703 $0.041743 $0.000107 $     0.95  $   391.50  
56392 $  6017   $  7020974132  $  9412426179     $      120347  $    16197209  $    17186740  $     1539379  $      35      $       0      $      97      $           0  $              $0.745926      $120347.000000      $1.033521 $1.096661 $0.098226 $     0.94  $    11.16  
56370 $ 17110   $  5318112248  $  2952040188     $      376297  $    12120725  $    13455840  $     6233558  $       0      $       0      $      97      $           0  $              $1.801504      $376297.000000      $0.773406 $0.858598 $0.397754 $     0.90  $     2.16  
56392 $  7020   $  6858762948  $  9189415546     $      124444  $    14961759  $    15323399  $       29243  $      43      $       0      $      97      $           0  $              $0.746376      $124444.000000      $0.954688 $0.977764 $0.001866 $     0.98  $   524.00  
56370 $ 18113   $ 12532125791  $  9161089702     $       81001  $    29022598  $    45001331  $     7607262  $       0      $       0      $      97      $           0  $              $1.367973      $81001.000000      $1.851891 $2.871471 $0.485409 $     0.64  $     5.92  
