PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57780 $  1003   $  3323776430  $  8842431150     $    12231820  $   371114617  $   367242119  $     2205270  $      48      $       0      $      97      $           0  $              $0.375889      $12231820.000000      $23.680296 $23.433195 $0.140715 $     1.01  $   166.53  
57778 $  1003   $ 17075711761  $  8941531727     $     9771167  $   378822071  $   502323899  $     2164293  $       0      $       0      $      97      $           0  $              $1.909708      $9771167.000000      $24.172096 $32.052570 $0.138100 $     0.75  $   232.10  
57780 $  2005   $  3435152394  $  9186806898     $    12807431  $   387833978  $   383826890  $     1581692  $      49      $       0      $      97      $           0  $              $0.373922      $12807431.000000      $24.771832 $24.515888 $0.101026 $     1.01  $   242.67  
57778 $  2005   $ 17674164452  $  9183674140     $     9957815  $   391908181  $   518050958  $     1672092  $       0      $       0      $      97      $           0  $              $1.924520      $9957815.000000      $25.032061 $33.089081 $0.106800 $     0.76  $   309.82  
57780 $  3007   $  3457157308  $  9178320435     $    12704580  $   385432188  $   381481060  $     1967013  $      49      $       0      $      97      $           0  $              $0.376666      $12704580.000000      $24.618423 $24.366055 $0.125638 $     1.01  $   193.94  
57778 $  3007   $ 17655418279  $  9182376241     $    10161991  $   392009980  $   521035760  $     1769511  $       0      $       0      $      97      $           0  $              $1.922751      $10161991.000000      $25.038563 $33.279732 $0.113023 $     0.75  $   294.45  
57780 $  4009   $  3434819120  $  9184754093     $    12810617  $   387765372  $   383788912  $     1597789  $      49      $       0      $      97      $           0  $              $0.373970      $12810617.000000      $24.767448 $24.513464 $0.102054 $     1.01  $   240.20  
57778 $  4009   $ 17671162239  $  9182687064     $    10002466  $   392004455  $   517959933  $     1665837  $       0      $       0      $      97      $           0  $              $1.924400      $10002466.000000      $25.038208 $33.083271 $0.106401 $     0.76  $   310.93  
57780 $  5011   $  3435097925  $  9186008343     $    12818389  $   387786829  $   383819565  $     1577911  $      49      $       0      $      97      $           0  $              $0.373949      $12818389.000000      $24.768818 $24.515421 $0.100785 $     1.01  $   243.25  
57778 $  5011   $ 17673034193  $  9183838457     $    10004222  $   392257554  $   519048927  $     1694960  $       0      $       0      $      97      $           0  $              $1.924363      $10004222.000000      $25.054375 $33.152824 $0.108261 $     0.76  $   306.23  
57780 $  6013   $  3457386488  $  9178949116     $    12696915  $   385301787  $   381339245  $     1958752  $      49      $       0      $      97      $           0  $              $0.376665      $12696915.000000      $24.610094 $24.356997 $0.125110 $     1.01  $   194.68  
