PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
55006 $  1003   $  1245659193  $  6934024513     $    76421614  $   244460803  $   243230487  $      908108  $      44      $       0      $      97      $           0  $              $0.179644      $76421616.000000      $15.598695 $15.520190 $0.057945 $     1.01  $   267.84  
55004 $  1003   $  3396616043  $  9001897620     $    11578457  $   373974308  $   368024240  $     1946614  $       0      $       0      $      97      $           0  $              $0.377322      $11578457.000000      $23.862766 $23.483103 $0.124211 $     1.02  $   189.06  
55006 $  2005   $  1191345975  $  6442814422     $    69986751  $   223023501  $   221869210  $      424706  $      44      $       0      $      97      $           0  $              $0.184911      $69986752.000000      $14.245014 $14.171288 $0.027127 $     1.01  $   522.41  
55004 $  2005   $  3473042520  $  9266126977     $    12010379  $   393438916  $   386843599  $     2134525  $       0      $       0      $      97      $           0  $              $0.374811      $12010379.000000      $25.129831 $24.708572 $0.136337 $     1.02  $   181.23  
55006 $  3007   $  1099204599  $  5937513401     $    64133271  $   205942265  $   204828351  $      453674  $      43      $       0      $      97      $           0  $              $0.185129      $64133272.000000      $13.153997 $13.082849 $0.028977 $     1.01  $   451.49  
55004 $  3007   $  3481650146  $  9397503745     $    11910732  $   401605082  $   395382266  $     2094820  $       0      $       0      $      97      $           0  $              $0.370487      $11910732.000000      $25.651423 $25.253958 $0.133801 $     1.02  $   188.74  
55006 $  4009   $   993405551  $  5378730431     $    58646713  $   186180978  $   185177847  $      588553  $      42      $       0      $      97      $           0  $              $0.184691      $58646712.000000      $11.891799 $11.827726 $0.037592 $     1.01  $   314.63  
55004 $  4009   $  3301749791  $  9401856192     $    10819500  $   417557510  $   413824938  $     1455950  $       0      $       0      $      97      $           0  $              $0.351181      $10819500.000000      $26.670340 $26.431932 $0.092995 $     1.01  $   284.23  
55006 $  5012   $  1235584558  $  6573134401     $    69617942  $   221038101  $   219809432  $      651658  $      43      $       0      $      97      $           0  $              $0.187975      $69617944.000000      $14.104126 $14.025727 $0.041581 $     1.01  $   337.31  
55004 $  5012   $  3273973325  $  9324775783     $    10708790  $   414332258  $   410427566  $     1704969  $       0      $       0      $      97      $           0  $              $0.351105      $10708790.000000      $26.437950 $26.188797 $0.108792 $     1.01  $   240.72  
55006 $  6014   $  1168784069  $  6574296199     $    73560685  $   234385933  $   233150264  $      551013  $      44      $       0      $      97      $           0  $              $0.177781      $73560688.000000      $14.970758 $14.891833 $0.035194 $     1.01  $   423.13  
55004 $  6014   $  3375535746  $  9225079611     $    11383232  $   395529374  $   390537091  $     1995629  $       0      $       0      $      97      $           0  $              $0.365909      $11383232.000000      $25.263353 $24.944485 $0.127465 $     1.01  $   195.70  
55006 $  7016   $  1097268613  $  6087661701     $    67378624  $   214937264  $   213856601  $      371353  $      43      $       0      $      97      $           0  $              $0.180245      $67378624.000000      $13.728528 $13.659504 $0.023719 $     1.01  $   575.88  
