PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
56968 $  1004   $  1273722700  $  7032243856     $    72908910  $   246939041  $   245760342  $      605186  $      33      $       0      $      97      $           0  $              $0.181126      $72908912.000000      $15.741134 $15.665998 $0.038578 $     1.00  $   406.09  
56966 $  1003   $  4927725714  $  2311647832     $      380660  $      621402  $      658838  $        3780  $       0      $       0      $      97      $           0  $              $2.131694      $380660.000000      $0.039651 $0.042040 $0.000241 $     0.94  $   174.30  
56968 $  2007   $  1222055290  $  6590927384     $    67449799  $   227452599  $   226438526  $       96216  $      33      $       0      $      97      $           0  $              $0.185415      $67449800.000000      $14.513426 $14.448720 $0.006139 $     1.00  $  2353.44  
56966 $  2006   $  4946849617  $  2317087712     $      380656  $      624139  $      658942  $         886  $       0      $       0      $      97      $           0  $              $2.134943      $380656.000000      $0.039825 $0.042046 $0.000057 $     0.95  $   743.73  
56968 $  3010   $  1066385349  $  5863847321     $    61041543  $   206363317  $   205423500  $       89710  $      32      $       0      $      97      $           0  $              $0.181858      $61041544.000000      $13.167748 $13.107780 $0.005724 $     1.00  $  2289.86  
56966 $  3009   $  4904030157  $  2293664056     $      378669  $      617812  $      652785  $         902  $       0      $       0      $      97      $           0  $              $2.138077      $378669.000000      $0.039422 $0.041653 $0.000058 $     0.95  $   723.71  
56968 $  4013   $  1005564961  $  5459249662     $    56179481  $   189751467  $   188955941  $       88347  $      31      $       0      $      97      $           0  $              $0.184195      $56179480.000000      $12.107771 $12.057009 $0.005637 $     1.00  $  2138.79  
56966 $  4012   $  4961391983  $  2321135824     $      279516  $      624769  $      658866  $         452  $       0      $       0      $      97      $           0  $              $2.137485      $279516.000000      $0.039866 $0.042041 $0.000029 $     0.95  $  1457.67  
56968 $  5016   $  1212736242  $  6414396119     $    64152920  $   214466327  $   213567842  $       33958  $      32      $       0      $      97      $           0  $              $0.189065      $64152920.000000      $13.684790 $13.627460 $0.002167 $     1.00  $  6289.18  
56966 $  5015   $  5010463817  $  2349557064     $      320065  $      631083  $      670786  $         373  $       0      $       0      $      97      $           0  $              $2.132514      $320065.000000      $0.040269 $0.042802 $0.000024 $     0.94  $  1798.35  
56968 $  6020   $  1199424823  $  6780961665     $    71755874  $   243061029  $   241916189  $       97272  $      33      $       0      $      97      $           0  $              $0.176881      $71755872.000000      $15.493930 $15.420953 $0.006201 $     1.00  $  2487.01  
56966 $  6019   $  4948038420  $  2315548633     $      382300  $      621804  $      658009  $         515  $       0      $       0      $      97      $           0  $              $2.136875      $382300.000000      $0.039637 $0.041945 $0.000033 $     0.94  $  1277.69  
56968 $  7024   $  1138199473  $  6283820458     $    65547877  $   221413637  $   220391031  $       93167  $      32      $       0      $      97      $           0  $              $0.181132      $65547876.000000      $14.114017 $14.048830 $0.005939 $     1.00  $  2365.55  
