PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
63176 $  1003   $  1245903861  $  6939685535     $    76770871  $   244300267  $   243219875  $      884745  $      46      $       0      $      97      $           0  $              $0.179533      $76770872.000000      $15.588452 $15.519513 $0.056454 $     1.00  $   274.90  
63174 $  1003   $ 22545609962  $  8939391563     $     4106078  $   352745410  $   352789884  $     2348849  $       0      $       0      $      97      $           0  $              $2.522052      $4106078.000000      $22.508181 $22.511021 $0.149877 $     1.00  $   150.20  
63176 $  2005   $  1191645075  $  6441275512     $    70242052  $   222264255  $   221345719  $      352559  $      46      $       0      $      97      $           0  $              $0.185001      $70242048.000000      $14.196519 $14.137850 $0.022519 $     1.00  $   627.83  
63174 $  2005   $ 23423259144  $  9246985757     $     4245031  $   366285368  $   366311112  $     1663234  $       0      $       0      $      97      $           0  $              $2.533069      $4245031.000000      $23.395473 $23.397116 $0.106235 $     1.00  $   220.24  
63176 $  3007   $  1099346507  $  5937268006     $    64662308  $   205695395  $   204770179  $      331055  $      45      $       0      $      97      $           0  $              $0.185160      $64662308.000000      $13.138228 $13.079133 $0.021145 $     1.00  $   618.54  
63174 $  3007   $ 23775093778  $  9379975879     $     4285299  $   371800450  $   371821968  $     1552926  $       0      $       0      $      97      $           0  $              $2.534665      $4285299.000000      $23.747734 $23.749107 $0.099189 $     1.00  $   239.43  
63176 $  4009   $   994839811  $  5386706391     $    58770840  $   186339201  $   185601011  $      317556  $      45      $       0      $      97      $           0  $              $0.184684      $58770840.000000      $11.901905 $11.854755 $0.020283 $     1.00  $   584.47  
63174 $  4009   $ 23878034965  $  9390543189     $     4294056  $   373604431  $   373621436  $     1383632  $       0      $       0      $      97      $           0  $              $2.542775      $4294056.000000      $23.862957 $23.864044 $0.088376 $     1.00  $   270.03  
63176 $  5011   $  1234660857  $  6565886335     $    69705018  $   220253653  $   219361790  $      288091  $      46      $       0      $      97      $           0  $              $0.188042      $69705016.000000      $14.068097 $14.011132 $0.018401 $     1.00  $   761.43  
63174 $  5011   $ 23581693606  $  9306206115     $     4266278  $   368765620  $   368793885  $     1620977  $       0      $       0      $      97      $           0  $              $2.533975      $4266278.000000      $23.553892 $23.555696 $0.103535 $     1.00  $   227.51  
63176 $  6014   $  1169983297  $  6579950336     $    73800029  $   234336533  $   233344481  $      359835  $      46      $       0      $      97      $           0  $              $0.177810      $73800032.000000      $14.952680 $14.889379 $0.022961 $     1.00  $   648.48  
63174 $  6014   $ 23327082593  $  9206434069     $     4243932  $   364786179  $   364808689  $     1652618  $       0      $       0      $      97      $           0  $              $2.533781      $4243932.000000      $23.276485 $23.277924 $0.105451 $     1.00  $   220.75  
63176 $  7017   $  1092196988  $  6052005475     $    67398258  $   213724042  $   212774749  $      326621  $      46      $       0      $      97      $           0  $              $0.180469      $67398256.000000      $13.637426 $13.576854 $0.020841 $     1.00  $   651.44  
63174 $  7017   $ 23500180286  $  9249199072     $     4255826  $   367684445  $   367697209  $     1475780  $       0      $       0      $      97      $           0  $              $2.540780      $4255826.000000      $23.461420 $23.462234 $0.094167 $     1.00  $   249.15  
63176 $  8020   $  1049611362  $  5655029919     $    61559834  $   195236821  $   194411259  $      331212  $      45      $       0      $      97      $           0  $              $0.185607      $61559832.000000      $12.457783 $12.405106 $0.021134 $     1.00  $   586.97  
63174 $  8020   $ 23784112689  $  9380551945     $     4279169  $   371942531  $   371971107  $     1529822  $       0      $       0      $      97      $           0  $              $2.535470      $4279169.000000      $23.733122 $23.734945 $0.097616 $     1.00  $   243.15  
63176 $  9023   $  1100694798  $  5761165627     $    60264490  $   190186919  $   189481696  $      273270  $      45      $       0      $      97      $           0  $              $0.191054      $60264488.000000      $12.135555 $12.090557 $0.017437 $     1.00  $   693.39  
63174 $  9023   $ 23721520676  $  9355046904     $     4266011  $   370953194  $   370975743  $     1511035  $       0      $       0      $      97      $           0  $              $2.535692      $4266011.000000      $23.669994 $23.671432 $0.096417 $     1.00  $   245.51  
63176 $ 10026   $  1214773582  $  6886134612     $    77638574  $   246622310  $   245553513  $      379470  $      47      $       0      $      97      $           0  $              $0.176409      $77638576.000000      $15.736618 $15.668420 $0.024213 $     1.00  $   647.10  
63174 $ 10026   $ 23418045540  $  9246756046     $     4260246  $   366204661  $   366232762  $     1717921  $       0      $       0      $      97      $           0  $              $2.532569      $4260246.000000      $23.366999 $23.368792 $0.109618 $     1.00  $   213.18  
63176 $ 11028   $  1175778854  $  6345013825     $    68873256  $   219637981  $   218626579  $      334423  $      46      $       0      $      97      $           0  $              $0.185308      $68873256.000000      $14.028773 $13.964172 $0.021360 $     1.00  $   653.74  
63174 $ 11028   $ 23492350944  $  9246945888     $     4260435  $   367562485  $   367577126  $     1488721  $       0      $       0      $      97      $           0  $              $2.540552      $4260435.000000      $23.477045 $23.477980 $0.095088 $     1.00  $   246.91  
63176 $ 12030   $  1124020569  $  5936085108     $    63454242  $   201757113  $   200868076  $      338237  $      46      $       0      $      97      $           0  $              $0.189354      $63454240.000000      $12.886683 $12.829897 $0.021604 $     1.00  $   593.87  
63174 $ 12030   $ 23773691357  $  9379968768     $     4281434  $   371771869  $   371799781  $     1559014  $       0      $       0      $      97      $           0  $              $2.534517      $4281434.000000      $23.745909 $23.747690 $0.099578 $     1.00  $   238.48  
63174 $ 13077   $ 25029450105  $  9860849838     $     4459510  $   391453613  $   391478195  $     1449549  $       0      $       0      $      97      $           0  $              $2.538265      $4459510.000000      $23.928396 $23.929899 $0.088607 $     1.00  $   270.07  
63176 $ 13077   $   882628814  $  4772891448     $    51530361  $   161727521  $   161149722  $      247448  $      45      $       0      $      97      $           0  $              $0.184925      $51530360.000000      $9.885922 $9.850604 $0.015126 $     1.00  $   651.25  
63174 $ 13133   $  1291126644  $   503857524     $      223652  $    20222378  $    20222216  $       26619  $       0      $       0      $      97      $           0  $              $2.562484      $223652.000000      $23.111290 $23.111103 $0.030422 $     1.00  $   759.69  
63174 $ 13136   $     3521073  $     1401535     $         468  $       55136  $       55175  $         199  $       0      $       0      $      97      $           0  $              $2.512298      $468.000000      $1.176235 $1.177067 $0.004245 $     1.00  $   277.26  
63174 $ 14139   $ 23083643064  $  9137569605     $     4246777  $   360798864  $   360823258  $     1691281  $      47      $       0      $      97      $           0  $              $2.526234      $4246777.000000      $23.022060 $23.023619 $0.107918 $     1.00  $   213.34  
63194 $  1003   $  1251580028  $  6973417741     $    75618708  $   244742517  $   243613474  $      748735  $       0      $       0      $      97      $           0  $              $0.179479      $75618704.000000      $15.616671 $15.544628 $0.047776 $     1.00  $   325.37  
63194 $  1626   $   689082672  $  3687139182     $    39727026  $   127711390  $   127136182  $      161025  $      28      $       0      $      97      $           0  $              $0.186888      $39727024.000000      $13.119629 $13.060539 $0.016542 $     1.00  $   789.54  
63174 $ 14762   $ 13974688118  $  5564255826     $     2528958  $   218152502  $   218158361  $      698342  $       0      $       0      $      97      $           0  $              $2.511511      $2528958.000000      $22.410530 $22.411133 $0.071740 $     1.00  $   312.39  
