PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57374 $  1004   $ 22331135682  $  8850803338     $     3932789  $   349423731  $   349492066  $     2401424  $      37      $       0      $      97      $           0  $              $2.523063      $3932789.000000      $22.274023 $22.278379 $0.153079 $     1.00  $   145.54  
57372 $  1004   $  4750149627  $  2231472072     $      638634  $      596722  $      633109  $       10677  $       0      $       0      $      97      $           0  $              $2.128707      $638634.000000      $0.038038 $0.040358 $0.000681 $     0.94  $    59.30  
57374 $  2007   $ 23441845699  $  9243732599     $     4104372  $   366607964  $   366659424  $     1784913  $      39      $       0      $      97      $           0  $              $2.535972      $4104372.000000      $23.392733 $23.396015 $0.113893 $     1.00  $   205.42  
57372 $  2007   $  4860580109  $  2283221848     $      657381  $      610148  $      648388  $        7670  $       0      $       0      $      97      $           0  $              $2.128825      $657381.000000      $0.038933 $0.041373 $0.000489 $     0.94  $    84.54  
57374 $  3010   $ 23364673737  $  9188786408     $     4096990  $   365588902  $   365617618  $     1599653  $      39      $       0      $      97      $           0  $              $2.542738      $4096990.000000      $23.327705 $23.329540 $0.102072 $     1.00  $   228.56  
57372 $  3010   $  4838975170  $  2268030241     $      652366  $      607331  $      644681  $        8671  $       0      $       0      $      97      $           0  $              $2.133559      $652366.000000      $0.038753 $0.041136 $0.000553 $     0.94  $    74.35  
57374 $  4013   $ 23305693032  $  9181363437     $     4080513  $   364443938  $   364526588  $     1710820  $      39      $       0      $      97      $           0  $              $2.538370      $4080513.000000      $23.254648 $23.259922 $0.109165 $     1.00  $   213.07  
57372 $  4013   $  4839159500  $  2267734177     $      662937  $      607022  $      645700  $        7064  $       0      $       0      $      97      $           0  $              $2.133918      $662937.000000      $0.038733 $0.041201 $0.000451 $     0.94  $    91.41  
57374 $  5016   $ 23287495723  $  9181421291     $     4074242  $   364192350  $   364240771  $     1748277  $      39      $       0      $      97      $           0  $              $2.536371      $4074242.000000      $23.238594 $23.241684 $0.111555 $     1.00  $   208.34  
57372 $  5016   $  4837162733  $  2267613278     $      654939  $      608085  $      648410  $        9021  $       0      $       0      $      97      $           0  $              $2.133152      $654939.000000      $0.038801 $0.041374 $0.000576 $     0.94  $    71.88  
57374 $  6019   $ 23463909975  $  9250285660     $     4109080  $   366954835  $   367006623  $     1742292  $      39      $       0      $      97      $           0  $              $2.536561      $4109080.000000      $23.414865 $23.418169 $0.111173 $     1.00  $   210.65  
57372 $  6019   $  4872403956  $  2285101481     $      654433  $      611315  $      650438  $        8913  $       0      $       0      $      97      $           0  $              $2.132248      $654433.000000      $0.039007 $0.041504 $0.000569 $     0.94  $    72.98  
57374 $  7021   $ 23363945043  $  9186886698     $     4096656  $   365577164  $   365612917  $     1588306  $      39      $       0      $      97      $           0  $              $2.543184      $4096656.000000      $23.350237 $23.352522 $0.101449 $     1.00  $   230.19  
57372 $  7021   $  4837305604  $  2268225878     $      651028  $      608595  $      647724  $        7997  $       0      $       0      $      97      $           0  $              $2.132639      $651028.000000      $0.038872 $0.041372 $0.000511 $     0.94  $    81.00  
57374 $  8024   $ 23286431425  $  9181117255     $     4073131  $   364174839  $   364224784  $     1732364  $      39      $       0      $      97      $           0  $              $2.536340      $4073131.000000      $23.237478 $23.240664 $0.110540 $     1.00  $   210.25  
57372 $  8024   $  4834840438  $  2268116958     $      651043  $      606639  $      644021  $        9388  $       0      $       0      $      97      $           0  $              $2.131654      $651043.000000      $0.038709 $0.041094 $0.000599 $     0.94  $    68.60  
57374 $  9027   $ 23285267263  $  9180878571     $     4076386  $   364157450  $   364206893  $     1752831  $      39      $       0      $      97      $           0  $              $2.536278      $4076386.000000      $23.236366 $23.239521 $0.111846 $     1.00  $   207.78  
57372 $  9027   $  4836855312  $  2267989738     $      655455  $      607067  $      649141  $        8448  $       0      $       0      $      97      $           0  $              $2.132662      $655455.000000      $0.038736 $0.041421 $0.000539 $     0.94  $    76.84  
57374 $ 10030   $ 23553537529  $  9261527662     $     4124882  $   368542944  $   368577582  $     1605091  $      39      $       0      $      97      $           0  $              $2.543159      $4124882.000000      $23.516199 $23.518410 $0.102419 $     1.00  $   229.63  
57372 $ 10030   $  4868712837  $  2286522085     $      655006  $      611052  $      649051  $        7919  $       0      $       0      $      97      $           0  $              $2.129309      $655006.000000      $0.038990 $0.041415 $0.000505 $     0.94  $    81.96  
57374 $ 11033   $ 23288062492  $  9181128255     $     4074107  $   364196365  $   364250028  $     1717172  $      39      $       0      $      97      $           0  $              $2.536514      $4074107.000000      $23.238850 $23.242273 $0.109570 $     1.00  $   212.12  
57372 $ 11033   $  4835961510  $  2267702595     $      651994  $      607309  $      648728  $       10126  $       0      $       0      $      97      $           0  $              $2.132538      $651994.000000      $0.038752 $0.041394 $0.000646 $     0.94  $    64.07  
57374 $ 12035   $ 23284757675  $  9181001596     $     4074808  $   364147048  $   364197640  $     1731425  $      39      $       0      $      97      $           0  $              $2.536189      $4074808.000000      $23.258892 $23.262125 $0.110590 $     1.00  $   210.35  
57372 $ 12036   $  4833038122  $  2268082700     $      657839  $      605969  $      647728  $        8714  $       0      $       0      $      97      $           0  $              $2.130892      $657839.000000      $0.038666 $0.041331 $0.000556 $     0.94  $    74.33  
57374 $ 13038   $ 23286985751  $  9181835953     $     4076185  $   364184951  $   364235502  $     1747277  $      39      $       0      $      97      $           0  $              $2.536201      $4076185.000000      $23.238123 $23.241346 $0.111491 $     1.00  $   208.46  
57372 $ 13039   $  4832029233  $  2268330170     $      653134  $      606235  $      647159  $        7629  $       0      $       0      $      97      $           0  $              $2.130214      $653134.000000      $0.038683 $0.041294 $0.000487 $     0.94  $    84.83  
