PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
54718 $  1003   $ 14744694670  $  8830720492     $       98382  $  1860641475  $     6476618  $     5003731  $      49      $       0      $      97      $           0  $              $1.669705      $98382.000000      $118.724884 $0.413264 $0.319281 $   287.29  $     1.29  
54716 $  1003   $  3353022776  $  8933441660     $    11005412  $   369984953  $   364878592  $     3845102  $       0      $       0      $      97      $           0  $              $0.375334      $11005412.000000      $23.608213 $23.282383 $0.245350 $     1.01  $    94.89  
54718 $  2005   $ 15305588615  $  9137693807     $       76259  $  1932320166  $     6360353  $     5080334  $      50      $       0      $      97      $           0  $              $1.674995      $76259.000000      $123.421646 $0.406250 $0.324492 $   303.81  $     1.25  
54716 $  2005   $  3421339409  $  9178068393     $    11536999  $   387920950  $   382598950  $     3442672  $       0      $       0      $      97      $           0  $              $0.372773      $11536999.000000      $24.777388 $24.437458 $0.219891 $     1.01  $   111.13  
54718 $  3007   $ 15299071930  $  9132553552     $       75487  $  1931528477  $     6352286  $     5076188  $      50      $       0      $      97      $           0  $              $1.675224      $75487.000000      $123.371078 $0.405735 $0.324228 $   304.07  $     1.25  
54716 $  3007   $  3390039423  $  9174335483     $    11372817  $   389634560  $   384595680  $     3449383  $       0      $       0      $      97      $           0  $              $0.369513      $11372817.000000      $24.886839 $24.564993 $0.220320 $     1.01  $   111.50  
54718 $  4010   $ 15308685547  $  9137660546     $       73227  $  1933176102  $     6295015  $     5071970  $      49      $       0      $      97      $           0  $              $1.675340      $73227.000000      $123.353210 $0.401676 $0.323635 $   307.10  $     1.24  
54716 $  4010   $  3204909505  $  9184364782     $    10388224  $   405426420  $   403008022  $     2123470  $       0      $       0      $      97      $           0  $              $0.348953      $10388224.000000      $25.869682 $25.715368 $0.135496 $     1.01  $   189.79  
54718 $  5013   $ 15307105642  $  9136230729     $       72845  $  1933010929  $     6292168  $     5074496  $      50      $       0      $      97      $           0  $              $1.675429      $72845.000000      $123.342674 $0.401494 $0.323796 $   307.21  $     1.24  
54716 $  5013   $  3204956646  $  9181671723     $    10381656  $   405422982  $   402922721  $     2088836  $       0      $       0      $      97      $           0  $              $0.349060      $10381656.000000      $25.869463 $25.709925 $0.133286 $     1.01  $   192.89  
54718 $  6015   $ 15301034573  $  9133061490     $       73115  $  1931984026  $     6323940  $     5081355  $      50      $       0      $      97      $           0  $              $1.675346      $73115.000000      $123.400177 $0.403924 $0.324558 $   305.50  $     1.24  
54716 $  6015   $  3311682731  $  9179089912     $    10855387  $   395992211  $   392211445  $     3334896  $       0      $       0      $      97      $           0  $              $0.360786      $10855387.000000      $25.292917 $25.051430 $0.213007 $     1.01  $   117.61  
54718 $  7017   $ 15297933588  $  9131646858     $       75548  $  1931366598  $     6375389  $     5081182  $      50      $       0      $      97      $           0  $              $1.675266      $75548.000000      $123.360748 $0.407210 $0.324547 $   302.94  $     1.25  
54716 $  7017   $  3421350144  $  9178254074     $    11522742  $   387858552  $   382580073  $     3493792  $       0      $       0      $      97      $           0  $              $0.372767      $11522742.000000      $24.773401 $24.436251 $0.223156 $     1.01  $   109.50  
54718 $  8019   $ 15298072599  $  9132028766     $       76709  $  1931405302  $     6363618  $     5083322  $      50      $       0      $      97      $           0  $              $1.675211      $76709.000000      $123.363213 $0.406459 $0.324683 $   303.51  $     1.25  
54716 $  8019   $  3421673293  $  9177829941     $    11505695  $   387920254  $   382633368  $     3435045  $       0      $       0      $      97      $           0  $              $0.372819      $11505695.000000      $24.777342 $24.439657 $0.219404 $     1.01  $   111.39  
54718 $  9021   $ 15349410360  $  9141069247     $       71665  $  1942835871  $     5995948  $     4868675  $      50      $       0      $      97      $           0  $              $1.679170      $71665.000000      $124.093307 $0.382975 $0.310973 $   324.02  $     1.23  
54716 $  9021   $  3287300079  $  9179745807     $    10836046  $   398236821  $   394711979  $     2710534  $       0      $       0      $      97      $           0  $              $0.358104      $10836046.000000      $25.436285 $25.211143 $0.173128 $     1.01  $   145.62  
54718 $ 10024   $ 15307040069  $  9137064734     $       72973  $  1932920090  $     6289562  $     5074061  $      50      $       0      $      97      $           0  $              $1.675269      $72973.000000      $123.336876 $0.401328 $0.323769 $   307.32  $     1.24  
54716 $ 10024   $  3204978869  $  9183730467     $    10380310  $   405440577  $   402968346  $     2113073  $       0      $       0      $      97      $           0  $              $0.348984      $10380310.000000      $25.870584 $25.712835 $0.134832 $     1.01  $   190.70  
54718 $ 11026   $ 15307975164  $  9136571294     $       72102  $  1933108718  $     6297497  $     5072281  $      50      $       0      $      97      $           0  $              $1.675462      $72102.000000      $123.472015 $0.402235 $0.323978 $   306.96  $     1.24  
54716 $ 11027   $  3204910164  $  9183444243     $    10362613  $   405506795  $   402944037  $     2133155  $       0      $       0      $      97      $           0  $              $0.348988      $10362613.000000      $25.874809 $25.711285 $0.136114 $     1.01  $   188.90  
54718 $ 11189   $  2572580071  $  1532848582     $       12267  $   325685004  $      999832  $      816694  $       6      $       0      $      97      $           0  $              $1.678300      $12267.000000      $127.876312 $0.392572 $0.320665 $   325.74  $     1.22  
54716 $ 11190   $   247179154  $   708087518     $      838194  $    30342966  $    30133992  $      225751  $       0      $       0      $      97      $           0  $              $0.349080      $838194.000000      $11.913802 $11.831752 $0.088638 $     1.01  $   133.48  
54718 $ 12112   $ 15218885610  $  9080089642     $       70966  $  1922338066  $     6290959  $     4367707  $      34      $       0      $      97      $           0  $              $1.676072      $70966.000000      $133.293213 $0.436209 $0.302853 $   305.57  $     1.44  
54718 $ 12113   $     9821082  $     5814088     $          29  $     1260258  $        2649  $        2371  $       0      $       0      $      97      $           0  $              $1.689187      $29.000000      $80.656509 $0.169536 $0.151744 $   475.75  $     1.12  
54718 $ 13115   $ 15272085073  $  9132919621     $       70523  $  1928082788  $     6286672  $     5055603  $      50      $       0      $      97      $           0  $              $1.672202      $70523.000000      $123.151001 $0.401544 $0.322913 $   306.69  $     1.24  
54736 $  1002   $  3373864883  $  8970022788     $    10373691  $   373300699  $   365864785  $     6262486  $       0      $       0      $      97      $           0  $              $0.376127      $10373691.000000      $23.843557 $23.368610 $0.399999 $     1.02  $    58.42  
54718 $ 14117   $ 15290712283  $  9129722351     $       70958  $  1931110322  $     6287017  $     5064474  $      50      $       0      $      97      $           0  $              $1.674828      $70958.000000      $123.344368 $0.401566 $0.323479 $   307.16  $     1.24  
54736 $  2004   $  3425520849  $  9165357046     $    10794794  $   389472130  $   381701416  $     5662227  $       0      $       0      $      97      $           0  $              $0.373747      $10794794.000000      $24.876463 $24.380131 $0.361659 $     1.02  $    67.41  
54736 $  2346   $  1168348844  $  3124326718     $     3688347  $   132813834  $   130187864  $     1884637  $       0      $       0      $      97      $           0  $              $0.373952      $3688347.000000      $24.854050 $24.362640 $0.352681 $     1.02  $    69.08  
54718 $ 14459   $  5175106536  $  3094739888     $       32839  $   654463669  $     2006337  $     1637679  $      17      $       0      $      97      $           0  $              $1.672227      $32839.000000      $122.472733 $0.375455 $0.306466 $   326.20  $     1.23  
