PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57639 $  1004   $ 14687511663  $  8815799162     $     1083595  $  1848112927  $    14867382  $     4886055  $      50      $       0      $      97      $           0  $              $1.666044      $1083595.000000      $117.807991 $0.947722 $0.311462 $   124.31  $     3.04  
57637 $  1004   $ 17061927132  $  8939544847     $     9284548  $   378200244  $   501275919  $     2025515  $       0      $       0      $      97      $           0  $              $1.908590      $9284548.000000      $24.108383 $31.953842 $0.129116 $     0.75  $   247.48  
57639 $  2007   $ 15277538450  $  9138534481     $      963819  $  1923586959  $    14576788  $     4959500  $      51      $       0      $      97      $           0  $              $1.671771      $963819.000000      $122.741341 $0.930124 $0.316459 $   131.96  $     2.94  
57637 $  2007   $ 17654968582  $  9185753489     $     9461920  $   391045262  $   516951446  $     1527591  $       0      $       0      $      97      $           0  $              $1.921995      $9461920.000000      $24.952040 $32.985935 $0.097473 $     0.76  $   338.41  
57639 $  3010   $ 15281033902  $  9139557725     $      967455  $  1924154601  $    14566463  $     4969592  $      51      $       0      $      97      $           0  $              $1.671967      $967455.000000      $122.777565 $0.929465 $0.317103 $   132.09  $     2.93  
57637 $  3010   $ 17641044348  $  9183899820     $     9645994  $   391148728  $   519277929  $     1590038  $       0      $       0      $      97      $           0  $              $1.920866      $9645994.000000      $24.958643 $33.134384 $0.101458 $     0.75  $   326.58  
57639 $  4013   $ 15277542879  $  9139259164     $      965513  $  1923570730  $    14542609  $     4962615  $      51      $       0      $      97      $           0  $              $1.671639      $965513.000000      $122.740303 $0.927943 $0.316657 $   132.27  $     2.93  
57637 $  4013   $ 17652334755  $  9185169564     $     9492849  $   391044123  $   516619528  $     1537912  $       0      $       0      $      97      $           0  $              $1.921830      $9492849.000000      $24.951969 $32.964756 $0.098132 $     0.76  $   335.92  
57639 $  5015   $ 15281829961  $  9138812116     $      974188  $  1924284323  $    14550927  $     4972919  $      51      $       0      $      97      $           0  $              $1.672190      $974188.000000      $122.908379 $0.929401 $0.317632 $   132.24  $     2.93  
57637 $  5016   $ 17659553948  $  9184622240     $     9518004  $   391434068  $   517569685  $     1528393  $       0      $       0      $      97      $           0  $              $1.922730      $9518004.000000      $24.976851 $33.025383 $0.097525 $     0.76  $   338.64  
57639 $  6017   $ 15275083638  $  9138880657     $      971834  $  1923214156  $    14625346  $     4962272  $      51      $       0      $      97      $           0  $              $1.671439      $971834.000000      $122.840027 $0.934154 $0.316952 $   131.50  $     2.95  
57637 $  6018   $ 17636056047  $  9184843094     $     9534923  $   390689463  $   516364791  $     1600459  $       0      $       0      $      97      $           0  $              $1.920126      $9534923.000000      $24.954218 $32.981384 $0.102225 $     0.76  $   322.64  
57639 $  6284   $  4149988206  $  2482219229     $      260233  $   522504367  $     3980169  $     1354462  $      12      $       0      $      97      $           0  $              $1.671886      $260233.000000      $125.244492 $0.954048 $0.324665 $   131.28  $     2.94  
57637 $  6285   $  3200351011  $  1666931745     $     1699582  $    70537636  $    92765224  $      226253  $       0      $       0      $      97      $           0  $              $1.919905      $1699582.000000      $16.907896 $22.235859 $0.054233 $     0.76  $   410.01  
57639 $  7103   $ 13006253608  $  7753210460     $      807826  $  1642367015  $    12106750  $     3527586  $      31      $       0      $      97      $           0  $              $1.677531      $807826.000000      $128.341248 $0.946071 $0.275660 $   135.66  $     3.43  
57639 $  7105   $     8964726  $     5323593     $         348  $     1147174  $        5516  $        2119  $       0      $       0      $      97      $           0  $              $1.683962      $348.000000      $36.709568 $0.176512 $0.067808 $   207.97  $     2.60  
57639 $  8107   $ 15286494792  $  9140758529     $      974617  $  1924873844  $    14577890  $     4957831  $      51      $       0      $      97      $           0  $              $1.672344      $974617.000000      $122.946037 $0.931123 $0.316668 $   132.04  $     2.94  
57657 $  1002   $ 17209671811  $  9008155180     $     9413379  $   381280281  $   504090322  $     1912943  $       0      $       0      $      97      $           0  $              $1.910455      $9413379.000000      $24.353231 $32.197388 $0.122184 $     0.76  $   263.52  
57639 $  9109   $ 15282638845  $  9140442146     $      969732  $  1924303118  $    14565720  $     4972002  $      51      $       0      $      97      $           0  $              $1.671980      $969732.000000      $122.909576 $0.930345 $0.317573 $   132.11  $     2.93  
57657 $  2004   $ 17645682720  $  9186197412     $     9633710  $   391461388  $   517529942  $     1539657  $       0      $       0      $      97      $           0  $              $1.920891      $9633710.000000      $25.003521 $33.055805 $0.098341 $     0.76  $   336.13  
57639 $ 10111   $ 15285155641  $  9139405594     $      975384  $  1924762589  $    14590774  $     4972963  $      51      $       0      $      97      $           0  $              $1.672445      $975384.000000      $122.938927 $0.931946 $0.317634 $   131.92  $     2.93  
