PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61126 $  1003   $  6605167684  $  9077327073     $       79367  $    15799657  $    17283708  $    10419426  $      44      $       0      $      97      $           0  $              $0.727656      $79367.000000      $1.008154 $1.102849 $0.664849 $     0.91  $     1.66  
61124 $  1003   $  4932897542  $  8864634967     $     5435475  $   216671399  $   144284760  $   140833821  $       0      $       0      $      97      $           0  $              $0.556469      $5435475.000000      $13.825493 $9.206605 $8.986405 $     1.50  $     1.02  
61126 $  2005   $  6642682978  $  9130389219     $       73905  $    14906640  $    15732806  $    11123172  $      46      $       0      $      97      $           0  $              $0.727536      $73905.000000      $0.952121 $1.004890 $0.710462 $     0.95  $     1.41  
61124 $  2005   $  5123716087  $  9127998688     $     5818744  $   232162936  $   154712257  $   151089130  $       0      $       0      $      97      $           0  $              $0.561319      $5818744.000000      $14.828771 $9.881821 $9.650404 $     1.50  $     1.02  
61126 $  3007   $  6644557957  $  9129818871     $       69537  $    14707705  $    15389320  $    11132438  $      45      $       0      $      97      $           0  $              $0.727786      $69537.000000      $0.939414 $0.982951 $0.711054 $     0.96  $     1.38  
61124 $  3007   $  5110241745  $  9127218448     $     5834109  $   231458979  $   154548479  $   150940251  $       0      $       0      $      97      $           0  $              $0.559890      $5834109.000000      $14.783807 $9.871360 $9.640895 $     1.50  $     1.02  
61126 $  4009   $  6632368794  $  9129141168     $       70913  $    15327955  $    16462703  $    11362008  $      45      $       0      $      97      $           0  $              $0.726505      $70913.000000      $0.979031 $1.051510 $0.725717 $     0.93  $     1.45  
61124 $  4009   $  5153851123  $  9127157726     $     5989526  $   237072030  $   158108844  $   154422876  $       0      $       0      $      97      $           0  $              $0.564672      $5989526.000000      $15.142325 $10.098769 $9.863338 $     1.50  $     1.02  
61126 $  5011   $  6647817466  $  9128357726     $       71860  $    14912565  $    15766322  $    11254037  $      45      $       0      $      97      $           0  $              $0.728260      $71860.000000      $0.952499 $1.007031 $0.718821 $     0.95  $     1.40  
61124 $  5011   $  5155747738  $  9126762349     $     5922820  $   236463061  $   157381493  $   153713193  $       0      $       0      $      97      $           0  $              $0.564904      $5922820.000000      $15.103429 $10.052311 $9.818008 $     1.50  $     1.02  
