PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61353 $  1003   $  1154664165  $  7017527226     $    74618547  $   240501726  $   233724211  $     4946152  $      44      $       0      $      97      $           0  $              $0.164540      $74618544.000000      $15.346072 $14.913609 $0.315607 $     1.03  $    47.25  
61351 $  1003   $  4912711804  $  8869092375     $     5583239  $   215451723  $   143842640  $   139557481  $       0      $       0      $      97      $           0  $              $0.553914      $5583239.000000      $13.747667 $9.178393 $8.904964 $     1.50  $     1.03  
61353 $  2006   $  1007049435  $  5974236677     $    61468170  $   201427435  $   194850077  $     4088375  $      43      $       0      $      97      $           0  $              $0.168565      $61468168.000000      $12.852798 $12.433105 $0.260873 $     1.03  $    47.66  
61351 $  2006   $  5168845552  $  9208023502     $     6116122  $   234309758  $   156865995  $   152348955  $       0      $       0      $      97      $           0  $              $0.561341      $6116122.000000      $14.950972 $10.009396 $9.721169 $     1.49  $     1.03  
61353 $  3008   $   866691355  $  4960000052     $    50063143  $   158977587  $   154349978  $     3703445  $      42      $       0      $      97      $           0  $              $0.174736      $50063144.000000      $10.154257 $9.858682 $0.236547 $     1.03  $    41.68  
61351 $  3008   $  5227826764  $  9358745404     $     6118859  $   237260583  $   158357951  $   153927740  $       0      $       0      $      97      $           0  $              $0.558603      $6118859.000000      $15.154368 $10.114679 $9.831712 $     1.50  $     1.03  
61353 $  4010   $  1118072360  $  6905714633     $    72740126  $   235499913  $   227880439  $     4690291  $      45      $       0      $      97      $           0  $              $0.161905      $72740128.000000      $15.041911 $14.555237 $0.299579 $     1.03  $    48.59  
61351 $  4010   $  5133786671  $  9216485897     $     6039290  $   232537380  $   155430989  $   150849204  $       0      $       0      $      97      $           0  $              $0.557022      $6039290.000000      $14.852687 $9.927728 $9.635078 $     1.50  $     1.03  
61353 $  5013   $  1020404261  $  6163901675     $    65372229  $   208223832  $   201961404  $     4248893  $      44      $       0      $      97      $           0  $              $0.165545      $65372228.000000      $13.286467 $12.886869 $0.271116 $     1.03  $    47.53  
61351 $  5013   $  5226195712  $  9206142490     $     6325882  $   241890805  $   161646397  $   157025438  $       0      $       0      $      97      $           0  $              $0.567686      $6325882.000000      $15.434707 $10.314426 $10.019569 $     1.50  $     1.03  
61353 $  6016   $   891318061  $  5128448618     $    51865596  $   164520163  $   159577859  $     3809085  $      42      $       0      $      97      $           0  $              $0.173799      $51865596.000000      $10.497797 $10.182435 $0.243052 $     1.03  $    41.89  
61351 $  6016   $  5235574309  $  9362097546     $     6201925  $   239047249  $   159626408  $   155144903  $       0      $       0      $      97      $           0  $              $0.559231      $6201925.000000      $15.253264 $10.185533 $9.899574 $     1.50  $     1.03  
61353 $  7019   $  1131799733  $  6524144934     $    65977691  $   211054136  $   204859569  $     4284795  $      44      $       0      $      97      $           0  $              $0.173479      $65977692.000000      $13.467064 $13.071797 $0.273407 $     1.03  $    47.81  
61351 $  7019   $  5164199779  $  9245197786     $     6044984  $   234035909  $   156269770  $   151775895  $       0      $       0      $      97      $           0  $              $0.558582      $6044984.000000      $14.933497 $9.971352 $9.684603 $     1.50  $     1.03  
61353 $  8022   $  1032813450  $  6380937424     $    67863778  $   221672793  $   214659783  $     4322734  $      44      $       0      $      97      $           0  $              $0.161859      $67863776.000000      $14.144626 $13.697134 $0.275827 $     1.03  $    49.66  
61351 $  8022   $  5153133904  $  9210223682     $     6094194  $   233491787  $   156297587  $   151766821  $       0      $       0      $      97      $           0  $              $0.559502      $6094194.000000      $14.898778 $9.973126 $9.684024 $     1.49  $     1.03  
61353 $  9024   $   900290913  $  5359220760     $    54908039  $   179093873  $   173374195  $     3853567  $      43      $       0      $      97      $           0  $              $0.167989      $54908040.000000      $11.439130 $11.073801 $0.246136 $     1.03  $    44.99  
61351 $  9024   $  5217867281  $  9361042950     $     6122761  $   236718156  $   158088624  $   153610916  $       0      $       0      $      97      $           0  $              $0.557402      $6122761.000000      $15.119722 $10.097477 $9.811476 $     1.50  $     1.03  
