PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
62006 $  1003   $  2433191282  $  8792733782     $    11471873  $   265909162  $   261860606  $     9086425  $      48      $       0      $      97      $           0  $              $0.276727      $11471873.000000      $16.967285 $16.708952 $0.579792 $     1.02  $    28.82  
62004 $  1003   $  5330178800  $  7791535283     $      105546  $   148022029  $   149614315  $   139701630  $       0      $       0      $      97      $           0  $              $0.684099      $105546.000000      $9.445075 $9.546677 $8.914162 $     0.99  $     1.07  
62006 $  2006   $  2388554161  $  9072889990     $    11821798  $   272790719  $   268377714  $     8878165  $      49      $       0      $      97      $           0  $              $0.263263      $11821798.000000      $17.406387 $17.124800 $0.566503 $     1.02  $    30.23  
62004 $  2006   $  6178006822  $  9115849454     $       82855  $   192385177  $   192440042  $   187904625  $       0      $       0      $      97      $           0  $              $0.677721      $82855.000000      $12.275825 $12.279325 $11.989926 $     1.00  $     1.02  
62006 $  3008   $  2389489268  $  9073539558     $    11810999  $   272958341  $   268484952  $     8875945  $      49      $       0      $      97      $           0  $              $0.263347      $11810999.000000      $17.434465 $17.148741 $0.566927 $     1.02  $    30.25  
62004 $  3009   $  6188438078  $  9115614851     $       82915  $   192444883  $   192497792  $   187965381  $       0      $       0      $      97      $           0  $              $0.678883      $82915.000000      $12.279634 $12.283010 $11.993803 $     1.00  $     1.02  
62006 $  4010   $  2388824261  $  9072746833     $    11792180  $   272830083  $   268408640  $     8878298  $      49      $       0      $      97      $           0  $              $0.263297      $11792180.000000      $17.426273 $17.143866 $0.567077 $     1.02  $    30.23  
62004 $  4012   $  6181834815  $  9113440416     $       83013  $   192515682  $   192569011  $   188033396  $       0      $       0      $      97      $           0  $              $0.678321      $83013.000000      $12.284151 $12.287554 $11.998142 $     1.00  $     1.02  
62006 $  5012   $  2212892707  $  9110705051     $     9041350  $   281428309  $   277265629  $     9148877  $      49      $       0      $      97      $           0  $              $0.242889      $9041350.000000      $17.975462 $17.709581 $0.584359 $     1.02  $    30.31  
62004 $  5015   $  6140158712  $  9116097533     $       83829  $   192906389  $   192960676  $   188393342  $       0      $       0      $      97      $           0  $              $0.673551      $83829.000000      $12.309081 $12.312546 $12.021111 $     1.00  $     1.02  
62006 $  6014   $  2198117524  $  9114032050     $     8809758  $   282049880  $   277906512  $     9166075  $      49      $       0      $      97      $           0  $              $0.241179      $8809758.000000      $18.015163 $17.750515 $0.585458 $     1.01  $    30.32  
62004 $  6018   $  6139309026  $  9116527446     $       83841  $   192839877  $   192894548  $   188322283  $       0      $       0      $      97      $           0  $              $0.673426      $83841.000000      $12.304837 $12.308326 $12.016577 $     1.00  $     1.02  
62006 $  7017   $  2407320626  $  9149046958     $     9164872  $   307634757  $   303914942  $     9872607  $      48      $       0      $      97      $           0  $              $0.263123      $9164872.000000      $19.629734 $19.392380 $0.629957 $     1.01  $    30.78  
62004 $  7021   $  6505414280  $  8631130965     $      104363  $   161135203  $   161181410  $   157596415  $       0      $       0      $      97      $           0  $              $0.753715      $104363.000000      $10.281807 $10.284756 $10.056003 $     1.00  $     1.02  
62006 $  7450   $  1403568691  $  4079600345     $     4650704  $   177424790  $   176505457  $     3413843  $      15      $       0      $      97      $           0  $              $0.344046      $4650704.000000      $26.224449 $26.088566 $0.504587 $     1.01  $    51.70  
