PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
61574 $  1003   $  3040852546  $  7275639799     $      138303  $    32690031  $    29934704  $    24483466  $      42      $       0      $      97      $           0  $              $0.417950      $138303.000000      $2.085904 $1.910091 $1.562255 $     1.09  $     1.22  
61572 $  1003   $  4467899386  $  8811148781     $     4851203  $   193485944  $   129139300  $   126396794  $       0      $       0      $      97      $           0  $              $0.507073      $4851203.000000      $12.346063 $8.240194 $8.065199 $     1.50  $     1.02  
61574 $  2006   $  3841726203  $  9035011363     $       40478  $    42561826  $    38825474  $    31374608  $      45      $       0      $      97      $           0  $              $0.425204      $40478.000000      $2.715809 $2.477398 $2.001969 $     1.10  $     1.24  
61572 $  2005   $  4615261696  $  9119656151     $     5345645  $   212799405  $   141697190  $   138820968  $       0      $       0      $      97      $           0  $              $0.506078      $5345645.000000      $13.591978 $9.050519 $8.866808 $     1.50  $     1.02  
61574 $  3008   $  3827151804  $  9043896913     $       38978  $    41006499  $    37572134  $    30760985  $      45      $       0      $      97      $           0  $              $0.423175      $38978.000000      $2.619178 $2.399817 $1.964773 $     1.09  $     1.22  
61572 $  3007   $  4578825104  $  9120353116     $     5153624  $   205738462  $   137384148  $   134584564  $       0      $       0      $      97      $           0  $              $0.502045      $5153624.000000      $13.140980 $8.775035 $8.596219 $     1.50  $     1.02  
61574 $  4010   $  3818447059  $  9039924771     $       39403  $    40919939  $    37488578  $    30656728  $      45      $       0      $      97      $           0  $              $0.422398      $39403.000000      $2.613649 $2.394480 $1.958114 $     1.09  $     1.22  
61572 $  4009   $  4619615561  $  9118576262     $     5306867  $   212361967  $   141219530  $   138349592  $       0      $       0      $      97      $           0  $              $0.506616      $5306867.000000      $13.564038 $9.020010 $8.836701 $     1.50  $     1.02  
61574 $  5013   $  3826088592  $  9036082724     $       38750  $    40904441  $    37494169  $    30610693  $      45      $       0      $      97      $           0  $              $0.423423      $38750.000000      $2.610054 $2.392449 $1.953225 $     1.09  $     1.22  
61572 $  5011   $  4617080681  $  9118675506     $     5361312  $   212875374  $   141907301  $   139033974  $       0      $       0      $      97      $           0  $              $0.506332      $5361312.000000      $13.596830 $9.063939 $8.880413 $     1.50  $     1.02  
61574 $  6015   $  3832757728  $  9029845631     $       40531  $    42614759  $    38801181  $    31504110  $      45      $       0      $      97      $           0  $              $0.424454      $40531.000000      $2.721901 $2.478319 $2.012239 $     1.10  $     1.23  
61572 $  6013   $  4553724453  $  9107602548     $     5100216  $   203731703  $   136140811  $   133368553  $       0      $       0      $      97      $           0  $              $0.499992      $5100216.000000      $13.012803 $8.695621 $8.518550 $     1.50  $     1.02  
61574 $  7017   $  3812688115  $  9029940659     $       40283  $    40893446  $    37471532  $    30628947  $      45      $       0      $      97      $           0  $              $0.422227      $40283.000000      $2.611957 $2.393391 $1.956340 $     1.09  $     1.22  
61572 $  7016   $  4618828916  $  9106771146     $     5315578  $   213024710  $   141637713  $   138757739  $       0      $       0      $      97      $           0  $              $0.507186      $5315578.000000      $13.592803 $9.037701 $8.853934 $     1.50  $     1.02  
61574 $  8020   $  3821911562  $  9030704525     $       39202  $    40965336  $    37514764  $    30734450  $      45      $       0      $      97      $           0  $              $0.423213      $39202.000000      $2.613940 $2.393764 $1.961121 $     1.09  $     1.22  
61572 $  8019   $  4561165208  $  9107771389     $     5121700  $   204100392  $   136468616  $   133689648  $       0      $       0      $      97      $           0  $              $0.500799      $5121700.000000      $13.023355 $8.707868 $8.530546 $     1.50  $     1.02  
61572 $  9072   $  4983448345  $  9645886684     $     5858330  $   231212321  $   153964586  $   150818003  $       0      $       0      $      97      $           0  $              $0.516640      $5858330.000000      $14.052791 $9.357772 $9.166526 $     1.50  $     1.02  
61574 $  9073   $  3539980558  $  8323905510     $      132784  $    38676870  $    35268252  $    28512924  $      46      $       0      $      97      $           0  $              $0.425279      $132784.000000      $2.350731 $2.143559 $1.732979 $     1.10  $     1.24  
61572 $  9144   $   328483074  $   660148813     $      240425  $    10437628  $     7166044  $     6970371  $       0      $       0      $      97      $           0  $              $0.497589      $240425.000000      $9.277891 $6.369817 $6.195885 $     1.46  $     1.03  
61572 $  9146   $      524280  $     1289822     $           0  $           2  $          13  $           3  $       0      $       0      $      97      $           0  $              $0.406475      $0.000000      $0.000064 $0.000416 $0.000096 $     0.15  $     4.33  
61572 $ 10148   $  4367216178  $  8330613890     $     4762901  $   178368455  $   118699256  $   116440021  $      42      $       0      $      97      $           0  $              $0.524237      $4762901.000000      $11.392795 $7.581589 $7.437287 $     1.50  $     1.02  
61597 $  1002   $  3263774828  $  7656416790     $       37870  $    35755351  $    32688594  $    26637603  $       0      $       0      $      97      $           0  $              $0.426280      $37870.000000      $2.283775 $2.087894 $1.701404 $     1.09  $     1.23  
61597 $  2004   $  3854248333  $  8946500984     $       38036  $    41039330  $    37576518  $    30889393  $      44      $       0      $      97      $           0  $              $0.430811      $38036.000000      $2.621274 $2.400097 $1.972975 $     1.09  $     1.22  
61572 $ 11151   $  4446897690  $  8765928417     $     5024863  $   201200275  $   133886531  $   131137487  $       0      $       0      $      97      $           0  $              $0.507293      $5024863.000000      $12.838303 $8.543109 $8.367696 $     1.50  $     1.02  
61597 $  3007   $  3890987820  $  9028430257     $       40277  $    42760501  $    39014893  $    31645001  $      45      $       0      $      97      $           0  $              $0.430971      $40277.000000      $2.728487 $2.489485 $2.019222 $     1.10  $     1.23  
61572 $ 12154   $  4625500567  $  9111460700     $     5373667  $   213517471  $   142110097  $   139216189  $       0      $       0      $      97      $           0  $              $0.507657      $5373667.000000      $13.624246 $9.067842 $8.883186 $     1.50  $     1.02  
61597 $  4010   $  3896424037  $  9033276130     $       39033  $    41311210  $    37834461  $    31172397  $      45      $       0      $      97      $           0  $              $0.431341      $39033.000000      $2.636009 $2.414163 $1.989066 $     1.09  $     1.21  
61572 $ 13157   $  4585952091  $  9107219526     $     5141414  $   205455131  $   137115924  $   134299310  $       0      $       0      $      97      $           0  $              $0.503551      $5141414.000000      $13.109799 $8.749171 $8.569448 $     1.50  $     1.02  
61597 $  5013   $  3884137598  $  9027243866     $       39952  $    42579802  $    38871970  $    31564877  $      45      $       0      $      97      $           0  $              $0.430268      $39952.000000      $2.716956 $2.480365 $2.014110 $     1.10  $     1.23  
61572 $ 14159   $  4627668905  $  9113589708     $     5376557  $   213612288  $   142206741  $   139311536  $       0      $       0      $      97      $           0  $              $0.507777      $5376557.000000      $13.643899 $9.083065 $8.898142 $     1.50  $     1.02  
61597 $  5699   $  2635239096  $  6175002253     $       27483  $    28305967  $    25900522  $    21200280  $      31      $       0      $      97      $           0  $              $0.426759      $27483.000000      $2.640790 $2.416375 $1.977869 $     1.09  $     1.22  
61572 $ 14845   $  3137599319  $  6201109499     $     3680688  $   144236364  $    96281342  $    94322687  $       0      $       0      $      97      $           0  $              $0.505974      $3680688.000000      $13.456454 $8.982516 $8.799785 $     1.50  $     1.02  
