PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
57736 $  1003   $  4393304501  $  5187354967     $     1336424  $   165573198  $    33363627  $    14646364  $      40      $       0      $      97      $           0  $              $0.846926      $1336424.000000      $10.564990 $2.128886 $0.934564 $     4.96  $     2.28  
57734 $  1003   $ 16766658773  $  9062023276     $     9302952  $   372312092  $   494685503  $     2506767  $       0      $       0      $      97      $           0  $              $1.850211      $9302952.000000      $23.756704 $31.565176 $0.159953 $     0.75  $   197.34  
57736 $  2005   $  5713404408  $  5920187385     $     3261311  $   231125170  $    48458421  $    25569621  $      42      $       0      $      97      $           0  $              $0.965072      $3261311.000000      $14.762486 $3.095149 $1.633189 $     4.77  $     1.90  
57734 $  2005   $ 17490186573  $  9361705787     $     9611334  $   388678434  $   513674836  $     2428059  $       0      $       0      $      97      $           0  $              $1.868269      $9611334.000000      $24.825768 $32.809570 $0.155086 $     0.76  $   211.56  
57736 $  3007   $ 17214618984  $  9010187111     $    13083334  $   797382012  $   145057536  $    65848921  $      51      $       0      $      97      $           0  $              $1.910573      $13083334.000000      $50.930588 $9.265152 $4.205919 $     5.50  $     2.20  
57734 $  3007   $ 16901885385  $  9125068657     $     9491979  $   377491054  $   502065610  $     4869498  $       0      $       0      $      97      $           0  $              $1.852247      $9491979.000000      $24.111204 $32.068062 $0.311026 $     0.75  $   103.10  
57734 $  3179   $  3107472773  $  1620999720     $     1643011  $    68750619  $    90205964  $      357706  $       0      $       0      $      97      $           0  $              $1.917010      $1643011.000000      $25.581625 $33.565010 $0.133100 $     0.76  $   252.18  
57736 $  3179   $  1220267083  $   591168857     $      437538  $    55988029  $     8438961  $     4420390  $       7      $       0      $      97      $           0  $              $2.064160      $437538.000000      $20.832754 $3.140079 $1.644796 $     6.63  $     1.91  
57734 $  4093   $ 16895380293  $  8750584505     $     9331976  $   374994708  $   496524824  $       11667  $       0      $       0      $      97      $           0  $              $1.930772      $9331976.000000      $26.257835 $34.767605 $0.000817 $     0.76  $ 42558.05  
57734 $  4096   $     2703640  $     1398548     $        1333  $       58894  $       69080  $           0  $       0      $       0      $      97      $           0  $              $1.933176      $1333.000000      $1.256405 $1.473707 $0.000000 $     0.85  $      inf  
57734 $  5098   $ 17167439166  $  9168929000     $     9415852  $   381587382  $   506278589  $     2099972  $      41      $       0      $      97      $           0  $              $1.872350      $9415852.000000      $24.372847 $32.337154 $0.134130 $     0.75  $   241.09  
57755 $  1003   $  4293829245  $  5100874289     $     1211109  $   161288588  $    29849044  $    14327310  $       0      $       0      $      97      $           0  $              $0.841783      $1211109.000000      $10.291595 $1.904625 $0.914205 $     5.40  $     2.08  
57755 $  2006   $  5368026875  $  5819147884     $     2952545  $   215489950  $    43673337  $    25152586  $      42      $       0      $      97      $           0  $              $0.922476      $2952545.000000      $13.750107 $2.786733 $1.604951 $     4.93  $     1.74  
57734 $  6101   $ 16783575983  $  8966050069     $     9167744  $   372845892  $   491814331  $     2289248  $       0      $       0      $      97      $           0  $              $1.871903      $9167744.000000      $23.790764 $31.381971 $0.146074 $     0.76  $   214.84  
57755 $  2215   $  3460808816  $  1777613790     $     2387086  $   159993478  $    24675201  $    11645619  $      10      $       0      $      97      $           0  $              $1.946884      $2387086.000000      $48.993217 $7.556042 $3.566123 $     6.48  $     2.12  
57734 $  6310   $  3453245828  $  1872334608     $     1854138  $    76912260  $   101514276  $      982378  $       0      $       0      $      97      $           0  $              $1.844353      $1854138.000000      $23.552078 $31.085711 $0.300824 $     0.76  $   103.34  
