PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
58721 $  1003   $  4406507667  $  5433926830     $     1066252  $   168460292  $    31788103  $    16317689  $      32      $       0      $      97      $           0  $              $0.810925      $1066252.000000      $10.749210 $2.028354 $1.041209 $     5.30  $     1.95  
58719 $  1003   $  1463613604  $  4656230878     $    10113112  $    83926933  $    60904103  $     7044442  $       0      $       0      $      97      $           0  $              $0.314334      $10113112.000000      $5.355258 $3.886204 $0.449496 $     1.38  $     8.65  
58721 $  2005   $  6783367173  $  6272320305     $     3095911  $   276374304  $    49252537  $    26749156  $      33      $       0      $      97      $           0  $              $1.081476      $3095911.000000      $17.652651 $3.145870 $1.708529 $     5.61  $     1.84  
58719 $  2005   $   995366448  $  4019929254     $    14588113  $   109696178  $    84864385  $     7526991  $       0      $       0      $      97      $           0  $              $0.247608      $14588113.000000      $7.006542 $5.420480 $0.480766 $     1.29  $    11.27  
58719 $  3069   $  1763098698  $  5729669002     $    14117697  $   108927160  $    80854587  $    11486751  $       0      $       0      $      97      $           0  $              $0.307714      $14117697.000000      $6.552010 $4.863434 $0.690932 $     1.35  $     7.04  
58721 $  3069   $ 17284025254  $  9018954800     $    11974554  $   805732477  $   127646235  $    68739148  $      45      $       0      $      97      $           0  $              $1.916411      $11974554.000000      $48.465111 $7.677969 $4.134686 $     6.31  $     1.86  
58719 $  3071   $       83548  $      768544     $        5202  $       35431  $       27347  $          37  $       0      $       0      $      97      $           0  $              $0.108709      $5202.000000      $1.133792 $0.875104 $0.001184 $     1.30  $   739.11  
58719 $  3073   $      110065  $     1049527     $        6621  $       50521  $       42245  $        2817  $       0      $       0      $      97      $           0  $              $0.104871      $6621.000000      $1.616672 $1.351840 $0.090144 $     1.20  $    15.00  
58719 $  4076   $  1605906892  $  5253708246     $    12735331  $   105458187  $    79963440  $    10887571  $      33      $       0      $      97      $           0  $              $0.305671      $12735331.000000      $6.729136 $5.102353 $0.694720 $     1.32  $     7.34  
58740 $  1003   $  4403401757  $  5401174319     $     1000294  $   167552704  $    34807860  $    15801243  $       0      $       0      $      97      $           0  $              $0.815267      $1000294.000000      $10.691299 $2.221040 $1.008255 $     4.81  $     2.20  
58740 $  2006   $  6831570288  $  6097390061     $     3180412  $   277637070  $    55750169  $    27142094  $      33      $       0      $      97      $           0  $              $1.120409      $3180412.000000      $17.715624 $3.557339 $1.731898 $     4.98  $     2.05  
58719 $  5079   $  1110638298  $  4238497472     $    14285591  $   108227170  $    82980095  $     7465897  $       0      $       0      $      97      $           0  $              $0.262036      $14285591.000000      $6.905821 $5.294842 $0.476388 $     1.30  $    11.11  
58740 $  3009   $ 17293036703  $  9174696089     $    12289251  $   805504216  $   149043632  $    69351348  $      44      $       0      $      97      $           0  $              $1.884862      $12289251.000000      $51.398075 $9.510262 $4.425210 $     5.40  $     2.15  
58719 $  6082   $  1741249761  $  5547925237     $    13123257  $   101475114  $    75346132  $    11239306  $       0      $       0      $      97      $           0  $              $0.313856      $13123257.000000      $6.474982 $4.807729 $0.717164 $     1.35  $     6.70  
58719 $  6139   $    15000719  $   136706966     $      868416  $     6533741  $     5072182  $      219854  $       0      $       0      $      97      $           0  $              $0.109729      $868416.000000      $7.336130 $5.695082 $0.246854 $     1.29  $    23.07  
58740 $  3066   $           0  $           0     $       68361  $           0  $           0  $           0  $       1      $       0      $      97      $           0  $              $-nan      $68361.000000      $0.000000 $0.000000 $0.000000 $     0.00  $     0.00  
58719 $  6412   $   108870613  $   732793326     $     4041086  $    29413802  $    24216298  $      927663  $       0      $       0      $      97      $           0  $              $0.148569      $4041086.000000      $6.895543 $5.677081 $0.217474 $     1.21  $    26.10  
58745 $  1003   $  4440819088  $  5620678619     $     1223646  $   173126015  $    36480405  $    18023555  $      25      $       0      $      65      $           0  $              $0.790086      $1223646.000000      $11.046925 $2.327763 $1.150057 $     4.75  $     2.02  
58745 $  2026   $  4440819088  $  5620678619     $     1223646  $   173126015  $    36480405  $    18023555  $      25      $       0      $      65      $           0  $              $0.790086      $1223646.000000      $10.830953 $2.282254 $1.127573 $     4.75  $     2.02  
