PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
59039 $  1004   $  4392482551  $  5183603082     $     1165197  $   166370232  $    32068814  $    14982746  $      36      $       0      $      97      $           0  $              $0.847380      $1165197.000000      $10.605274 $2.044227 $0.955075 $     5.19  $     2.14  
59037 $  1004   $  6901445104  $  9299066290     $      115881  $    17345440  $    19655451  $     2031997  $       0      $       0      $      97      $           0  $              $0.742165      $115881.000000      $1.105685 $1.252937 $0.129530 $     0.88  $     9.67  
59039 $  2006   $  5899120180  $  5930746172     $     3028696  $   239040090  $    47483690  $    25627047  $      38      $       0      $      97      $           0  $              $0.994667      $3028696.000000      $15.268030 $3.032890 $1.636857 $     5.03  $     1.85  
59037 $  2007   $  6954139322  $  9366912331     $      113175  $    16644784  $    18304388  $     2662368  $       0      $       0      $      97      $           0  $              $0.742415      $113175.000000      $1.062080 $1.167977 $0.169882 $     0.91  $     6.88  
59039 $  3008   $ 17364313022  $  9019467856     $    12086293  $   806211712  $   138575544  $    67160448  $      47      $       0      $      97      $           0  $              $1.925204      $12086293.000000      $51.494560 $8.851133 $4.289689 $     5.82  $     2.06  
59037 $  3009   $  6737493519  $  9133451662     $       81412  $    14870625  $    15595663  $     9172340  $       0      $       0      $      97      $           0  $              $0.737672      $81412.000000      $0.949820 $0.996130 $0.585858 $     0.95  $     1.70  
59037 $  3133   $   874359627  $  1170303899     $       12908  $     1951855  $     2068214  $      518258  $       0      $       0      $      97      $           0  $              $0.747122      $12908.000000      $1.007409 $1.067465 $0.267488 $     0.94  $     3.99  
59039 $  3132   $   823186105  $   373174639     $      283267  $    38438570  $     4757977  $     3269992  $       4      $       0      $      97      $           0  $              $2.205901      $283267.000000      $19.839260 $2.455730 $1.687738 $     8.08  $     1.46  
59037 $  4071   $  6774316471  $  9078775430     $      118123  $    16094553  $    17600716  $         148  $       0      $       0      $      97      $           0  $              $0.746171      $118123.000000      $1.098136 $1.200902 $0.000010 $     0.91  $118923.76  
59037 $  4074   $     1996243  $     2908663     $          11  $        4340  $        4254  $           0  $       0      $       0      $      97      $           0  $              $0.686309      $11.000000      $0.092587 $0.090752 $0.000000 $     1.02  $      inf  
59037 $  5077   $  6786351527  $  9114504416     $      124705  $    14718280  $    15081722  $     1919482  $      37      $       0      $      97      $           0  $              $0.744566      $124705.000000      $0.939152 $0.962343 $0.122479 $     0.98  $     7.86  
59057 $  1003   $  4281423250  $  5065625292     $     1154859  $   160750685  $    29614642  $    14107310  $       0      $       0      $      97      $           0  $              $0.845192      $1154859.000000      $10.257272 $1.889668 $0.900167 $     5.43  $     2.10  
59057 $  2006   $  5395661257  $  5818760063     $     2873142  $   216450436  $    43669674  $    24985473  $      37      $       0      $      97      $           0  $              $0.927287      $2873142.000000      $13.811394 $2.786500 $1.594287 $     4.96  $     1.75  
59037 $  6080   $  6638911539  $  8936960321     $      109032  $    15814256  $    17185984  $     2442033  $       0      $       0      $      97      $           0  $              $0.742860      $109032.000000      $1.009085 $1.096613 $0.155823 $     0.92  $     7.04  
59057 $  3008   $ 17725954798  $  9006640114     $    12287347  $   822960867  $   133367635  $    66094341  $      47      $       0      $      97      $           0  $              $1.968098      $12287347.000000      $52.564369 $8.518492 $4.221594 $     6.17  $     2.02  
59037 $  7082   $  6735591391  $  9118969959     $       79584  $    14831246  $    15443032  $     9090499  $       0      $       0      $      97      $           0  $              $0.738635      $79584.000000      $0.947305 $0.986381 $0.580631 $     0.96  $     1.70  
59037 $  7223   $   987751410  $  1330832126     $       14099  $     2199924  $     2298338  $      645991  $       0      $       0      $      97      $           0  $              $0.742206      $14099.000000      $0.998547 $1.043217 $0.293216 $     0.96  $     3.56  
59057 $  3149   $  1061172676  $   476341385     $      312128  $    49571099  $     5798129  $     4147830  $       5      $       0      $      97      $           0  $              $2.227757      $312128.000000      $22.500357 $2.631775 $1.882703 $     8.55  $     1.40  
59037 $  8148   $  6710896976  $  8987462175     $      115689  $    14859605  $    15400646  $         181  $       0      $       0      $      97      $           0  $              $0.746695      $115689.000000      $1.028124 $1.065558 $0.000013 $     0.96  $ 85086.45  
59037 $  8151   $      625592  $     1552973     $          76  $        2349  $        2348  $           0  $       0      $       0      $      97      $           0  $              $0.402835      $76.000000      $0.050112 $0.050091 $0.000000 $     1.00  $      inf  
59037 $  9154   $  6732268787  $  9040479782     $      114243  $    14455984  $    14672033  $     1871307  $      37      $       0      $      97      $           0  $              $0.744680      $114243.000000      $0.922416 $0.936202 $0.119405 $     0.99  $     7.84  
59062 $  1003   $  4249931983  $  5070922138     $     1124401  $   159264033  $    30422469  $    14248900  $       0      $       0      $      97      $           0  $              $0.838098      $1124401.000000      $10.162411 $1.941214 $0.909202 $     5.24  $     2.14  
59062 $  2006   $  5555484249  $  5850984778     $     3013289  $   224666611  $    45878692  $    25195680  $      38      $       0      $      97      $           0  $              $0.949496      $3013289.000000      $14.335656 $2.927454 $1.607700 $     4.90  $     1.82  
59037 $ 10157   $  6669984661  $  8983701851     $      107360  $    15402706  $    16435280  $     2496244  $       0      $       0      $      97      $           0  $              $0.742454      $107360.000000      $0.982825 $1.048712 $0.159282 $     0.94  $     6.58  
59062 $  2251   $  4224042000  $  2106010501     $     2574363  $   193015084  $    29925240  $    12781152  $      11      $       0      $      97      $           0  $              $2.005708      $2574363.000000      $50.420269 $7.817205 $3.338750 $     6.45  $     2.34  
59037 $ 10402   $  1505172517  $  2200994238     $       26088  $     3079537  $     3301296  $     1753250  $       0      $       0      $      97      $           0  $              $0.683860      $26088.000000      $0.804450 $0.862379 $0.457992 $     0.93  $     1.88  
