PID   $time     $Instr Ret     $Unh Clk Cycles   $l2 trans reqs $l1lines       $l2lines       $Per Core bw   $Power         $Power2        $Power3        $bandwidth     $              $IPC           $MEM INTENSIITY$L2->L1 BW (MB)$L3->L2 BW (MB)$MM->L3 BW (MB)$L2 REUSE      $L3 REUSE      
60250 $  1003   $ 20318133234  $  8823861033     $     3583414  $   317664275  $   317745363  $    14131714  $      47      $       0      $      97      $           0  $              $2.302635      $3583414.000000      $20.269705 $20.274879 $0.901725 $     1.00  $    22.48  
60248 $  1003   $  3967331032  $  8798195310     $    35033907  $   229047046  $   184726199  $    39376423  $       0      $       0      $      97      $           0  $              $0.450926      $35033908.000000      $14.615165 $11.787115 $2.512553 $     1.24  $     4.69  
60250 $  2005   $ 20797636363  $  9111244201     $     3653652  $   325394521  $   325442773  $    15799263  $      49      $       0      $      97      $           0  $              $2.282634      $3653652.000000      $20.783682 $20.786764 $1.009135 $     1.00  $    20.60  
60248 $  2005   $  4188640508  $  9120400808     $    42051428  $   274057671  $   220856140  $    46554255  $       0      $       0      $      97      $           0  $              $0.459261      $42051428.000000      $17.504681 $14.106580 $2.973525 $     1.24  $     4.74  
60250 $  3007   $ 20715709765  $  9102944986     $     3632505  $   323898625  $   323954593  $    15981983  $      49      $       0      $      97      $           0  $              $2.275715      $3632505.000000      $20.688135 $20.691710 $1.020805 $     1.00  $    20.27  
60248 $  3007   $  4180216082  $  9118553995     $    42078780  $   273749063  $   220698113  $    46398970  $       0      $       0      $      97      $           0  $              $0.458430      $42078780.000000      $17.484970 $14.096486 $2.963607 $     1.24  $     4.76  
60250 $  4009   $ 20861263928  $  9110859854     $     3675235  $   326381028  $   326427916  $    15088671  $      49      $       0      $      97      $           0  $              $2.289714      $3675235.000000      $20.846693 $20.849686 $0.963747 $     1.00  $    21.63  
60248 $  4009   $  4120675251  $  9118936844     $    39972161  $   260771363  $   210475568  $    44685913  $       0      $       0      $      97      $           0  $              $0.451881      $39972160.000000      $16.656055 $13.443549 $2.854190 $     1.24  $     4.71  
60250 $  5011   $ 20813728563  $  9109035966     $     3655799  $   325651174  $   325695410  $    15625966  $      49      $       0      $      97      $           0  $              $2.284954      $3655799.000000      $20.800076 $20.802902 $0.998066 $     1.00  $    20.84  
60248 $  5011   $  4233570158  $  9117598086     $    39128999  $   260664492  $   208789833  $    46425645  $       0      $       0      $      97      $           0  $              $0.464330      $39129000.000000      $16.649229 $13.335878 $2.965311 $     1.25  $     4.50  
60250 $  6013   $ 20822004588  $  9103970643     $     3650957  $   325558828  $   325621468  $    15657485  $      49      $       0      $      97      $           0  $              $2.287134      $3650957.000000      $20.794176 $20.798178 $1.000079 $     1.00  $    20.80  
60248 $  6013   $  4177289435  $  9118895036     $    39882095  $   261629078  $   211065865  $    45787307  $       0      $       0      $      97      $           0  $              $0.458092      $39882096.000000      $16.710838 $13.481254 $2.924539 $     1.24  $     4.61  
60250 $  7016   $ 20929967576  $  9112471906     $     3688182  $   327455377  $   327501975  $    15448512  $      49      $       0      $      97      $           0  $              $2.296849      $3688182.000000      $20.894463 $20.897434 $0.985748 $     1.00  $    21.20  
60248 $  7015   $  4124857109  $  9120646284     $    42036823  $   270543290  $   219632773  $    45598067  $       0      $       0      $      97      $           0  $              $0.452255      $42036824.000000      $17.280210 $14.028440 $2.912452 $     1.23  $     4.82  
60250 $  8018   $ 20698046105  $  9101958710     $     3625042  $   323623094  $   323678756  $    16143265  $      49      $       0      $      97      $           0  $              $2.274021      $3625042.000000      $20.670538 $20.674091 $1.031107 $     1.00  $    20.05  
60248 $  8017   $  4187563506  $  9116867397     $    42066824  $   274042231  $   220847872  $    46541400  $       0      $       0      $      97      $           0  $              $0.459320      $42066824.000000      $17.503696 $14.106051 $2.972704 $     1.24  $     4.75  
60250 $  8760   $ 15668428517  $  6788426158     $     2747642  $   245053046  $   245085636  $    10553715  $      35      $       0      $      97      $           0  $              $2.308109      $2747642.000000      $21.136650 $21.139462 $0.910293 $     1.00  $    23.22  
60248 $  8759   $  2770610196  $  6022546403     $    28084247  $   182386698  $   146931597  $    30727192  $       0      $       0      $      97      $           0  $              $0.460040      $28084248.000000      $15.731468 $12.673346 $2.650324 $     1.24  $     4.78  
60250 $  9097   $  8194230854  $  3196116426     $     1433141  $   128355966  $   128342143  $      168193  $      12      $       0      $      97      $           0  $              $2.563808      $1433141.000000      $24.376207 $24.373583 $0.031942 $     1.00  $   763.06  
60250 $  9098   $    13266884  $     5193145     $        2543  $      207994  $      208149  $         203  $       0      $       0      $      97      $           0  $              $2.554692      $2543.000000      $13.311616 $13.321536 $0.012992 $     1.00  $  1025.36  
60250 $ 10100   $ 21045148698  $  9102327391     $     3697074  $   328985222  $   329049309  $    13853699  $      49      $       0      $      97      $           0  $              $2.312062      $3697074.000000      $21.013027 $21.017122 $0.884867 $     1.00  $    23.75  
